index,n
8452b1dffffffff-2018-10,1
8454021ffffffff-2019-11,1
845402dffffffff-2018-02,1
845402dffffffff-2018-10,2
845402dffffffff-2018-12,4
845402dffffffff-2019-11,2
845402dffffffff-2022-11,1
845402dffffffff-2022-12,4
8454037ffffffff-2016-10,2
8454063ffffffff-2018-04,2
8454101ffffffff-2020-01,2
8454103ffffffff-2014-01,2
8454103ffffffff-2015-12,1
8454103ffffffff-2016-03,4
8454103ffffffff-2016-10,3
8454103ffffffff-2016-11,1
8454103ffffffff-2017-11,2
8454103ffffffff-2017-12,2
8454103ffffffff-2018-02,2
8454103ffffffff-2018-03,1
8454103ffffffff-2018-04,1
8454103ffffffff-2018-10,1
8454103ffffffff-2018-11,2
8454103ffffffff-2019-01,5
8454103ffffffff-2019-02,2
8454103ffffffff-2019-11,4
8454103ffffffff-2019-12,4
8454103ffffffff-2020-01,1
8454103ffffffff-2020-02,1
8454103ffffffff-2022-02,4
8454103ffffffff-2022-11,1
8454103ffffffff-2022-12,10
8454103ffffffff-2023-01,22
8454103ffffffff-2023-02,3
8454103ffffffff-2023-03,2
8454107ffffffff-2020-01,2
845411dffffffff-2016-10,2
845411dffffffff-2019-12,2
845411dffffffff-2020-01,7
845411dffffffff-2020-02,1
845411dffffffff-2020-12,2
845411dffffffff-2022-03,1
845411dffffffff-2022-11,1
845411dffffffff-2023-01,7
845411dffffffff-2023-03,2
845411dffffffff-2023-04,1
8454131ffffffff-2017-01,1
8454131ffffffff-2017-03,1
8454131ffffffff-2023-01,1
8454139ffffffff-2012-12,2
8454139ffffffff-2013-01,2
8454139ffffffff-2013-02,2
8454139ffffffff-2013-11,1
8454139ffffffff-2013-12,3
8454139ffffffff-2014-12,2
8454139ffffffff-2015-12,1
8454139ffffffff-2016-04,1
8454139ffffffff-2016-07,4
8454139ffffffff-2016-08,1
8454139ffffffff-2016-10,2
8454139ffffffff-2016-11,1
8454139ffffffff-2016-12,6
8454139ffffffff-2017-01,2
8454139ffffffff-2017-02,1
8454139ffffffff-2017-04,1
8454139ffffffff-2017-11,3
8454139ffffffff-2017-12,3
8454139ffffffff-2018-01,1
8454139ffffffff-2018-02,3
8454139ffffffff-2018-03,1
8454139ffffffff-2019-01,5
8454139ffffffff-2019-02,2
8454139ffffffff-2019-10,1
8454139ffffffff-2019-12,2
8454139ffffffff-2020-01,4
8454139ffffffff-2020-02,4
8454139ffffffff-2020-03,4
8454139ffffffff-2020-04,8
8454139ffffffff-2020-05,6
8454139ffffffff-2020-06,2
8454139ffffffff-2020-12,2
8454139ffffffff-2022-10,1
8454139ffffffff-2022-11,1
8454139ffffffff-2023-01,2
8454139ffffffff-2023-02,3
8454139ffffffff-2023-03,2
845413bffffffff-2023-05,3
8454153ffffffff-2018-12,4
8454153ffffffff-2019-01,3
8454153ffffffff-2020-01,17
8454153ffffffff-2022-03,1
8454153ffffffff-2022-12,5
8454153ffffffff-2023-01,6
8454153ffffffff-2023-02,2
8454153ffffffff-2023-03,9
8454153ffffffff-2023-04,1
8454157ffffffff-2018-10,1
8454157ffffffff-2019-11,1
8454157ffffffff-2022-12,1
84541a3ffffffff-2013-03,1
84541a3ffffffff-2014-01,1
84541a3ffffffff-2015-12,1
84541a3ffffffff-2016-03,1
84541a3ffffffff-2016-11,2
84541a3ffffffff-2017-01,1
84541a3ffffffff-2017-12,1
84541a3ffffffff-2018-11,2
84541a3ffffffff-2019-02,1
84541a5ffffffff-2018-04,1
84541a5ffffffff-2019-12,2
84541a5ffffffff-2023-02,3
84541abffffffff-2021-04,1
84541adffffffff-2014-02,1
84541adffffffff-2019-01,1
84541adffffffff-2020-01,2
84541adffffffff-2023-01,1
84541adffffffff-2023-02,8
84541b9ffffffff-2013-11,2
84541b9ffffffff-2014-01,2
84541b9ffffffff-2018-11,1
84541b9ffffffff-2020-01,1
84541b9ffffffff-2021-12,1
84541b9ffffffff-2022-11,2
84541b9ffffffff-2022-12,4
84541bbffffffff-2017-01,1
8454409ffffffff-2023-06,1
8454a93ffffffff-2012-02,1
8454a93ffffffff-2012-03,2
8454a93ffffffff-2012-04,2
8454a93ffffffff-2012-11,2
8454a93ffffffff-2013-02,2
8454a93ffffffff-2013-11,1
8454a93ffffffff-2013-12,2
8454a93ffffffff-2014-01,2
8454a93ffffffff-2014-04,1
8454a93ffffffff-2015-02,1
8454a93ffffffff-2015-04,1
8454a93ffffffff-2015-10,1
8454a93ffffffff-2015-12,3
8454a93ffffffff-2016-03,2
8454a93ffffffff-2016-05,1
