index,n
8481801ffffffff-2018-12,6
8481801ffffffff-2019-01,1
8481801ffffffff-2019-02,2
8481801ffffffff-2019-03,1
8481801ffffffff-2019-05,2
8481801ffffffff-2021-09,2
8481803ffffffff-2016-02,1
8481803ffffffff-2019-10,1
8481803ffffffff-2020-01,1
848180bffffffff-2013-10,1
848180bffffffff-2017-05,1
848180bffffffff-2019-01,2
848180bffffffff-2019-11,1
848180bffffffff-2020-01,1
848180bffffffff-2020-07,1
848180bffffffff-2020-09,1
848180bffffffff-2021-09,2
848180bffffffff-2021-10,6
848180bffffffff-2022-03,1
848180bffffffff-2022-07,1
848180bffffffff-2022-09,1
848180bffffffff-2023-02,1
8481819ffffffff-2020-09,1
8481819ffffffff-2021-02,1
8481819ffffffff-2021-05,1
8481819ffffffff-2022-05,1
8481819ffffffff-2023-01,1
8481819ffffffff-2023-10,2
848181bffffffff-2022-06,1
848181dffffffff-2013-04,1
848181dffffffff-2019-05,3
848181dffffffff-2022-12,4
848183bffffffff-2018-11,2
848183bffffffff-2022-02,1
848183bffffffff-2022-04,2
8481851ffffffff-2012-04,1
8481851ffffffff-2014-01,2
8481851ffffffff-2015-01,1
8481851ffffffff-2015-03,1
8481851ffffffff-2015-05,1
8481851ffffffff-2015-09,1
8481851ffffffff-2015-12,9
8481851ffffffff-2016-02,1
8481851ffffffff-2016-05,1
8481851ffffffff-2017-03,7
8481851ffffffff-2017-08,2
8481851ffffffff-2017-11,1
8481851ffffffff-2018-09,3
8481851ffffffff-2018-10,2
8481851ffffffff-2018-12,2
8481851ffffffff-2019-01,9
8481851ffffffff-2019-02,1
8481851ffffffff-2019-10,2
8481851ffffffff-2020-01,1
8481851ffffffff-2020-02,2
8481851ffffffff-2020-10,2
8481851ffffffff-2021-01,3
8481851ffffffff-2021-05,1
8481851ffffffff-2021-10,7
8481851ffffffff-2022-01,7
8481851ffffffff-2022-02,12
8481851ffffffff-2022-03,8
8481851ffffffff-2022-04,1
8481851ffffffff-2022-09,2
8481851ffffffff-2022-11,20
8481851ffffffff-2022-12,2
8481851ffffffff-2023-01,2
8481851ffffffff-2023-02,2
8481851ffffffff-2023-07,1
8481851ffffffff-2023-08,1
8481851ffffffff-2023-09,1
8481851ffffffff-2023-10,2
8481851ffffffff-2023-11,1
8481853ffffffff-2017-06,2
8481857ffffffff-2013-10,1
8481857ffffffff-2015-01,3
8481857ffffffff-2015-02,1
8481857ffffffff-2015-04,1
8481857ffffffff-2015-05,1
8481857ffffffff-2015-09,3
8481857ffffffff-2015-10,2
8481857ffffffff-2015-12,5
8481857ffffffff-2016-01,1
8481857ffffffff-2016-02,2
8481857ffffffff-2016-05,2
8481857ffffffff-2016-06,3
8481857ffffffff-2016-10,3
8481857ffffffff-2016-11,16
8481857ffffffff-2016-12,2
8481857ffffffff-2017-01,5
8481857ffffffff-2017-03,8
8481857ffffffff-2017-05,2
8481857ffffffff-2017-06,4
8481857ffffffff-2017-07,3
8481857ffffffff-2017-09,9
8481857ffffffff-2017-10,3
8481857ffffffff-2017-11,20
8481857ffffffff-2017-12,2
8481857ffffffff-2018-02,1
8481857ffffffff-2018-03,1
8481857ffffffff-2018-05,6
8481857ffffffff-2018-07,14
8481857ffffffff-2018-08,6
8481857ffffffff-2018-09,87
8481857ffffffff-2018-10,4
8481857ffffffff-2018-11,17
8481857ffffffff-2018-12,10
8481857ffffffff-2019-01,15
8481857ffffffff-2019-02,5
8481857ffffffff-2019-03,1
8481857ffffffff-2019-04,1
8481857ffffffff-2019-06,6
8481857ffffffff-2019-07,1
8481857ffffffff-2019-08,3
8481857ffffffff-2019-09,1
8481857ffffffff-2019-10,13
8481857ffffffff-2019-11,61
8481857ffffffff-2019-12,4
8481857ffffffff-2020-01,9
8481857ffffffff-2020-02,7
8481857ffffffff-2020-03,21
8481857ffffffff-2020-05,1
8481857ffffffff-2020-08,2
8481857ffffffff-2020-09,4
8481857ffffffff-2020-10,7
8481857ffffffff-2020-11,5
8481857ffffffff-2021-03,1
8481857ffffffff-2021-04,1
8481857ffffffff-2021-05,8
8481857ffffffff-2021-06,1
8481857ffffffff-2021-10,10
8481857ffffffff-2021-11,19
8481857ffffffff-2021-12,31
8481857ffffffff-2022-01,29
8481857ffffffff-2022-03,21
8481857ffffffff-2022-04,1
8481857ffffffff-2022-05,2
8481857ffffffff-2022-08,3
8481857ffffffff-2022-09,9
8481857ffffffff-2022-10,1
8481857ffffffff-2022-11,53
8481857ffffffff-2022-12,7
8481857ffffffff-2023-01,26
8481857ffffffff-2023-02,3
8481857ffffffff-2023-03,1
8481857ffffffff-2023-04,17
8481857ffffffff-2023-05,1
8481857ffffffff-2023-08,2
8481857ffffffff-2023-09,19
8481857ffffffff-2023-10,3
8481857ffffffff-2023-11,3
848185bffffffff-2014-11,1
848185bffffffff-2022-09,1
848185bffffffff-2022-11,1
848185bffffffff-2023-04,1
