index,n
845291bffffffff-2014-02,1
845291bffffffff-2015-11,1
8452933ffffffff-2017-10,3
84540abffffffff-2017-11,2
84540e3ffffffff-2018-12,1
8454187ffffffff-2020-01,1
8454187ffffffff-2023-02,1
8454197ffffffff-2013-09,1
845419bffffffff-2016-09,2
845419bffffffff-2020-01,1
84541a3ffffffff-2013-11,1
84541a3ffffffff-2014-01,5
84541a3ffffffff-2018-11,4
84541a3ffffffff-2019-11,1
84541a3ffffffff-2021-12,1
84541a3ffffffff-2022-12,3
84541a3ffffffff-2023-11,3
84541b5ffffffff-2013-10,1
84541b9ffffffff-2013-11,2
84541b9ffffffff-2014-01,2
84541b9ffffffff-2017-01,1
84541b9ffffffff-2018-11,2
84541b9ffffffff-2019-02,1
84541b9ffffffff-2020-01,2
84541b9ffffffff-2023-02,1
84541b9ffffffff-2023-11,1
84541bbffffffff-2013-02,1
84541bbffffffff-2015-02,1
84541bbffffffff-2016-03,2
84541bbffffffff-2017-01,1
84541bbffffffff-2018-11,7
84541bbffffffff-2019-01,2
84541bbffffffff-2020-12,1
84541bbffffffff-2022-01,3
84541bbffffffff-2022-03,1
84541bbffffffff-2022-11,2
84541bbffffffff-2023-03,1
84541bdffffffff-2012-11,1
84541bdffffffff-2013-12,1
84541bdffffffff-2014-01,2
84541bdffffffff-2016-11,6
84541bdffffffff-2018-11,4
84541bdffffffff-2019-01,3
84541bdffffffff-2019-02,1
84541bdffffffff-2019-10,1
84541bdffffffff-2019-11,5
84541bdffffffff-2019-12,4
84541bdffffffff-2020-01,1
84541bdffffffff-2020-02,1
84541bdffffffff-2021-11,8
84541bdffffffff-2022-11,3
84541bdffffffff-2022-12,1
84541bdffffffff-2023-01,1
84541bdffffffff-2023-11,2
8454447ffffffff-2018-05,2
84545d7ffffffff-2020-08,3
84545ebffffffff-2022-11,1
8454a9bffffffff-2015-04,1
8454a9bffffffff-2022-05,1
8454e05ffffffff-2021-11,3
8454e35ffffffff-2016-11,3
8454e4dffffffff-2017-12,4
8454e4dffffffff-2023-03,6
8454e59ffffffff-2022-01,1
8454e5bffffffff-2018-02,1
8454e5bffffffff-2023-02,3
8454edbffffffff-2022-10,1
8454ee3ffffffff-2020-10,1
8454ee3ffffffff-2020-12,1
8454f49ffffffff-2015-12,2
8454f49ffffffff-2018-11,2
8454f4dffffffff-2013-10,2
84581b7ffffffff-2023-09,1
8458517ffffffff-2021-11,1
8458517ffffffff-2021-12,1
84585c3ffffffff-2017-03,1
8458e31ffffffff-2022-10,1
8458e39ffffffff-2019-04,1
8458e39ffffffff-2022-09,1
8459937ffffffff-2017-11,1
8459985ffffffff-2015-12,1
84599a5ffffffff-2013-12,4
84599b9ffffffff-2013-11,1
84599e5ffffffff-2013-11,1
84599e5ffffffff-2013-12,4
84599e7ffffffff-2019-11,6
846a109ffffffff-2021-10,7
846a109ffffffff-2021-12,2
846a109ffffffff-2022-01,4
846a109ffffffff-2023-11,1
846a10bffffffff-2021-12,1
846a10dffffffff-2021-12,1
846a10dffffffff-2022-01,2
846a155ffffffff-2021-12,1
846a155ffffffff-2022-12,1
846a337ffffffff-2022-12,1
846a459ffffffff-2012-11,1
846a459ffffffff-2014-12,4
846a459ffffffff-2018-10,1
846a459ffffffff-2019-10,3
846a459ffffffff-2022-10,1
846a45bffffffff-2019-10,1
846a697ffffffff-2020-10,2
846bac9ffffffff-2021-12,1
84750d1ffffffff-2021-11,1
847518dffffffff-2022-11,1
8475201ffffffff-2012-01,3
8475201ffffffff-2013-02,2
8475201ffffffff-2013-11,3
8475201ffffffff-2013-12,8
8475201ffffffff-2014-01,1
8475201ffffffff-2015-12,2
8475201ffffffff-2017-11,5
8475201ffffffff-2018-02,5
8475201ffffffff-2018-09,2
8475201ffffffff-2019-10,3
8475201ffffffff-2019-11,6
8475201ffffffff-2019-12,2
8475201ffffffff-2020-01,4
8475201ffffffff-2021-08,2
8475201ffffffff-2021-11,1
8475201ffffffff-2021-12,3
8475201ffffffff-2022-04,1
8475201ffffffff-2022-11,3
8475201ffffffff-2023-01,1
8475201ffffffff-2023-02,3
8475201ffffffff-2023-03,1
8475201ffffffff-2023-10,2
8475201ffffffff-2023-11,2
8475207ffffffff-2012-01,3
8475207ffffffff-2013-02,2
8475207ffffffff-2014-10,1
8475207ffffffff-2015-10,3
8475207ffffffff-2015-12,3
8475207ffffffff-2017-01,2
8475207ffffffff-2017-11,4
8475207ffffffff-2018-09,1
8475207ffffffff-2018-11,4
8475207ffffffff-2019-03,1
8475207ffffffff-2019-10,3
8475207ffffffff-2019-11,15
8475207ffffffff-2019-12,3
8475207ffffffff-2020-01,1
8475207ffffffff-2020-02,1
8475207ffffffff-2021-02,2
8475207ffffffff-2021-10,1
8475207ffffffff-2021-11,1
8475207ffffffff-2021-12,9
8475207ffffffff-2022-01,5
8475207ffffffff-2022-02,3
8475207ffffffff-2022-08,2
8475207ffffffff-2022-10,2
8475207ffffffff-2022-11,7
8475207ffffffff-2022-12,1
8475207ffffffff-2023-01,7
8475207ffffffff-2023-02,2
8475207ffffffff-2023-03,2
8475207ffffffff-2023-10,4
8475207ffffffff-2023-11,1
8475209ffffffff-2021-08,2
847520bffffffff-2018-09,1
847520bffffffff-2021-12,1
847521dffffffff-2023-11,1
847ac97ffffffff-2016-04,1
847aca5ffffffff-2013-10,1
847ad99ffffffff-2020-02,1
