index,n
84a210dffffffff-2014-10,1
84a2129ffffffff-2023-10,2
84a2143ffffffff-2012-01,1
84a2143ffffffff-2012-10,1
84a2143ffffffff-2012-11,2
84a2143ffffffff-2013-10,4
84a2143ffffffff-2013-11,4
84a2143ffffffff-2014-08,1
84a2143ffffffff-2014-09,2
84a2143ffffffff-2014-10,1
84a2143ffffffff-2014-11,7
84a2143ffffffff-2015-05,13
84a2143ffffffff-2015-07,2
84a2143ffffffff-2015-09,2
84a2143ffffffff-2015-10,8
84a2143ffffffff-2015-11,11
84a2143ffffffff-2016-01,3
84a2143ffffffff-2016-09,1
84a2143ffffffff-2016-10,2
84a2143ffffffff-2016-11,16
84a2143ffffffff-2017-07,2
84a2143ffffffff-2017-09,3
84a2143ffffffff-2017-10,17
84a2143ffffffff-2017-11,49
84a2143ffffffff-2017-12,16
84a2143ffffffff-2018-01,1
84a2143ffffffff-2018-04,1
84a2143ffffffff-2018-07,3
84a2143ffffffff-2018-09,1
84a2143ffffffff-2018-11,27
84a2143ffffffff-2018-12,2
84a2143ffffffff-2019-07,1
84a2143ffffffff-2019-08,5
84a2143ffffffff-2019-09,9
84a2143ffffffff-2019-10,22
84a2143ffffffff-2019-11,10
84a2143ffffffff-2019-12,10
84a2143ffffffff-2022-02,6
84a2143ffffffff-2022-04,1
84a2143ffffffff-2022-05,6
84a2143ffffffff-2022-09,5
84a2143ffffffff-2022-10,15
84a2143ffffffff-2022-11,36
84a2143ffffffff-2022-12,4
84a2143ffffffff-2023-03,6
84a2143ffffffff-2023-08,13
84a2143ffffffff-2023-09,22
84a2143ffffffff-2023-10,25
84a2143ffffffff-2023-11,57
84a2147ffffffff-2016-10,1
84a2147ffffffff-2019-11,1
84a214bffffffff-2017-12,4
84a215dffffffff-2013-06,1
84a215dffffffff-2018-04,1
84a215dffffffff-2019-11,1
84a2163ffffffff-2023-11,3
84a2227ffffffff-2012-06,1
84a2227ffffffff-2012-10,2
84a2227ffffffff-2012-11,2
84a2227ffffffff-2013-06,3
84a2227ffffffff-2013-10,2
84a2227ffffffff-2013-11,1
84a2227ffffffff-2014-09,1
84a2227ffffffff-2014-10,1
84a2227ffffffff-2014-11,8
84a2227ffffffff-2015-05,2
84a2227ffffffff-2015-07,4
84a2227ffffffff-2015-10,2
84a2227ffffffff-2015-12,2
84a2227ffffffff-2016-01,2
84a2227ffffffff-2016-06,2
84a2227ffffffff-2016-08,1
84a2227ffffffff-2016-09,2
84a2227ffffffff-2016-11,5
84a2227ffffffff-2017-07,3
84a2227ffffffff-2017-09,2
84a2227ffffffff-2017-10,22
84a2227ffffffff-2017-11,25
84a2227ffffffff-2017-12,7
84a2227ffffffff-2018-04,2
84a2227ffffffff-2018-06,1
84a2227ffffffff-2018-07,3
84a2227ffffffff-2018-09,2
84a2227ffffffff-2018-10,11
84a2227ffffffff-2018-11,16
84a2227ffffffff-2018-12,1
84a2227ffffffff-2019-07,3
84a2227ffffffff-2019-08,5
84a2227ffffffff-2019-10,20
84a2227ffffffff-2019-11,9
84a2227ffffffff-2019-12,3
84a2227ffffffff-2020-10,1
84a2227ffffffff-2021-06,1
84a2227ffffffff-2022-03,1
84a2227ffffffff-2022-07,1
84a2227ffffffff-2022-08,1
84a2227ffffffff-2022-10,5
84a2227ffffffff-2022-11,2
84a2227ffffffff-2023-04,3
84a2227ffffffff-2023-05,3
84a2227ffffffff-2023-06,1
84a2227ffffffff-2023-07,1
84a2227ffffffff-2023-08,1
84a2227ffffffff-2023-09,9
84a2227ffffffff-2023-10,25
84a2227ffffffff-2023-11,29
84a225bffffffff-2012-11,1
84a2315ffffffff-2019-11,1
84a231bffffffff-2012-05,2
84a231bffffffff-2012-10,4
84a231bffffffff-2012-11,2
84a231bffffffff-2013-10,6
84a231bffffffff-2013-11,5
84a231bffffffff-2013-12,1
84a231bffffffff-2014-10,3
84a231bffffffff-2015-02,1
84a231bffffffff-2015-05,2
84a231bffffffff-2015-07,6
84a231bffffffff-2015-08,1
84a231bffffffff-2015-10,1
84a231bffffffff-2015-11,3
84a231bffffffff-2015-12,4
84a231bffffffff-2016-01,2
84a231bffffffff-2016-06,2
84a231bffffffff-2016-08,1
84a231bffffffff-2016-09,6
84a231bffffffff-2016-10,2
84a231bffffffff-2016-11,6
84a231bffffffff-2017-03,1
84a231bffffffff-2017-07,2
84a231bffffffff-2017-09,2
84a231bffffffff-2017-10,8
84a231bffffffff-2017-11,46
84a231bffffffff-2017-12,5
84a231bffffffff-2018-04,2
84a231bffffffff-2018-06,2
84a231bffffffff-2018-07,2
84a231bffffffff-2018-08,1
84a231bffffffff-2018-09,5
84a231bffffffff-2018-10,1
84a231bffffffff-2018-11,1
84a231bffffffff-2018-12,9
84a231bffffffff-2019-05,2
84a231bffffffff-2019-07,1
84a231bffffffff-2019-08,10
84a231bffffffff-2019-09,15
84a231bffffffff-2019-10,25
84a231bffffffff-2019-11,9
84a231bffffffff-2019-12,10
84a231bffffffff-2021-06,2
84a231bffffffff-2021-10,3
84a231bffffffff-2021-11,4
84a231bffffffff-2021-12,1
84a231bffffffff-2022-04,2
84a231bffffffff-2022-05,7
84a231bffffffff-2022-06,5
84a231bffffffff-2022-07,6
84a231bffffffff-2022-08,4
84a231bffffffff-2022-09,2
84a231bffffffff-2022-10,60
84a231bffffffff-2022-11,25
84a231bffffffff-2023-04,2
84a231bffffffff-2023-05,7
84a231bffffffff-2023-06,2
84a231bffffffff-2023-07,2
84a231bffffffff-2023-08,14
84a231bffffffff-2023-09,23
84a231bffffffff-2023-10,61
84a231bffffffff-2023-11,70
84a2353ffffffff-2012-10,1
84a2353ffffffff-2015-10,3
84a2353ffffffff-2015-11,1
84a2353ffffffff-2017-11,1
84a2353ffffffff-2018-10,2
84a2353ffffffff-2021-12,1
84a2353ffffffff-2023-10,4
84a2357ffffffff-2015-10,1
84a2357ffffffff-2015-12,1
84a2357ffffffff-2017-11,1
84a2357ffffffff-2018-07,3
84a2357ffffffff-2019-07,1
84a2357ffffffff-2019-10,2
84a2357ffffffff-2023-05,1
84a2357ffffffff-2023-06,1
84a2ae1ffffffff-2023-06,1
84a2ae9ffffffff-2012-11,2
84a2ae9ffffffff-2018-07,1
84a2ae9ffffffff-2022-10,1
84a2ae9ffffffff-2022-11,13
84a2ae9ffffffff-2022-12,2
84a2ae9ffffffff-2023-10,2
84a3083ffffffff-2018-06,1
84a308bffffffff-2012-10,1
84a308bffffffff-2013-11,4
84a308bffffffff-2014-11,1
84a308bffffffff-2016-09,8
84a308bffffffff-2017-11,7
84a308bffffffff-2017-12,2
84a308bffffffff-2018-11,3
84a308bffffffff-2022-09,9
84a308bffffffff-2022-10,2
84a308bffffffff-2022-11,1
84a308bffffffff-2023-07,1
84a308bffffffff-2023-08,1
