index,n
84a2129ffffffff-2023-10,6
84a2143ffffffff-2012-01,2
84a2143ffffffff-2012-11,2
84a2143ffffffff-2013-11,3
84a2143ffffffff-2014-09,1
84a2143ffffffff-2014-10,1
84a2143ffffffff-2014-11,3
84a2143ffffffff-2015-05,7
84a2143ffffffff-2015-07,6
84a2143ffffffff-2015-10,1
84a2143ffffffff-2015-11,6
84a2143ffffffff-2016-01,2
84a2143ffffffff-2016-10,1
84a2143ffffffff-2016-11,9
84a2143ffffffff-2017-09,1
84a2143ffffffff-2017-10,8
84a2143ffffffff-2017-11,13
84a2143ffffffff-2017-12,5
84a2143ffffffff-2018-04,1
84a2143ffffffff-2018-09,2
84a2143ffffffff-2018-10,7
84a2143ffffffff-2018-11,20
84a2143ffffffff-2019-07,1
84a2143ffffffff-2019-08,10
84a2143ffffffff-2019-09,6
84a2143ffffffff-2019-10,20
84a2143ffffffff-2019-11,10
84a2143ffffffff-2019-12,10
84a2143ffffffff-2021-01,1
84a2143ffffffff-2022-03,5
84a2143ffffffff-2022-04,4
84a2143ffffffff-2022-05,3
84a2143ffffffff-2022-09,4
84a2143ffffffff-2022-10,39
84a2143ffffffff-2022-11,14
84a2143ffffffff-2022-12,1
84a2143ffffffff-2023-05,2
84a2143ffffffff-2023-08,4
84a2143ffffffff-2023-09,23
84a2143ffffffff-2023-10,39
84a2143ffffffff-2023-11,46
84a214bffffffff-2023-09,1
84a214bffffffff-2023-11,3
84a215dffffffff-2016-01,1
84a215dffffffff-2022-11,1
84a2227ffffffff-2012-07,1
84a2227ffffffff-2012-10,2
84a2227ffffffff-2012-11,4
84a2227ffffffff-2012-12,1
84a2227ffffffff-2013-10,2
84a2227ffffffff-2014-09,1
84a2227ffffffff-2014-11,7
84a2227ffffffff-2015-07,2
84a2227ffffffff-2015-08,1
84a2227ffffffff-2015-09,3
84a2227ffffffff-2015-10,4
84a2227ffffffff-2015-11,5
84a2227ffffffff-2015-12,1
84a2227ffffffff-2016-07,2
84a2227ffffffff-2016-09,4
84a2227ffffffff-2016-11,4
84a2227ffffffff-2017-04,2
84a2227ffffffff-2017-10,12
84a2227ffffffff-2017-11,18
84a2227ffffffff-2018-04,1
84a2227ffffffff-2018-06,1
84a2227ffffffff-2018-07,1
84a2227ffffffff-2018-08,1
84a2227ffffffff-2018-09,4
84a2227ffffffff-2018-10,19
84a2227ffffffff-2018-11,14
84a2227ffffffff-2019-02,2
84a2227ffffffff-2019-05,1
84a2227ffffffff-2019-07,1
84a2227ffffffff-2019-08,5
84a2227ffffffff-2019-10,14
84a2227ffffffff-2019-11,9
84a2227ffffffff-2019-12,8
84a2227ffffffff-2022-03,1
84a2227ffffffff-2022-10,18
84a2227ffffffff-2022-11,6
84a2227ffffffff-2023-04,2
84a2227ffffffff-2023-05,1
84a2227ffffffff-2023-08,2
84a2227ffffffff-2023-09,10
84a2227ffffffff-2023-10,16
84a2227ffffffff-2023-11,16
84a2235ffffffff-2023-10,2
84a2319ffffffff-2022-10,1
84a231bffffffff-2012-07,1
84a231bffffffff-2012-08,1
84a231bffffffff-2012-10,6
84a231bffffffff-2012-11,4
84a231bffffffff-2013-11,2
84a231bffffffff-2015-07,2
84a231bffffffff-2015-08,1
84a231bffffffff-2015-09,1
84a231bffffffff-2015-10,4
84a231bffffffff-2015-11,5
84a231bffffffff-2015-12,2
84a231bffffffff-2016-01,2
84a231bffffffff-2016-09,4
84a231bffffffff-2016-10,1
84a231bffffffff-2016-11,9
84a231bffffffff-2017-03,1
84a231bffffffff-2017-07,3
84a231bffffffff-2017-10,15
84a231bffffffff-2017-11,40
84a231bffffffff-2017-12,1
84a231bffffffff-2018-01,1
84a231bffffffff-2018-08,1
84a231bffffffff-2018-09,6
84a231bffffffff-2018-10,29
84a231bffffffff-2018-11,21
84a231bffffffff-2018-12,5
