index,n
84a2205ffffffff-2015-08,1
84a30a9ffffffff-2014-11,1
84a30a9ffffffff-2017-11,1
84a30a9ffffffff-2022-09,2
84a30a9ffffffff-2022-11,1
84a30d9ffffffff-2012-11,1
84a30d9ffffffff-2019-04,1
84a30e7ffffffff-2014-04,1
84a3183ffffffff-2022-10,1
84a3189ffffffff-2017-11,4
84a3189ffffffff-2022-09,1
84a3189ffffffff-2022-12,1
84a318bffffffff-2014-11,1
84a318bffffffff-2015-10,1
84a318dffffffff-2016-09,2
84a318dffffffff-2017-10,1
84a318dffffffff-2022-09,3
84a318dffffffff-2022-10,1
84a318dffffffff-2023-08,1
84a318dffffffff-2023-09,1
84a318dffffffff-2023-10,1
84a3191ffffffff-2017-11,5
84a3191ffffffff-2018-09,1
84a3191ffffffff-2018-10,2
84a3191ffffffff-2018-11,4
84a3191ffffffff-2019-07,2
84a3191ffffffff-2019-11,8
84a3191ffffffff-2022-10,12
84a3191ffffffff-2022-11,10
84a3191ffffffff-2023-05,1
84a3191ffffffff-2023-06,3
84a3191ffffffff-2023-09,6
84a3191ffffffff-2023-10,2
84a3191ffffffff-2023-11,26
84a3199ffffffff-2012-09,1
84a3199ffffffff-2012-11,1
84a3199ffffffff-2013-11,1
84a3199ffffffff-2013-12,1
84a3199ffffffff-2014-10,1
84a3199ffffffff-2014-11,3
84a3199ffffffff-2015-09,1
84a3199ffffffff-2017-10,1
84a3199ffffffff-2017-11,1
84a3199ffffffff-2018-10,1
84a319bffffffff-2019-02,1
84a319bffffffff-2022-12,1
84a319dffffffff-2012-10,4
84a319dffffffff-2012-11,3
84a319dffffffff-2013-10,2
84a319dffffffff-2013-11,3
84a319dffffffff-2014-10,2
84a319dffffffff-2015-07,2
84a319dffffffff-2015-09,1
84a319dffffffff-2015-10,7
84a319dffffffff-2015-11,4
84a319dffffffff-2016-09,1
84a319dffffffff-2016-10,1
84a319dffffffff-2016-11,3
84a319dffffffff-2016-12,3
84a319dffffffff-2017-09,1
84a319dffffffff-2017-10,7
84a319dffffffff-2017-11,14
84a319dffffffff-2017-12,1
84a319dffffffff-2018-09,2
84a319dffffffff-2018-10,3
84a319dffffffff-2018-11,4
84a319dffffffff-2019-07,2
84a319dffffffff-2019-08,1
84a319dffffffff-2019-11,3
84a319dffffffff-2022-10,1
84a319dffffffff-2023-10,6
84a319dffffffff-2023-11,33
84a31c3ffffffff-2017-11,1
84a31d1ffffffff-2023-07,1
84a31d5ffffffff-2012-09,1
84a31d5ffffffff-2012-10,2
84a31d5ffffffff-2012-11,1
84a31d5ffffffff-2013-10,1
84a31d5ffffffff-2015-10,4
84a31d5ffffffff-2015-11,2
84a31d5ffffffff-2016-11,1
84a31d5ffffffff-2018-09,1
84a31d5ffffffff-2018-10,4
84a31d5ffffffff-2018-11,6
84a31d5ffffffff-2019-10,9
84a31d5ffffffff-2019-11,9
84a3721ffffffff-2022-12,1
84a3761ffffffff-2018-05,2
84a3761ffffffff-2018-11,2
84a3761ffffffff-2019-10,1
84a3761ffffffff-2022-09,2
84a38d3ffffffff-2017-10,1
84a3abbffffffff-2023-08,2
84a3abbffffffff-2023-10,2
