index,n
84a2049ffffffff-2022-11,2
84a2049ffffffff-2023-06,2
84a204dffffffff-2023-09,1
84a210dffffffff-2015-10,1
84a2129ffffffff-2023-10,4
84a2129ffffffff-2023-11,1
84a2135ffffffff-2023-03,1
84a2139ffffffff-2023-03,1
84a213dffffffff-2023-03,7
84a2143ffffffff-2012-01,1
84a2143ffffffff-2012-10,2
84a2143ffffffff-2012-11,1
84a2143ffffffff-2013-09,1
84a2143ffffffff-2013-10,1
84a2143ffffffff-2013-11,9
84a2143ffffffff-2014-09,1
84a2143ffffffff-2014-10,1
84a2143ffffffff-2014-11,4
84a2143ffffffff-2015-05,13
84a2143ffffffff-2015-07,2
84a2143ffffffff-2015-09,1
84a2143ffffffff-2015-10,5
84a2143ffffffff-2015-11,8
84a2143ffffffff-2016-01,3
84a2143ffffffff-2016-06,2
84a2143ffffffff-2016-09,2
84a2143ffffffff-2016-11,4
84a2143ffffffff-2016-12,1
84a2143ffffffff-2017-07,1
84a2143ffffffff-2017-09,2
84a2143ffffffff-2017-10,12
84a2143ffffffff-2017-11,26
84a2143ffffffff-2017-12,19
84a2143ffffffff-2018-05,2
84a2143ffffffff-2018-09,4
84a2143ffffffff-2018-10,5
84a2143ffffffff-2018-11,41
84a2143ffffffff-2018-12,2
84a2143ffffffff-2019-07,1
84a2143ffffffff-2019-08,15
84a2143ffffffff-2019-09,8
84a2143ffffffff-2019-10,33
84a2143ffffffff-2019-11,20
84a2143ffffffff-2019-12,10
84a2143ffffffff-2022-02,7
84a2143ffffffff-2022-03,8
84a2143ffffffff-2022-04,5
84a2143ffffffff-2022-05,6
84a2143ffffffff-2022-08,2
84a2143ffffffff-2022-09,3
84a2143ffffffff-2022-10,31
84a2143ffffffff-2022-11,23
84a2143ffffffff-2022-12,5
84a2143ffffffff-2023-02,1
84a2143ffffffff-2023-03,3
84a2143ffffffff-2023-05,2
84a2143ffffffff-2023-08,9
84a2143ffffffff-2023-09,2
84a2143ffffffff-2023-10,58
84a2143ffffffff-2023-11,60
84a2147ffffffff-2015-10,2
84a2147ffffffff-2016-10,1
84a2147ffffffff-2018-11,1
84a2147ffffffff-2023-10,2
84a214bffffffff-2017-11,4
84a214bffffffff-2022-10,1
84a2151ffffffff-2016-03,1
84a2151ffffffff-2017-06,1
84a2151ffffffff-2022-10,1
84a215dffffffff-2018-10,2
84a215dffffffff-2023-08,2
84a215dffffffff-2023-10,9
84a2163ffffffff-2023-11,2
84a216bffffffff-2019-09,1
84a2227ffffffff-2012-06,1
84a2227ffffffff-2012-07,1
84a2227ffffffff-2013-06,1
84a2227ffffffff-2013-10,2
84a2227ffffffff-2014-09,1
84a2227ffffffff-2014-10,2
84a2227ffffffff-2014-11,3
84a2227ffffffff-2015-07,1
84a2227ffffffff-2015-08,1
84a2227ffffffff-2015-09,2
84a2227ffffffff-2015-10,4
84a2227ffffffff-2015-11,6
84a2227ffffffff-2015-12,1
84a2227ffffffff-2016-06,20
84a2227ffffffff-2016-07,25
84a2227ffffffff-2016-09,1
84a2227ffffffff-2016-11,5
84a2227ffffffff-2017-07,1
84a2227ffffffff-2017-09,1
84a2227ffffffff-2017-10,14
84a2227ffffffff-2017-11,19
84a2227ffffffff-2017-12,7
84a2227ffffffff-2018-04,2
84a2227ffffffff-2018-05,1
84a2227ffffffff-2018-07,1
84a2227ffffffff-2018-09,5
84a2227ffffffff-2018-10,10
84a2227ffffffff-2018-11,9
84a2227ffffffff-2018-12,1
84a2227ffffffff-2019-02,3
84a2227ffffffff-2019-08,5
84a2227ffffffff-2019-10,11
84a2227ffffffff-2019-11,6
84a2227ffffffff-2020-10,1
84a2227ffffffff-2021-06,1
84a2227ffffffff-2022-03,1
84a2227ffffffff-2022-08,1
84a2227ffffffff-2022-10,3
84a2227ffffffff-2022-11,1
84a2227ffffffff-2022-12,3
84a2227ffffffff-2023-04,1
84a2227ffffffff-2023-05,3
