index,n
84a2049ffffffff-2022-10,1
84a2049ffffffff-2023-08,1
84a2129ffffffff-2023-10,4
84a2135ffffffff-2023-03,1
84a213dffffffff-2023-03,4
84a2143ffffffff-2012-01,1
84a2143ffffffff-2012-10,1
84a2143ffffffff-2012-11,5
84a2143ffffffff-2013-11,7
84a2143ffffffff-2014-08,1
84a2143ffffffff-2014-11,9
84a2143ffffffff-2015-05,1
84a2143ffffffff-2015-09,1
84a2143ffffffff-2015-10,6
84a2143ffffffff-2015-11,7
84a2143ffffffff-2016-10,2
84a2143ffffffff-2016-11,2
84a2143ffffffff-2016-12,1
84a2143ffffffff-2017-09,2
84a2143ffffffff-2017-10,5
84a2143ffffffff-2017-11,28
84a2143ffffffff-2018-09,1
84a2143ffffffff-2018-10,5
84a2143ffffffff-2018-11,15
84a2143ffffffff-2018-12,6
84a2143ffffffff-2019-08,1
84a2143ffffffff-2019-09,6
84a2143ffffffff-2019-10,19
84a2143ffffffff-2019-11,3
84a2143ffffffff-2019-12,8
84a2143ffffffff-2022-02,4
84a2143ffffffff-2022-05,1
84a2143ffffffff-2022-08,1
84a2143ffffffff-2022-10,25
84a2143ffffffff-2022-11,10
84a2143ffffffff-2023-08,8
84a2143ffffffff-2023-10,31
84a2143ffffffff-2023-11,20
84a2147ffffffff-2015-10,1
84a2147ffffffff-2016-10,1
84a2147ffffffff-2016-11,2
84a2147ffffffff-2017-11,4
84a2147ffffffff-2019-09,5
84a2147ffffffff-2019-11,1
84a2147ffffffff-2022-10,2
84a2147ffffffff-2022-11,1
84a214bffffffff-2017-10,1
84a214bffffffff-2023-11,2
84a2151ffffffff-2022-10,1
84a215dffffffff-2016-03,1
84a215dffffffff-2017-11,5
84a215dffffffff-2018-10,3
84a215dffffffff-2019-08,2
84a215dffffffff-2022-10,5
84a215dffffffff-2022-11,1
84a215dffffffff-2023-05,1
84a215dffffffff-2023-11,2
84a2161ffffffff-2022-11,2
84a2163ffffffff-2023-11,2
84a2227ffffffff-2012-01,1
84a2227ffffffff-2012-12,1
84a2227ffffffff-2014-11,2
84a2227ffffffff-2015-08,1
84a2227ffffffff-2015-09,3
84a2227ffffffff-2015-10,1
84a2227ffffffff-2016-04,1
84a2227ffffffff-2016-06,4
84a2227ffffffff-2016-07,2
84a2227ffffffff-2016-09,1
84a2227ffffffff-2018-10,5
84a2227ffffffff-2018-12,1
84a2227ffffffff-2019-02,4
84a2227ffffffff-2022-10,1
84a2227ffffffff-2022-11,2
84a2227ffffffff-2023-09,1
84a2227ffffffff-2023-10,8
84a2235ffffffff-2022-05,1
84a2303ffffffff-2018-03,1
84a2303ffffffff-2023-11,5
84a2307ffffffff-2016-01,1
84a2307ffffffff-2023-11,8
84a2319ffffffff-2017-10,3
84a2319ffffffff-2019-02,2
84a231bffffffff-2012-05,2
84a231bffffffff-2012-10,1
84a231bffffffff-2015-08,2
84a231bffffffff-2015-09,1
84a231bffffffff-2015-11,2
84a231bffffffff-2017-11,3
84a231bffffffff-2018-10,3
84a231bffffffff-2018-11,1
84a231bffffffff-2019-08,1
84a231bffffffff-2019-10,8
84a231bffffffff-2019-11,1
84a231bffffffff-2022-05,2
84a231bffffffff-2022-10,5
84a231bffffffff-2022-11,1
84a231bffffffff-2022-12,4
84a231bffffffff-2023-05,2
84a231bffffffff-2023-09,12
84a231bffffffff-2023-10,10
84a231bffffffff-2023-11,11
84a231dffffffff-2019-11,1
84a2335ffffffff-2022-10,1
84a2335ffffffff-2023-10,1
84a233dffffffff-2022-09,1
84a233dffffffff-2022-11,1
84a2353ffffffff-2012-10,1
84a2353ffffffff-2013-11,1
84a2353ffffffff-2014-01,1
84a2353ffffffff-2017-11,1
84a2353ffffffff-2018-10,1
84a2357ffffffff-2012-09,1
84a2357ffffffff-2012-10,1
84a2357ffffffff-2012-11,4
84a2357ffffffff-2013-01,2
84a2357ffffffff-2013-09,1
84a2357ffffffff-2013-10,2
84a2357ffffffff-2013-11,4
84a2357ffffffff-2013-12,1
84a2357ffffffff-2014-09,1
84a2357ffffffff-2014-10,1
84a2357ffffffff-2015-01,2
84a2357ffffffff-2015-10,5
84a2357ffffffff-2015-11,4
84a2357ffffffff-2015-12,2
84a2357ffffffff-2016-01,1
84a2357ffffffff-2016-07,2
84a2357ffffffff-2016-09,2
84a2357ffffffff-2016-11,5
84a2357ffffffff-2017-10,8
84a2357ffffffff-2017-11,14
84a2357ffffffff-2018-10,17
84a2357ffffffff-2018-11,19
84a2357ffffffff-2019-07,3
84a2357ffffffff-2019-09,7
84a2357ffffffff-2019-10,4
84a2357ffffffff-2019-11,11
84a2357ffffffff-2019-12,2
84a2357ffffffff-2020-03,1
84a2357ffffffff-2021-01,1
84a2357ffffffff-2021-08,1
84a2357ffffffff-2021-09,1
84a2357ffffffff-2021-10,2
84a2357ffffffff-2021-12,2
84a2357ffffffff-2022-01,5
84a2357ffffffff-2022-02,1
84a2357ffffffff-2022-05,1
84a2357ffffffff-2022-07,3
84a2357ffffffff-2022-08,2
84a2357ffffffff-2022-09,8
84a2357ffffffff-2022-10,5
84a2357ffffffff-2022-11,7
84a2357ffffffff-2023-01,2
84a2357ffffffff-2023-02,1
84a2357ffffffff-2023-03,1
84a2357ffffffff-2023-08,3
84a2357ffffffff-2023-09,5
84a2357ffffffff-2023-10,35
84a2357ffffffff-2023-11,29
84a2359ffffffff-2015-10,1
84a2365ffffffff-2014-08,2
84a2365ffffffff-2019-08,1
84a2365ffffffff-2022-10,1
84a2a3bffffffff-2023-10,5
84a2a49ffffffff-2012-11,3
84a2a49ffffffff-2013-11,1
84a2a49ffffffff-2015-05,2
84a2a49ffffffff-2015-11,1
84a2a49ffffffff-2016-01,1
84a2a49ffffffff-2016-11,2
84a2a49ffffffff-2017-11,5
84a2a49ffffffff-2017-12,2
84a2a49ffffffff-2018-05,1
84a2a49ffffffff-2018-09,2
84a2a49ffffffff-2018-10,2
84a2a49ffffffff-2018-11,9
84a2a49ffffffff-2019-10,1
84a2a49ffffffff-2022-10,3
84a2a49ffffffff-2022-11,1
84a2a49ffffffff-2023-10,1
84a2a49ffffffff-2023-11,9
84a2a69ffffffff-2019-08,1
84a2a69ffffffff-2022-10,1
84a2a69ffffffff-2022-11,2
84a2a69ffffffff-2023-11,9
84a2ae1ffffffff-2023-10,2
84a2ae9ffffffff-2022-11,1
84a2ae9ffffffff-2023-11,1
84a2aedffffffff-2012-07,1
84a2aedffffffff-2014-11,1
84a2aedffffffff-2017-11,14
84a3041ffffffff-2022-08,1
84a3041ffffffff-2022-09,1
84a3041ffffffff-2022-10,1
84a3041ffffffff-2023-05,1
84a3043ffffffff-2014-11,1
84a3043ffffffff-2014-12,1
84a3043ffffffff-2017-10,4
84a3043ffffffff-2022-10,2
84a3043ffffffff-2022-11,4
84a3043ffffffff-2023-05,1
84a3043ffffffff-2023-09,2
84a3047ffffffff-2012-03,1
84a3047ffffffff-2022-09,2
84a3047ffffffff-2022-10,4
84a3047ffffffff-2022-11,3
84a3047ffffffff-2023-07,1
84a3047ffffffff-2023-08,1
84a3083ffffffff-2023-09,1
84a3085ffffffff-2018-06,1
84a3085ffffffff-2019-10,2
84a3085ffffffff-2022-11,1
84a308bffffffff-2014-11,2
84a308bffffffff-2016-09,4
84a308bffffffff-2017-11,4
84a308bffffffff-2017-12,1
84a308bffffffff-2018-11,1
84a308bffffffff-2022-10,1
84a308bffffffff-2022-11,1
84a308bffffffff-2023-09,2
84a3093ffffffff-2018-10,1
84a3093ffffffff-2021-10,2
84a3093ffffffff-2021-11,2
84a30a9ffffffff-2022-09,2
84a30c1ffffffff-2022-09,1
84a30c3ffffffff-2022-01,1
84a30c3ffffffff-2022-04,1
84a30c3ffffffff-2022-08,1
84a30c3ffffffff-2022-10,1
84a30c3ffffffff-2022-11,2
84a30c3ffffffff-2023-04,1
84a30c3ffffffff-2023-07,1
84a30c3ffffffff-2023-10,1
84a30cbffffffff-2021-10,5
84a30cbffffffff-2022-01,1
84a30cbffffffff-2022-06,1
84a30cbffffffff-2022-08,2
84a30cbffffffff-2022-09,4
84a30cbffffffff-2022-10,1
84a30cbffffffff-2023-06,4
84a30cbffffffff-2023-07,6
84a30cbffffffff-2023-10,3
84a30cbffffffff-2023-11,1
84a30d5ffffffff-2015-02,1
84a30d9ffffffff-2019-04,2
84a30dbffffffff-2015-02,1
84a30dbffffffff-2019-04,1
84a30ddffffffff-2022-05,2
84a30ddffffffff-2022-06,2
84a30ddffffffff-2022-08,2
84a30ddffffffff-2022-09,1
84a30ddffffffff-2022-10,1
84a30ddffffffff-2022-11,1
84a30ddffffffff-2023-07,1
84a30ddffffffff-2023-09,2
84a30ddffffffff-2023-10,2
84a30e7ffffffff-2022-10,2
84a30e7ffffffff-2023-11,1
84a3189ffffffff-2017-11,4
84a318dffffffff-2017-11,2
84a318dffffffff-2023-10,1
84a3191ffffffff-2018-09,2
84a3191ffffffff-2022-11,1
84a3199ffffffff-2013-12,1
84a319dffffffff-2013-10,2
84a319dffffffff-2014-11,1
84a319dffffffff-2016-09,2
84a319dffffffff-2019-12,1
84a319dffffffff-2022-10,5
84a319dffffffff-2023-08,1
84a319dffffffff-2023-10,1
84a31bbffffffff-2019-10,1
84a31c3ffffffff-2017-11,2
84a31d5ffffffff-2014-10,1
84a31d5ffffffff-2015-10,3
84a31d5ffffffff-2022-10,3
84a31d5ffffffff-2022-11,1
84a31d5ffffffff-2023-07,3
84a31d5ffffffff-2023-09,3
84a31d7ffffffff-2012-07,1
84a3227ffffffff-2014-11,1
84a3227ffffffff-2017-10,2
84a3311ffffffff-2021-09,1
84a3311ffffffff-2023-01,3
84a3319ffffffff-2014-11,1
84a3319ffffffff-2022-11,4
84a331bffffffff-2014-11,1
84a331bffffffff-2021-10,1
84a331dffffffff-2017-10,2
84a331dffffffff-2022-11,4
84a3351ffffffff-2014-12,1
84a3351ffffffff-2017-10,4
84a3351ffffffff-2021-10,1
84a3351ffffffff-2022-10,4
84a3351ffffffff-2022-11,11
84a3351ffffffff-2023-04,1
84a3357ffffffff-2022-10,3
84a3357ffffffff-2022-12,4
84a3561ffffffff-2023-06,2
84a3565ffffffff-2018-11,2
84a3565ffffffff-2022-10,2
84a3567ffffffff-2012-04,2
84a3567ffffffff-2012-07,1
84a3567ffffffff-2015-10,1
84a3567ffffffff-2016-04,1
84a3567ffffffff-2016-09,1
84a3567ffffffff-2022-10,1
84a3567ffffffff-2023-11,2
84a356dffffffff-2022-12,2
84a372dffffffff-2022-09,1
84a372dffffffff-2023-10,2
84a3761ffffffff-2015-02,3
84a3761ffffffff-2018-09,1
84a3761ffffffff-2018-11,5
84a3765ffffffff-2015-02,1
84a3765ffffffff-2018-10,1
84a3765ffffffff-2019-04,1
84a3765ffffffff-2022-10,3
84a3765ffffffff-2023-08,1
84a3765ffffffff-2023-10,1
84a3767ffffffff-2023-10,1
84a3769ffffffff-2015-02,1
84a3769ffffffff-2019-04,1
84a3769ffffffff-2021-08,1
84a376dffffffff-2023-03,1
84a38b3ffffffff-2012-10,3
84a38b3ffffffff-2012-11,1
84a38b3ffffffff-2015-10,1
84a38b3ffffffff-2015-11,1
84a38b3ffffffff-2016-10,1
84a38b3ffffffff-2017-10,2
84a38b3ffffffff-2017-11,4
84a38b3ffffffff-2018-09,1
84a38b3ffffffff-2018-10,1
84a38b3ffffffff-2018-11,1
84a38b3ffffffff-2019-10,2
84a38b3ffffffff-2022-11,3
84a38b3ffffffff-2023-10,4
84a38b3ffffffff-2023-11,2
84a38b5ffffffff-2022-10,1
84a38b7ffffffff-2012-04,1
84a38b7ffffffff-2015-11,2
84a38b7ffffffff-2016-01,1
84a38b7ffffffff-2016-10,2
84a38b7ffffffff-2016-11,3
84a38b7ffffffff-2017-10,4
84a38b7ffffffff-2017-11,1
84a38b7ffffffff-2017-12,6
84a38b7ffffffff-2018-05,1
84a38b7ffffffff-2018-11,12
84a38b7ffffffff-2018-12,2
84a38b7ffffffff-2019-11,11
84a38b7ffffffff-2019-12,2
84a38b7ffffffff-2022-11,5
84a38b7ffffffff-2022-12,3
84a38b7ffffffff-2023-05,1
84a38b7ffffffff-2023-08,1
84a38b7ffffffff-2023-10,1
84a38b7ffffffff-2023-11,3
84a38cbffffffff-2012-04,1
84a38cbffffffff-2012-08,1
84a38cbffffffff-2023-09,1
84a38cbffffffff-2023-11,1
84a38d1ffffffff-2012-08,1
84a38dbffffffff-2022-10,1
84a38e7ffffffff-2015-05,2
84a3993ffffffff-2012-11,1
84a3993ffffffff-2013-12,4
84a3993ffffffff-2014-11,1
84a3993ffffffff-2015-11,2
84a3993ffffffff-2016-01,3
84a3993ffffffff-2016-03,1
84a3993ffffffff-2016-09,1
84a3993ffffffff-2016-11,6
84a3993ffffffff-2017-10,8
84a3993ffffffff-2017-11,6
84a3993ffffffff-2017-12,1
84a3993ffffffff-2018-10,1
84a3993ffffffff-2018-11,23
84a3993ffffffff-2019-10,1
84a3993ffffffff-2019-11,11
84a3993ffffffff-2022-10,1
84a3993ffffffff-2022-12,2
84a3993ffffffff-2023-03,1
84a3993ffffffff-2023-10,12
84a3993ffffffff-2023-11,25
84a3997ffffffff-2012-10,1
84a3997ffffffff-2016-01,2
84a3997ffffffff-2017-10,1
84a3997ffffffff-2018-11,4
84a3997ffffffff-2019-10,3
84a3997ffffffff-2023-11,4
84a399bffffffff-2012-04,2
84a399bffffffff-2012-10,2
84a399bffffffff-2013-10,2
84a399bffffffff-2013-11,1
84a399bffffffff-2014-10,1
84a399bffffffff-2015-08,1
84a399bffffffff-2015-10,3
84a399bffffffff-2015-11,2
84a399bffffffff-2016-01,5
84a399bffffffff-2016-11,5
84a399bffffffff-2017-10,7
84a399bffffffff-2017-11,7
84a399bffffffff-2018-05,1
84a399bffffffff-2018-09,2
84a399bffffffff-2018-10,2
84a399bffffffff-2018-11,8
84a399bffffffff-2018-12,2
84a399bffffffff-2019-09,1
84a399bffffffff-2019-10,13
84a399bffffffff-2019-11,4
84a399bffffffff-2021-11,2
84a399bffffffff-2022-10,2
84a399bffffffff-2023-05,1
84a399bffffffff-2023-10,10
84a399bffffffff-2023-11,49
84a39dbffffffff-2015-03,2
84a39dbffffffff-2019-11,2
84a39dbffffffff-2021-11,1
84a39dbffffffff-2021-12,2
84a3a95ffffffff-2015-07,1
84a3a95ffffffff-2019-10,2
84a3a95ffffffff-2022-10,1
84a3a95ffffffff-2023-08,1
84a3a95ffffffff-2023-10,2
84a3ab3ffffffff-2017-04,2
84a3ab7ffffffff-2015-10,1
84a3ab7ffffffff-2022-10,1
84a3ab7ffffffff-2023-08,1
84a3ab7ffffffff-2023-09,1
84a3ab9ffffffff-2023-09,3
84a3abbffffffff-2012-08,1
84a3abbffffffff-2022-10,2
84a3abbffffffff-2023-08,3
84a3abbffffffff-2023-09,1
84a3abbffffffff-2023-10,3
84a3ad7ffffffff-2017-11,3
