index,n
84c3019ffffffff-2022-09,1
84c3053ffffffff-2012-10,2
84c3053ffffffff-2015-10,2
84c3053ffffffff-2016-02,1
84c3053ffffffff-2019-01,2
84c3053ffffffff-2019-10,6
84c3053ffffffff-2020-01,1
84c305bffffffff-2019-07,1
84c305bffffffff-2021-09,1
84c305bffffffff-2022-03,1
84c305bffffffff-2022-09,2
84c30c3ffffffff-2021-05,1
84c3207ffffffff-2017-05,2
84c3207ffffffff-2017-10,3
84c3207ffffffff-2018-05,4
84c3207ffffffff-2018-10,10
84c3207ffffffff-2023-05,3
84c320dffffffff-2012-02,1
84c320dffffffff-2015-07,1
84c320dffffffff-2016-01,6
84c320dffffffff-2016-02,3
84c320dffffffff-2016-11,1
84c320dffffffff-2017-04,1
84c320dffffffff-2017-05,10
84c320dffffffff-2017-08,23
84c320dffffffff-2017-10,18
84c320dffffffff-2017-11,1
84c320dffffffff-2018-01,9
84c320dffffffff-2018-02,8
84c320dffffffff-2018-03,2
84c320dffffffff-2018-05,4
84c320dffffffff-2018-08,8
84c320dffffffff-2018-10,10
84c320dffffffff-2018-12,2
84c320dffffffff-2019-02,5
84c320dffffffff-2019-03,3
84c320dffffffff-2019-04,1
84c320dffffffff-2019-05,3
84c320dffffffff-2019-10,1
84c320dffffffff-2019-11,1
84c320dffffffff-2019-12,3
84c320dffffffff-2020-02,1
84c320dffffffff-2020-03,1
84c320dffffffff-2020-07,4
84c320dffffffff-2020-09,1
84c320dffffffff-2020-10,2
84c320dffffffff-2020-11,1
84c320dffffffff-2020-12,3
84c320dffffffff-2021-03,2
84c320dffffffff-2021-05,1
84c320dffffffff-2021-07,1
84c320dffffffff-2021-08,1
84c320dffffffff-2021-10,1
84c320dffffffff-2021-11,1
84c320dffffffff-2022-01,1
84c320dffffffff-2022-03,1
84c320dffffffff-2022-05,2
84c320dffffffff-2022-06,1
84c320dffffffff-2022-10,1
84c320dffffffff-2022-11,1
84c320dffffffff-2022-12,4
84c320dffffffff-2023-01,25
84c320dffffffff-2023-02,1
84c320dffffffff-2023-03,5
84c320dffffffff-2023-05,2
84c320dffffffff-2023-07,1
84c320dffffffff-2023-10,1
84c3215ffffffff-2015-11,3
84c3215ffffffff-2017-01,5
84c3215ffffffff-2018-12,1
84c3215ffffffff-2019-02,1
84c3215ffffffff-2019-07,2
84c3215ffffffff-2019-11,1
84c3215ffffffff-2019-12,1
84c3215ffffffff-2020-01,1
84c3215ffffffff-2022-02,1
84c3215ffffffff-2022-09,13
84c3215ffffffff-2022-11,12
84c3215ffffffff-2023-02,1
84c3215ffffffff-2023-07,2
84c3215ffffffff-2023-11,1
84c3217ffffffff-2018-12,1
84c3217ffffffff-2023-07,1
