index,n
84a210dffffffff-2018-07,1
84a2135ffffffff-2023-03,1
84a213dffffffff-2023-03,1
84a2143ffffffff-2012-01,2
84a2143ffffffff-2014-10,1
84a2143ffffffff-2015-05,2
84a2143ffffffff-2015-07,2
84a2143ffffffff-2015-10,1
84a2143ffffffff-2016-11,2
84a2143ffffffff-2017-10,2
84a2143ffffffff-2017-11,3
84a2143ffffffff-2017-12,4
84a2143ffffffff-2018-09,1
84a2143ffffffff-2018-11,10
84a2143ffffffff-2019-07,1
84a2143ffffffff-2019-10,6
84a2143ffffffff-2019-11,1
84a2143ffffffff-2019-12,2
84a2143ffffffff-2022-10,8
84a2143ffffffff-2022-11,3
84a2143ffffffff-2022-12,1
84a2143ffffffff-2023-10,5
84a2147ffffffff-2013-10,1
84a2147ffffffff-2016-10,1
84a2147ffffffff-2023-06,2
84a2147ffffffff-2023-11,1
84a214bffffffff-2023-08,1
84a2151ffffffff-2022-10,1
84a215dffffffff-2017-11,1
84a2227ffffffff-2012-01,1
84a2227ffffffff-2012-10,1
84a2227ffffffff-2012-11,1
84a2227ffffffff-2014-11,3
84a2227ffffffff-2015-11,1
84a2227ffffffff-2015-12,1
84a2227ffffffff-2016-06,2
84a2227ffffffff-2016-07,1
84a2227ffffffff-2016-11,1
84a2227ffffffff-2017-07,2
84a2227ffffffff-2017-09,1
84a2227ffffffff-2017-10,1
84a2227ffffffff-2018-07,2
84a2227ffffffff-2018-10,14
84a2227ffffffff-2018-11,8
84a2227ffffffff-2018-12,1
84a2227ffffffff-2019-01,2
84a2227ffffffff-2019-08,2
84a2227ffffffff-2019-09,1
84a2227ffffffff-2019-10,13
84a2227ffffffff-2019-11,4
84a2227ffffffff-2019-12,8
84a2227ffffffff-2021-06,1
84a2227ffffffff-2022-03,1
84a2227ffffffff-2022-10,3
84a2227ffffffff-2022-11,2
84a2227ffffffff-2023-05,1
84a2227ffffffff-2023-08,1
84a2227ffffffff-2023-09,1
84a2227ffffffff-2023-10,14
84a2227ffffffff-2023-11,20
84a2235ffffffff-2019-10,1
84a2235ffffffff-2022-05,1
84a2319ffffffff-2019-02,2
84a231bffffffff-2012-01,1
84a231bffffffff-2012-10,2
84a231bffffffff-2012-11,1
84a231bffffffff-2015-08,1
84a231bffffffff-2015-10,2
