index,n
843c825ffffffff-2017-12,1
843c831ffffffff-2017-11,1
843c831ffffffff-2022-11,1
843c837ffffffff-2018-03,1
843c837ffffffff-2019-07,1
843c837ffffffff-2022-01,1
843c839ffffffff-2015-10,1
843c839ffffffff-2015-12,1
843c839ffffffff-2021-12,1
843c839ffffffff-2023-03,10
843c83bffffffff-2023-03,4
843c83dffffffff-2023-02,1
843c8c1ffffffff-2012-11,2
843c8c1ffffffff-2013-12,1
843c8c1ffffffff-2014-06,3
843c8c1ffffffff-2015-05,1
843c8c1ffffffff-2017-01,1
843c8c1ffffffff-2022-06,1
843c8c1ffffffff-2023-05,1
843c8c1ffffffff-2023-11,2
843c8c7ffffffff-2014-06,1
843c8c7ffffffff-2016-04,1
843c8c7ffffffff-2016-06,1
843c8c7ffffffff-2018-05,4
843c8c7ffffffff-2018-06,3
843c8c7ffffffff-2018-12,2
843c8c7ffffffff-2019-05,5
843c8c7ffffffff-2019-06,2
843c8c7ffffffff-2019-07,1
843c8c7ffffffff-2019-12,1
843c8c7ffffffff-2020-03,2
843c8c7ffffffff-2021-01,2
843c8c7ffffffff-2021-03,6
843c8c7ffffffff-2022-02,2
843c8c7ffffffff-2022-04,23
843c8c7ffffffff-2022-05,1
843c8c7ffffffff-2022-06,6
843c8c7ffffffff-2022-07,6
843c8c7ffffffff-2022-11,3
843c8c7ffffffff-2023-01,3
843c8c7ffffffff-2023-02,2
843c8c7ffffffff-2023-03,4
843c8c7ffffffff-2023-04,8
843c8c7ffffffff-2023-05,16
843c8c9ffffffff-2018-12,1
843c8cbffffffff-2017-11,1
843c8cbffffffff-2017-12,1
843c8cbffffffff-2020-11,1
843c8cbffffffff-2023-02,1
843c8e5ffffffff-2017-05,1
843c901ffffffff-2021-01,1
843c905ffffffff-2018-12,4
843c909ffffffff-2013-01,1
843c909ffffffff-2014-06,1
843c909ffffffff-2015-11,1
843c909ffffffff-2017-01,1
843c909ffffffff-2017-03,3
843c909ffffffff-2017-05,1
843c909ffffffff-2017-08,1
843c909ffffffff-2017-09,1
843c909ffffffff-2017-12,1
843c909ffffffff-2018-02,1
843c909ffffffff-2018-04,1
843c909ffffffff-2018-06,1
843c909ffffffff-2019-01,4
843c909ffffffff-2019-03,1
843c909ffffffff-2019-04,2
843c909ffffffff-2019-12,1
843c909ffffffff-2020-01,9
843c909ffffffff-2020-02,3
843c909ffffffff-2020-03,2
843c909ffffffff-2021-08,3
843c909ffffffff-2022-04,1
843c909ffffffff-2022-11,43
843c909ffffffff-2022-12,12
843c909ffffffff-2023-01,9
843c909ffffffff-2023-02,4
843c909ffffffff-2023-03,4
843c909ffffffff-2023-04,6
843c909ffffffff-2023-05,3
843c909ffffffff-2023-06,5
843c909ffffffff-2023-07,3
843c909ffffffff-2023-08,1
843c929ffffffff-2020-01,4
843c929ffffffff-2021-01,2
843c929ffffffff-2021-03,5
843c929ffffffff-2021-07,3
843c929ffffffff-2021-12,1
843c929ffffffff-2022-03,6
843c929ffffffff-2022-05,5
843c929ffffffff-2022-06,3
843c929ffffffff-2023-01,25
843c929ffffffff-2023-02,3
843c929ffffffff-2023-05,2
843c92dffffffff-2015-02,3
843c92dffffffff-2017-04,1
843c92dffffffff-2019-02,19
843c92dffffffff-2019-12,1
843c92dffffffff-2021-01,1
843c92dffffffff-2021-02,1
843c92dffffffff-2021-11,1
843c92dffffffff-2022-04,2
843c92dffffffff-2022-05,15
843c92dffffffff-2022-06,5
843c92dffffffff-2022-11,1
843c92dffffffff-2023-01,1
843c92dffffffff-2023-02,1
843c92dffffffff-2023-03,6
843c92dffffffff-2023-05,2
843c92dffffffff-2023-06,1
843c92dffffffff-2023-07,2
843c92dffffffff-2023-08,1
843c943ffffffff-2016-04,1
843c943ffffffff-2016-10,3
843c943ffffffff-2016-11,1
843c943ffffffff-2017-02,1
843c943ffffffff-2017-03,4
843c943ffffffff-2017-06,1
843c943ffffffff-2018-01,2
843c943ffffffff-2018-03,3
843c943ffffffff-2019-02,4
843c943ffffffff-2019-03,1
843c943ffffffff-2019-04,2
843c945ffffffff-2021-03,3
843c945ffffffff-2021-04,3
843c945ffffffff-2023-02,2
843c947ffffffff-2017-09,1
843c947ffffffff-2019-01,1
843c947ffffffff-2019-02,1
843c947ffffffff-2019-03,1
843c947ffffffff-2019-12,1
843c947ffffffff-2022-02,6
843c947ffffffff-2022-11,63
843c947ffffffff-2022-12,5
843c947ffffffff-2023-01,1
843c947ffffffff-2023-02,7
843c947ffffffff-2023-03,5
843c947ffffffff-2023-04,7
843c947ffffffff-2023-05,2
843c947ffffffff-2023-07,2
843c947ffffffff-2023-10,1
843c947ffffffff-2023-11,2
843c953ffffffff-2020-06,2
843c953ffffffff-2021-11,3
843c953ffffffff-2022-04,1
843c953ffffffff-2023-06,2
843c963ffffffff-2019-03,1
843c967ffffffff-2018-05,17
843c967ffffffff-2019-02,3
843c967ffffffff-2019-05,1
843c967ffffffff-2019-08,3
843c967ffffffff-2020-03,1
843c967ffffffff-2020-06,2
843c967ffffffff-2020-11,1
843c967ffffffff-2021-02,3
843c967ffffffff-2021-03,1
843c967ffffffff-2021-04,2
843c967ffffffff-2021-05,1
843c967ffffffff-2022-01,3
843c967ffffffff-2022-03,2
843c967ffffffff-2022-05,18
843c967ffffffff-2022-06,7
843c967ffffffff-2022-08,2
843c967ffffffff-2022-11,3
843c967ffffffff-2023-02,5
843c967ffffffff-2023-03,3
843c967ffffffff-2023-04,7
843c967ffffffff-2023-05,7
843c967ffffffff-2023-10,2
843c967ffffffff-2023-11,1
843cab1ffffffff-2018-05,1
8442d93ffffffff-2016-04,1
8442d93ffffffff-2017-02,6
8442d93ffffffff-2017-03,1
8442d93ffffffff-2018-02,1
8442d93ffffffff-2019-01,2
8442d93ffffffff-2020-02,1
8442d93ffffffff-2021-03,17
8442d93ffffffff-2023-01,2
8442d93ffffffff-2023-02,7
8442d93ffffffff-2023-04,7
8442d93ffffffff-2023-06,6
8442d97ffffffff-2012-03,1
8442d97ffffffff-2014-05,1
8442d97ffffffff-2014-06,2
8442d97ffffffff-2017-06,1
8442d97ffffffff-2017-12,2
8442d97ffffffff-2018-04,2
8442d97ffffffff-2018-06,2
8442d97ffffffff-2018-11,4
8442d97ffffffff-2019-08,7
8442d97ffffffff-2019-12,2
8442d97ffffffff-2020-02,2
8442d97ffffffff-2020-10,2
8442d97ffffffff-2021-01,1
8442d97ffffffff-2021-02,2
8442d97ffffffff-2021-03,6
8442d97ffffffff-2021-12,1
8442d97ffffffff-2022-01,3
8442d97ffffffff-2022-02,5
8442d97ffffffff-2022-03,10
8442d97ffffffff-2023-01,2
8442d97ffffffff-2023-03,6
8442d97ffffffff-2023-05,8
8442d97ffffffff-2023-09,3
8442db5ffffffff-2017-07,1
8442db7ffffffff-2012-02,2
8442db7ffffffff-2016-02,1
8442db7ffffffff-2016-05,5
8442db7ffffffff-2016-06,1
8442db7ffffffff-2017-05,4
8442db7ffffffff-2017-06,1
8442db7ffffffff-2017-07,1
8442db7ffffffff-2018-02,2
8442db7ffffffff-2018-03,1
8442db7ffffffff-2018-05,1
8442db7ffffffff-2019-01,3
8442db7ffffffff-2021-01,3
8442db7ffffffff-2022-01,3
8442db7ffffffff-2022-02,6
8442db7ffffffff-2022-03,6
8442db7ffffffff-2022-11,4
8442db7ffffffff-2022-12,3
8442db7ffffffff-2023-01,10
8442db7ffffffff-2023-02,5
8442db7ffffffff-2023-04,2
8442db7ffffffff-2023-05,1
8442db7ffffffff-2023-10,1
8442db7ffffffff-2023-11,2
8460025ffffffff-2015-03,1
8460025ffffffff-2017-08,2
8460025ffffffff-2017-09,18
8460025ffffffff-2018-02,12
8460025ffffffff-2018-03,23
8460025ffffffff-2019-12,1
8460025ffffffff-2020-02,9
8460025ffffffff-2020-03,2
8460025ffffffff-2020-07,2
8460025ffffffff-2020-08,3
8460025ffffffff-2020-09,2
8460025ffffffff-2020-11,7
8460025ffffffff-2020-12,6
8460025ffffffff-2021-01,12
8460025ffffffff-2021-02,8
8460025ffffffff-2021-06,1
8460025ffffffff-2021-08,1
8460025ffffffff-2021-09,2
8460025ffffffff-2021-10,2
8460025ffffffff-2021-12,1
8460025ffffffff-2022-02,33
8460025ffffffff-2022-03,7
8460025ffffffff-2022-04,8
8460025ffffffff-2022-05,1
8460025ffffffff-2022-06,1
8460025ffffffff-2022-08,1
8460025ffffffff-2022-09,19
8460025ffffffff-2022-10,1
8460025ffffffff-2022-11,1
8460025ffffffff-2022-12,1
8460025ffffffff-2023-01,1
8460025ffffffff-2023-02,25
8460025ffffffff-2023-03,5
8460025ffffffff-2023-05,27
8460025ffffffff-2023-06,1
8460025ffffffff-2023-07,1
8460025ffffffff-2023-08,3
8460025ffffffff-2023-09,3
8460025ffffffff-2023-10,9
8460025ffffffff-2023-11,11
846002dffffffff-2016-01,1
846002dffffffff-2016-02,2
846002dffffffff-2016-05,3
846002dffffffff-2017-03,11
846002dffffffff-2017-12,5
846002dffffffff-2018-10,1
846002dffffffff-2018-11,4
846002dffffffff-2019-02,7
846002dffffffff-2019-03,5
846002dffffffff-2019-04,1
846002dffffffff-2019-05,1
846002dffffffff-2019-12,1
846002dffffffff-2020-01,1
846002dffffffff-2020-03,6
846002dffffffff-2020-04,1
846002dffffffff-2020-05,1
846002dffffffff-2020-07,2
846002dffffffff-2020-08,2
846002dffffffff-2020-09,1
846002dffffffff-2020-10,1
846002dffffffff-2020-11,4
846002dffffffff-2021-02,1
846002dffffffff-2021-03,1
846002dffffffff-2021-04,1
846002dffffffff-2021-05,1
846002dffffffff-2021-06,2
846002dffffffff-2021-08,1
846002dffffffff-2021-09,1
846002dffffffff-2021-12,1
846002dffffffff-2022-02,1
846002dffffffff-2022-03,1
846002dffffffff-2022-11,2
846002dffffffff-2023-01,1
846002dffffffff-2023-05,1
846002dffffffff-2023-09,3
846002dffffffff-2023-10,2
846002dffffffff-2023-11,2
8460061ffffffff-2022-10,3
8460065ffffffff-2012-02,1
8460065ffffffff-2012-11,1
8460065ffffffff-2012-12,1
8460065ffffffff-2014-10,2
8460065ffffffff-2014-11,2
8460065ffffffff-2015-02,1
8460065ffffffff-2015-11,2
8460065ffffffff-2016-01,6
8460065ffffffff-2016-04,7
8460065ffffffff-2016-08,1
8460065ffffffff-2016-12,3
8460065ffffffff-2017-01,2
8460065ffffffff-2017-02,2
8460065ffffffff-2017-03,2
8460065ffffffff-2017-04,26
8460065ffffffff-2017-07,1
8460065ffffffff-2017-08,3
8460065ffffffff-2017-09,21
8460065ffffffff-2017-12,2
8460065ffffffff-2018-02,1
8460065ffffffff-2018-03,9
8460065ffffffff-2018-04,4
8460065ffffffff-2018-06,1
8460065ffffffff-2019-01,8
8460065ffffffff-2019-02,2
8460065ffffffff-2019-03,1
8460065ffffffff-2019-04,1
8460065ffffffff-2019-08,3
8460065ffffffff-2019-10,5
8460065ffffffff-2019-11,1
8460065ffffffff-2020-01,16
8460065ffffffff-2020-02,5
8460065ffffffff-2020-08,1
8460065ffffffff-2020-09,1
8460065ffffffff-2020-10,6
8460065ffffffff-2020-11,2
8460065ffffffff-2020-12,9
8460065ffffffff-2021-01,2
8460065ffffffff-2021-02,2
8460065ffffffff-2021-03,75
8460065ffffffff-2021-07,2
8460065ffffffff-2021-10,15
8460065ffffffff-2021-11,3
8460065ffffffff-2021-12,4
8460065ffffffff-2022-01,12
8460065ffffffff-2022-02,3
8460065ffffffff-2022-03,9
8460065ffffffff-2022-04,4
8460065ffffffff-2022-05,9
8460065ffffffff-2022-06,2
8460065ffffffff-2022-08,2
8460065ffffffff-2022-09,1
8460065ffffffff-2022-10,5
8460065ffffffff-2022-11,1
8460065ffffffff-2022-12,5
8460065ffffffff-2023-01,4
8460065ffffffff-2023-02,36
8460065ffffffff-2023-03,1
8460065ffffffff-2023-04,20
8460065ffffffff-2023-05,20
8460065ffffffff-2023-07,2
8460065ffffffff-2023-08,11
8460065ffffffff-2023-09,1
8460065ffffffff-2023-10,2
8460065ffffffff-2023-11,16
8460067ffffffff-2012-10,2
8460067ffffffff-2014-03,1
8460067ffffffff-2015-02,3
8460067ffffffff-2016-04,2
8460067ffffffff-2016-12,1
8460067ffffffff-2017-04,42
8460067ffffffff-2017-05,2
8460067ffffffff-2017-06,1
8460067ffffffff-2017-07,1
8460067ffffffff-2017-09,10
8460067ffffffff-2017-12,1
8460067ffffffff-2018-01,1
8460067ffffffff-2018-02,1
8460067ffffffff-2018-03,6
8460067ffffffff-2020-10,2
8460067ffffffff-2021-03,9
8460067ffffffff-2021-04,1
8460067ffffffff-2021-12,1
8460067ffffffff-2022-02,1
8460067ffffffff-2023-02,29
8460067ffffffff-2023-11,2
8460069ffffffff-2018-07,1
8460069ffffffff-2018-09,1
8460069ffffffff-2018-10,3
8460069ffffffff-2019-07,1
8460069ffffffff-2021-12,3
8460069ffffffff-2023-02,1
8460069ffffffff-2023-03,7
8460069ffffffff-2023-10,1
846006dffffffff-2013-12,1
846006dffffffff-2014-02,1
846006dffffffff-2014-05,1
846006dffffffff-2015-01,1
846006dffffffff-2015-02,1
846006dffffffff-2015-03,4
846006dffffffff-2016-03,1
846006dffffffff-2016-04,1
846006dffffffff-2016-05,2
846006dffffffff-2016-12,1
846006dffffffff-2017-01,2
846006dffffffff-2017-02,1
846006dffffffff-2017-06,1
846006dffffffff-2017-07,7
846006dffffffff-2017-08,6
846006dffffffff-2017-09,6
846006dffffffff-2017-10,2
846006dffffffff-2018-01,16
846006dffffffff-2018-02,4
846006dffffffff-2018-06,1
846006dffffffff-2018-08,3
846006dffffffff-2018-09,3
846006dffffffff-2018-10,5
846006dffffffff-2018-11,4
846006dffffffff-2018-12,1
846006dffffffff-2019-01,2
846006dffffffff-2019-03,60
846006dffffffff-2019-04,1
846006dffffffff-2019-05,4
846006dffffffff-2019-06,1
846006dffffffff-2019-09,2
846006dffffffff-2019-10,1
846006dffffffff-2019-12,1
846006dffffffff-2020-03,7
846006dffffffff-2020-08,1
846006dffffffff-2020-09,1
846006dffffffff-2020-10,1
846006dffffffff-2020-11,1
846006dffffffff-2021-03,31
846006dffffffff-2021-04,2
846006dffffffff-2021-05,1
846006dffffffff-2021-08,3
846006dffffffff-2021-09,1
846006dffffffff-2021-10,1
846006dffffffff-2021-11,3
846006dffffffff-2021-12,2
846006dffffffff-2022-02,1
846006dffffffff-2022-03,23
846006dffffffff-2022-04,1
846006dffffffff-2022-07,1
846006dffffffff-2022-09,4
846006dffffffff-2022-12,1
846006dffffffff-2023-01,1
846006dffffffff-2023-02,41
846006dffffffff-2023-03,4
846006dffffffff-2023-04,1
846006dffffffff-2023-05,5
846006dffffffff-2023-09,2
846006dffffffff-2023-10,3
8460103ffffffff-2015-11,1
8460103ffffffff-2021-03,1
8460111ffffffff-2015-06,2
8460111ffffffff-2015-10,1
8460111ffffffff-2016-07,4
8460111ffffffff-2017-01,1
8460111ffffffff-2017-09,1
8460111ffffffff-2018-02,1
8460111ffffffff-2018-05,1
8460111ffffffff-2018-07,1
8460111ffffffff-2019-10,1
8460111ffffffff-2020-02,1
8460111ffffffff-2020-10,1
8460111ffffffff-2020-12,9
8460111ffffffff-2021-01,10
8460111ffffffff-2021-02,14
8460111ffffffff-2021-04,16
8460111ffffffff-2021-10,2
8460111ffffffff-2021-11,9
8460111ffffffff-2021-12,3
8460111ffffffff-2022-02,11
8460111ffffffff-2023-02,2
8460111ffffffff-2023-04,2
8460111ffffffff-2023-09,2
8460113ffffffff-2019-12,5
8460113ffffffff-2020-01,2
8460113ffffffff-2020-08,1
8460113ffffffff-2020-11,1
8460113ffffffff-2020-12,1
8460113ffffffff-2021-01,1
8460113ffffffff-2023-01,1
8460113ffffffff-2023-02,2
8460115ffffffff-2015-09,1
8460115ffffffff-2015-11,2
8460115ffffffff-2015-12,1
8460115ffffffff-2016-01,1
8460115ffffffff-2017-01,1
8460115ffffffff-2017-05,1
8460115ffffffff-2019-03,1
8460115ffffffff-2021-02,4
8460115ffffffff-2021-07,2
8460115ffffffff-2021-08,1
8460115ffffffff-2021-12,1
8460115ffffffff-2022-05,2
8460115ffffffff-2023-02,1
8460115ffffffff-2023-03,1
8460117ffffffff-2013-03,2
8460117ffffffff-2013-10,2
8460117ffffffff-2014-03,8
8460117ffffffff-2014-04,5
8460117ffffffff-2014-08,1
8460117ffffffff-2014-10,5
8460117ffffffff-2014-11,3
8460117ffffffff-2014-12,8
8460117ffffffff-2015-01,1
8460117ffffffff-2015-02,1
8460117ffffffff-2015-04,1
8460117ffffffff-2015-08,2
8460117ffffffff-2015-11,6
8460117ffffffff-2015-12,1
8460117ffffffff-2016-01,1
8460117ffffffff-2016-02,3
8460117ffffffff-2016-03,4
8460117ffffffff-2016-04,1
8460117ffffffff-2016-08,1
8460117ffffffff-2016-10,4
8460117ffffffff-2016-11,7
8460117ffffffff-2017-01,9
8460117ffffffff-2017-02,18
8460117ffffffff-2017-03,9
8460117ffffffff-2017-04,15
8460117ffffffff-2017-09,8
8460117ffffffff-2017-11,1
8460117ffffffff-2017-12,1
8460117ffffffff-2018-01,6
8460117ffffffff-2018-02,11
8460117ffffffff-2018-04,1
8460117ffffffff-2018-05,4
8460117ffffffff-2018-06,3
8460117ffffffff-2018-12,3
8460117ffffffff-2019-02,12
8460117ffffffff-2019-03,3
8460117ffffffff-2019-04,4
8460117ffffffff-2019-05,3
8460117ffffffff-2019-09,1
8460117ffffffff-2019-10,1
8460117ffffffff-2019-11,2
8460117ffffffff-2019-12,9
8460117ffffffff-2020-01,2
8460117ffffffff-2020-02,14
8460117ffffffff-2020-03,2
8460117ffffffff-2020-05,2
8460117ffffffff-2020-06,2
8460117ffffffff-2020-07,14
8460117ffffffff-2020-08,1
8460117ffffffff-2020-09,1
8460117ffffffff-2020-10,6
8460117ffffffff-2020-11,9
8460117ffffffff-2020-12,11
8460117ffffffff-2021-01,11
8460117ffffffff-2021-02,5
8460117ffffffff-2021-03,3
8460117ffffffff-2021-04,2
8460117ffffffff-2021-05,4
8460117ffffffff-2021-08,2
8460117ffffffff-2021-10,3
8460117ffffffff-2021-11,11
8460117ffffffff-2021-12,3
8460117ffffffff-2022-01,3
8460117ffffffff-2022-02,5
8460117ffffffff-2022-03,5
8460117ffffffff-2022-04,16
8460117ffffffff-2022-05,2
8460117ffffffff-2022-09,2
8460117ffffffff-2022-10,5
8460117ffffffff-2022-11,6
8460117ffffffff-2022-12,9
8460117ffffffff-2023-01,1
8460117ffffffff-2023-03,2
8460117ffffffff-2023-04,3
8460117ffffffff-2023-05,1
8460117ffffffff-2023-07,1
8460117ffffffff-2023-08,2
8460117ffffffff-2023-09,2
8460117ffffffff-2023-11,4
8460119ffffffff-2014-02,1
8460119ffffffff-2014-10,2
8460119ffffffff-2014-12,1
8460119ffffffff-2015-03,1
8460119ffffffff-2016-09,3
8460119ffffffff-2016-10,3
8460119ffffffff-2017-02,1
8460119ffffffff-2017-06,2
8460119ffffffff-2017-08,2
8460119ffffffff-2018-10,1
8460119ffffffff-2018-12,1
8460119ffffffff-2019-01,16
8460119ffffffff-2019-02,13
8460119ffffffff-2019-05,4
8460119ffffffff-2019-10,1
8460119ffffffff-2020-11,3
8460119ffffffff-2020-12,2
8460119ffffffff-2021-01,4
8460119ffffffff-2021-03,3
8460119ffffffff-2021-05,3
8460119ffffffff-2021-06,2
8460119ffffffff-2021-10,1
8460119ffffffff-2021-11,1
8460119ffffffff-2022-01,6
8460119ffffffff-2022-02,3
8460119ffffffff-2022-03,11
8460119ffffffff-2022-04,7
8460119ffffffff-2022-06,1
8460119ffffffff-2022-08,1
8460119ffffffff-2022-09,3
8460119ffffffff-2022-10,4
8460119ffffffff-2022-11,9
8460119ffffffff-2023-01,3
8460119ffffffff-2023-02,2
8460119ffffffff-2023-03,6
8460119ffffffff-2023-04,7
8460119ffffffff-2023-05,3
8460119ffffffff-2023-06,3
8460119ffffffff-2023-08,3
8460119ffffffff-2023-09,1
8460119ffffffff-2023-10,7
846011bffffffff-2014-08,1
846011bffffffff-2014-12,3
846011bffffffff-2015-03,1
846011bffffffff-2015-06,1
846011bffffffff-2015-07,1
846011bffffffff-2017-02,2
846011bffffffff-2017-07,2
846011bffffffff-2017-08,6
846011bffffffff-2017-09,5
846011bffffffff-2017-10,2
846011bffffffff-2017-11,1
846011bffffffff-2018-01,18
846011bffffffff-2018-02,9
846011bffffffff-2018-09,1
846011bffffffff-2019-01,1
846011bffffffff-2019-02,1
846011bffffffff-2019-03,1
846011bffffffff-2019-04,2
