index,n
845f083ffffffff-2015-01,1
845f083ffffffff-2022-09,1
845f083ffffffff-2022-12,2
845f083ffffffff-2023-02,1
845f095ffffffff-2012-01,1
845f095ffffffff-2012-10,1
845f095ffffffff-2014-04,4
845f095ffffffff-2014-11,2
845f095ffffffff-2018-06,2
845f095ffffffff-2019-01,1
845f095ffffffff-2020-05,2
845f095ffffffff-2020-10,3
845f095ffffffff-2020-11,1
845f095ffffffff-2021-12,1
845f095ffffffff-2022-01,5
845f095ffffffff-2022-02,7
845f095ffffffff-2022-03,4
845f095ffffffff-2022-08,1
845f095ffffffff-2022-09,3
845f095ffffffff-2022-10,3
845f095ffffffff-2022-11,5
845f095ffffffff-2022-12,10
845f095ffffffff-2023-01,4
845f095ffffffff-2023-02,15
845f095ffffffff-2023-03,1
845f095ffffffff-2023-08,1
845f095ffffffff-2023-09,2
845f12bffffffff-2022-07,1
845f12bffffffff-2023-08,3
845f1c3ffffffff-2012-04,11
845f1c3ffffffff-2013-04,11
845f1c3ffffffff-2015-03,1
845f1ddffffffff-2018-04,1
845f1e9ffffffff-2014-12,4
845f1e9ffffffff-2017-11,2
845f1e9ffffffff-2018-09,1
845f1e9ffffffff-2019-12,1
845f1e9ffffffff-2021-04,1
845f1edffffffff-2022-05,1
845f4b3ffffffff-2016-02,1
845f4b3ffffffff-2016-05,4
845f4b3ffffffff-2016-07,4
845f4b3ffffffff-2017-01,2
845f4b3ffffffff-2017-05,2
845f4b3ffffffff-2017-09,1
845f4b3ffffffff-2017-10,1
845f4b3ffffffff-2018-01,1
845f4b3ffffffff-2018-02,1
845f4b3ffffffff-2018-05,5
845f4b3ffffffff-2018-06,2
845f4b3ffffffff-2018-07,2
845f4b3ffffffff-2018-10,1
845f4b3ffffffff-2018-11,2
845f4b3ffffffff-2018-12,2
845f4b3ffffffff-2019-05,1
845f4b3ffffffff-2019-06,1
845f4b3ffffffff-2019-10,1
845f4b3ffffffff-2019-11,1
845f4b3ffffffff-2019-12,4
845f4b3ffffffff-2020-01,3
845f4b3ffffffff-2020-02,2
845f4b3ffffffff-2020-03,1
845f4b3ffffffff-2020-04,1
845f4b3ffffffff-2020-05,3
845f4b3ffffffff-2020-08,1
845f4b3ffffffff-2020-09,2
845f4b3ffffffff-2020-10,3
845f4b3ffffffff-2020-11,2
845f4b3ffffffff-2020-12,3
845f4b3ffffffff-2021-01,14
845f4b3ffffffff-2021-02,8
845f4b3ffffffff-2021-04,2
845f4b3ffffffff-2021-05,18
845f4b3ffffffff-2021-06,6
845f4b3ffffffff-2021-07,3
845f4b3ffffffff-2021-10,6
845f4b3ffffffff-2021-11,7
845f4b3ffffffff-2022-01,9
845f4b3ffffffff-2022-03,1
845f4b3ffffffff-2022-05,9
845f4b3ffffffff-2022-06,1
