index,n
84a0d91ffffffff-2015-01,1
84a0d91ffffffff-2015-11,1
84a0d91ffffffff-2016-05,1
84a0d91ffffffff-2017-02,1
84a0d91ffffffff-2017-05,1
84a0d91ffffffff-2018-11,1
84a0d91ffffffff-2019-12,1
84a0d91ffffffff-2020-12,1
84a0d91ffffffff-2021-10,1
84a0d91ffffffff-2022-03,3
84a0d91ffffffff-2022-05,1
84a0d91ffffffff-2023-05,6
84a0d91ffffffff-2023-07,1
84a0d93ffffffff-2015-11,1
84a0d93ffffffff-2018-06,1
84a0d93ffffffff-2018-09,1
84a0d93ffffffff-2019-05,3
84a0d93ffffffff-2019-10,2
84a0d93ffffffff-2021-10,1
84a0d93ffffffff-2022-05,3
84a0d93ffffffff-2023-05,7
84a0d95ffffffff-2014-06,1
84a0d95ffffffff-2018-11,1
