index,n
848f425ffffffff-2012-10,3
848f425ffffffff-2015-02,2
848f425ffffffff-2017-09,1
848f42dffffffff-2016-09,1
848f42dffffffff-2016-10,5
848f507ffffffff-2014-06,1
848f541ffffffff-2013-02,1
848f541ffffffff-2013-11,2
848f541ffffffff-2016-06,2
848f541ffffffff-2016-11,3
848f541ffffffff-2020-10,1
848f541ffffffff-2021-05,1
848f541ffffffff-2022-03,1
848f541ffffffff-2022-05,1
848f541ffffffff-2022-11,1
848f541ffffffff-2022-12,10
848f541ffffffff-2023-05,1
848f543ffffffff-2013-02,1
848f543ffffffff-2015-02,1
848f549ffffffff-2014-01,1
848f549ffffffff-2014-03,1
848f549ffffffff-2014-06,1
848f549ffffffff-2014-07,1
848f549ffffffff-2014-08,2
848f549ffffffff-2017-05,1
848f549ffffffff-2017-08,2
848f549ffffffff-2017-09,1
848f549ffffffff-2018-12,1
848f549ffffffff-2019-05,1
848f549ffffffff-2019-07,3
848f549ffffffff-2019-08,1
848f549ffffffff-2019-11,1
848f549ffffffff-2019-12,2
848f549ffffffff-2020-05,1
848f549ffffffff-2022-02,1
848f549ffffffff-2022-05,5
848f549ffffffff-2022-06,3
848f549ffffffff-2022-07,6
848f549ffffffff-2022-08,4
848f549ffffffff-2022-10,9
848f549ffffffff-2022-11,1
848f549ffffffff-2023-01,1
848f549ffffffff-2023-02,1
848f549ffffffff-2023-05,1
848f549ffffffff-2023-10,2
848f549ffffffff-2023-11,1
848f54bffffffff-2012-08,2
848f54bffffffff-2013-02,1
848f54bffffffff-2014-01,1
848f54bffffffff-2014-02,1
848f54bffffffff-2014-03,1
848f54bffffffff-2014-08,3
848f54bffffffff-2014-10,3
848f54bffffffff-2015-10,1
848f54bffffffff-2016-02,1
848f54bffffffff-2016-05,4
848f54bffffffff-2016-06,4
848f54bffffffff-2016-07,1
848f54bffffffff-2017-01,1
848f54bffffffff-2017-02,2
848f54bffffffff-2017-05,1
848f54bffffffff-2017-09,2
848f54bffffffff-2018-01,1
848f54bffffffff-2018-03,1
848f54bffffffff-2018-04,1
848f54bffffffff-2018-05,5
848f54bffffffff-2018-06,1
848f54bffffffff-2018-07,4
848f54bffffffff-2018-08,6
848f54bffffffff-2018-10,3
848f54bffffffff-2018-11,1
848f54bffffffff-2019-01,1
848f54bffffffff-2019-05,2
848f54bffffffff-2019-08,1
848f54bffffffff-2019-09,2
848f54bffffffff-2019-10,3
848f54bffffffff-2019-11,4
848f54bffffffff-2020-10,4
848f54bffffffff-2021-08,2
848f54bffffffff-2021-09,4
848f54bffffffff-2022-05,1
848f54bffffffff-2022-07,6
848f54bffffffff-2022-08,4
848f54bffffffff-2022-10,17
848f54bffffffff-2022-11,10
848f54bffffffff-2022-12,3
848f54bffffffff-2023-01,1
848f54bffffffff-2023-03,1
848f54bffffffff-2023-05,2
848f54bffffffff-2023-09,1
848f54bffffffff-2023-10,4
848f54dffffffff-2019-05,1
848f54dffffffff-2021-05,1
848f551ffffffff-2012-09,4
848f553ffffffff-2012-10,1
848f553ffffffff-2013-04,2
848f553ffffffff-2013-06,22
848f553ffffffff-2014-01,4
848f553ffffffff-2014-02,3
848f553ffffffff-2014-05,3
848f553ffffffff-2014-09,1
848f553ffffffff-2015-01,2
848f553ffffffff-2015-02,2
848f553ffffffff-2015-05,2
848f553ffffffff-2015-10,1
848f553ffffffff-2015-11,1
848f553ffffffff-2016-02,4
848f553ffffffff-2016-06,4
848f553ffffffff-2016-07,5
848f553ffffffff-2016-08,1
848f553ffffffff-2016-09,1
848f553ffffffff-2016-10,15
848f553ffffffff-2016-11,3
848f553ffffffff-2017-01,1
848f553ffffffff-2017-02,2
848f553ffffffff-2017-05,3
848f553ffffffff-2017-06,1
848f553ffffffff-2017-08,3
848f553ffffffff-2017-11,2
848f553ffffffff-2018-01,2
848f553ffffffff-2018-03,5
848f553ffffffff-2018-05,6
848f553ffffffff-2018-07,2
848f553ffffffff-2018-08,2
848f553ffffffff-2018-11,4
848f553ffffffff-2019-01,1
848f553ffffffff-2019-03,2
848f553ffffffff-2019-05,10
848f553ffffffff-2019-06,2
848f553ffffffff-2019-07,1
848f553ffffffff-2019-08,6
848f553ffffffff-2019-10,18
848f553ffffffff-2019-11,9
848f553ffffffff-2019-12,1
848f553ffffffff-2020-01,2
848f553ffffffff-2020-02,4
848f553ffffffff-2020-03,1
848f553ffffffff-2020-05,1
848f553ffffffff-2021-01,5
848f553ffffffff-2021-04,1
848f553ffffffff-2021-05,3
848f553ffffffff-2021-08,6
848f553ffffffff-2021-09,6
848f553ffffffff-2021-10,1
848f553ffffffff-2021-11,10
848f553ffffffff-2021-12,8
848f553ffffffff-2022-01,1
848f553ffffffff-2022-02,1
848f553ffffffff-2022-04,5
848f553ffffffff-2022-05,1
848f553ffffffff-2022-06,4
848f553ffffffff-2022-07,3
848f553ffffffff-2022-08,3
848f553ffffffff-2022-09,1
848f553ffffffff-2022-10,29
848f553ffffffff-2022-11,3
848f553ffffffff-2022-12,16
848f553ffffffff-2023-02,3
848f553ffffffff-2023-04,2
848f553ffffffff-2023-05,10
848f553ffffffff-2023-07,4
848f553ffffffff-2023-08,1
848f553ffffffff-2023-09,1
848f553ffffffff-2023-10,1
848f553ffffffff-2023-11,3
848f559ffffffff-2012-04,3
848f559ffffffff-2012-05,4
848f559ffffffff-2012-06,1
848f559ffffffff-2012-08,1
848f559ffffffff-2013-11,1
848f559ffffffff-2013-12,1
