index,n
845f755ffffffff-2013-12,2
845f759ffffffff-2013-08,2
845f759ffffffff-2013-12,2
845f759ffffffff-2014-04,2
845f759ffffffff-2015-05,1
845f759ffffffff-2017-04,2
845f759ffffffff-2021-05,3
845f75dffffffff-2017-12,1
845f75dffffffff-2018-02,2
845f75dffffffff-2018-11,6
845f75dffffffff-2020-02,4
845f75dffffffff-2020-10,2
845f75dffffffff-2021-02,4
84660b7ffffffff-2019-09,1
84660c3ffffffff-2021-05,2
84660cbffffffff-2022-08,2
8466415ffffffff-2014-10,1
8466415ffffffff-2019-01,1
8466415ffffffff-2020-01,5
8466415ffffffff-2021-08,1
8466419ffffffff-2023-09,2
846641dffffffff-2016-09,1
846641dffffffff-2016-11,1
846641dffffffff-2022-05,1
846641dffffffff-2023-01,1
8466441ffffffff-2019-05,2
8466457ffffffff-2021-04,1
8466507ffffffff-2023-09,5
8466523ffffffff-2023-09,2
8466525ffffffff-2019-04,1
8466525ffffffff-2020-10,2
8466527ffffffff-2018-11,1
8466529ffffffff-2020-07,2
8466529ffffffff-2021-09,4
8466529ffffffff-2022-07,3
8466529ffffffff-2022-10,5
846652dffffffff-2013-03,1
846652dffffffff-2018-04,4
846652dffffffff-2018-05,4
846652dffffffff-2018-06,2
846652dffffffff-2018-07,3
846652dffffffff-2018-09,2
846652dffffffff-2019-02,1
846652dffffffff-2020-03,1
846652dffffffff-2020-05,2
846652dffffffff-2020-12,1
846652dffffffff-2021-10,4
846652dffffffff-2021-12,7
846652dffffffff-2022-02,2
846652dffffffff-2022-12,4
846652dffffffff-2023-02,6
846652dffffffff-2023-10,3
8466539ffffffff-2023-11,2
846653dffffffff-2023-10,1
8466563ffffffff-2020-01,3
8466565ffffffff-2017-12,1
8466565ffffffff-2018-06,1
8466565ffffffff-2020-01,1
8466565ffffffff-2021-09,1
8466565ffffffff-2022-03,6
8466565ffffffff-2023-02,1
8466565ffffffff-2023-10,1
846656dffffffff-2021-01,3
846656dffffffff-2022-02,1
84665a3ffffffff-2012-01,1
84665a3ffffffff-2015-10,1
84665a3ffffffff-2023-03,5
84665abffffffff-2012-01,3
84665abffffffff-2012-03,3
