index,n
845f00dffffffff-2019-02,1
845f01bffffffff-2021-03,2
845f01bffffffff-2021-08,1
845f03dffffffff-2017-04,1
845f03dffffffff-2017-07,4
845f03dffffffff-2017-10,1
845f03dffffffff-2017-11,2
845f03dffffffff-2018-02,4
845f03dffffffff-2019-01,2
845f03dffffffff-2019-02,3
845f03dffffffff-2019-03,1
845f03dffffffff-2019-11,2
845f03dffffffff-2020-01,24
845f03dffffffff-2020-02,3
845f03dffffffff-2021-10,1
845f03dffffffff-2021-11,1
845f03dffffffff-2022-02,3
845f03dffffffff-2022-03,14
845f03dffffffff-2022-10,1
845f03dffffffff-2022-12,3
845f03dffffffff-2023-01,8
845f03dffffffff-2023-02,1
845f03dffffffff-2023-04,6
845f03dffffffff-2023-10,1
845f095ffffffff-2023-08,1
845f105ffffffff-2020-08,1
845f105ffffffff-2021-08,1
845f105ffffffff-2021-11,7
845f105ffffffff-2021-12,1
845f105ffffffff-2023-05,1
845f143ffffffff-2021-11,1
845f143ffffffff-2023-05,3
845f153ffffffff-2021-03,1
845f155ffffffff-2022-11,1
845f155ffffffff-2022-12,2
845f155ffffffff-2023-08,1
845f155ffffffff-2023-11,1
845f159ffffffff-2023-03,1
845f15bffffffff-2020-09,2
845f15bffffffff-2021-11,1
845f1cbffffffff-2015-03,1
845f1cbffffffff-2020-02,1
845f2b3ffffffff-2023-10,4
845f333ffffffff-2023-03,1
845f42bffffffff-2022-05,2
845f709ffffffff-2022-03,1
845f711ffffffff-2013-12,2
845f711ffffffff-2015-03,2
845f711ffffffff-2016-12,1
845f711ffffffff-2017-01,5
845f711ffffffff-2017-04,1
845f711ffffffff-2023-05,5
845f711ffffffff-2023-07,3
845f711ffffffff-2023-11,6
845f755ffffffff-2021-05,1
845f759ffffffff-2013-08,1
84806b7ffffffff-2014-03,4
84806b7ffffffff-2016-11,1
84806b7ffffffff-2017-07,2
84806b7ffffffff-2017-09,1
84806b7ffffffff-2017-10,1
84806b7ffffffff-2018-06,1
84806b7ffffffff-2018-09,1
84806b7ffffffff-2020-07,1
84806b7ffffffff-2021-07,1
84806b7ffffffff-2021-11,3
84806b7ffffffff-2022-07,1
84806b7ffffffff-2022-08,6
84806b7ffffffff-2023-01,1
