index,n
8441643ffffffff-2019-02,2
8441643ffffffff-2019-03,1
8441643ffffffff-2019-04,1
8441643ffffffff-2019-12,1
84416cbffffffff-2018-11,1
84416ddffffffff-2013-04,2
84416ddffffffff-2018-01,2
84416ddffffffff-2021-01,1
84416ddffffffff-2021-02,1
84416ddffffffff-2022-01,1
84416ddffffffff-2022-03,2
84416ddffffffff-2022-04,1
84416ddffffffff-2022-11,3
84416ddffffffff-2022-12,4
84416ddffffffff-2023-02,1
84416ddffffffff-2023-05,3
84416ddffffffff-2023-06,1
84416ddffffffff-2023-09,3
846590bffffffff-2016-02,1
846590bffffffff-2016-11,1
846590bffffffff-2018-01,4
846590bffffffff-2020-03,1
846590bffffffff-2020-10,1
846590bffffffff-2021-02,8
846590bffffffff-2022-02,1
846590bffffffff-2022-03,1
846590bffffffff-2022-06,3
846590dffffffff-2015-03,1
8465931ffffffff-2021-10,1
8465935ffffffff-2013-04,1
8465935ffffffff-2016-12,1
8465935ffffffff-2017-02,2
8465935ffffffff-2018-02,2
8465935ffffffff-2018-10,1
8465935ffffffff-2020-11,1
8465935ffffffff-2021-02,2
8465935ffffffff-2022-03,8
8465935ffffffff-2022-12,3
8465935ffffffff-2023-01,6
8465935ffffffff-2023-06,1
8465935ffffffff-2023-10,2
8465951ffffffff-2021-02,1
8465955ffffffff-2018-03,2
8465955ffffffff-2023-10,1
8465959ffffffff-2020-11,3
8465959ffffffff-2021-06,1
8465959ffffffff-2022-03,2
846595dffffffff-2019-05,1
846595dffffffff-2019-12,3
846595dffffffff-2020-03,1
846595dffffffff-2020-11,4
846595dffffffff-2022-02,4
846595dffffffff-2022-03,7
846595dffffffff-2022-04,1
846595dffffffff-2022-08,1
846595dffffffff-2022-09,1
846595dffffffff-2022-10,1
846595dffffffff-2022-12,3
846595dffffffff-2023-01,2
846595dffffffff-2023-03,2
8465b25ffffffff-2013-03,1
8465b33ffffffff-2012-01,1
8465b33ffffffff-2012-02,2
8465b33ffffffff-2012-03,1
8465b33ffffffff-2013-01,1
8465b33ffffffff-2013-02,1
8465b33ffffffff-2013-03,4
8465b33ffffffff-2014-02,1
8465b33ffffffff-2014-03,4
8465b33ffffffff-2015-02,3
8465b33ffffffff-2015-03,3
8465b33ffffffff-2015-11,1
8465b33ffffffff-2016-02,5
8465b33ffffffff-2016-03,8
8465b33ffffffff-2016-04,2
8465b33ffffffff-2016-11,2
8465b33ffffffff-2016-12,6
8465b33ffffffff-2017-01,3
8465b33ffffffff-2017-02,16
8465b33ffffffff-2017-03,5
8465b33ffffffff-2017-04,1
8465b33ffffffff-2017-12,1
8465b33ffffffff-2018-01,4
8465b33ffffffff-2018-02,13
8465b33ffffffff-2018-03,11
8465b33ffffffff-2018-04,14
8465b33ffffffff-2018-06,3
8465b33ffffffff-2018-10,1
8465b33ffffffff-2018-11,5
8465b33ffffffff-2018-12,5
8465b33ffffffff-2019-01,4
8465b33ffffffff-2019-02,4
8465b33ffffffff-2019-03,7
8465b33ffffffff-2019-08,3
8465b33ffffffff-2019-11,2
8465b33ffffffff-2019-12,4
8465b33ffffffff-2020-01,4
8465b33ffffffff-2020-02,22
8465b33ffffffff-2020-03,4
8465b33ffffffff-2020-11,5
8465b33ffffffff-2022-02,5
8465b33ffffffff-2022-05,1
8465b33ffffffff-2022-10,1
8465b33ffffffff-2022-11,1
8465b33ffffffff-2022-12,11
8465b33ffffffff-2023-01,5
8465b33ffffffff-2023-02,12
8465b33ffffffff-2023-03,7
8465b33ffffffff-2023-04,1
8465b33ffffffff-2023-06,1
8465b33ffffffff-2023-10,1
