index,n
84010c1ffffffff-2022-05,1
8401201ffffffff-2021-05,1
8401205ffffffff-2023-08,1
8401207ffffffff-2017-06,1
8401207ffffffff-2017-08,1
8401207ffffffff-2017-11,1
8401207ffffffff-2022-07,1
8401207ffffffff-2023-04,1
8401207ffffffff-2023-07,2
8401209ffffffff-2023-06,1
8401209ffffffff-2023-08,1
840120bffffffff-2014-06,1
840120bffffffff-2017-08,1
840120bffffffff-2017-10,1
840120bffffffff-2017-11,1
840120bffffffff-2021-04,1
840120bffffffff-2021-05,3
840120bffffffff-2022-06,1
840120bffffffff-2023-05,1
840120bffffffff-2023-06,5
840120bffffffff-2023-07,3
840120bffffffff-2023-10,1
840120dffffffff-2015-05,1
840120dffffffff-2020-05,4
840120dffffffff-2021-05,2
840120dffffffff-2021-06,1
840120dffffffff-2021-08,1
840120dffffffff-2022-08,1
840120dffffffff-2023-06,1
840120dffffffff-2023-08,7
8401221ffffffff-2015-04,1
8401221ffffffff-2018-06,1
8401225ffffffff-2022-06,2
8401225ffffffff-2023-06,2
8401227ffffffff-2015-05,6
8401227ffffffff-2016-05,2
8401227ffffffff-2017-06,1
8401227ffffffff-2019-06,1
8401227ffffffff-2021-05,1
8401227ffffffff-2021-07,1
8401227ffffffff-2023-07,4
8401229ffffffff-2021-06,1
8401229ffffffff-2021-08,1
8401229ffffffff-2023-08,3
840122bffffffff-2015-04,1
840122bffffffff-2015-06,2
840122bffffffff-2017-06,1
840122bffffffff-2017-08,1
840122bffffffff-2017-10,1
840122bffffffff-2018-06,1
840122bffffffff-2018-08,1
840122bffffffff-2019-05,1
840122bffffffff-2019-06,2
840122bffffffff-2019-07,2
840122bffffffff-2022-03,1
840122bffffffff-2022-06,1
840122bffffffff-2022-09,1
840122bffffffff-2023-06,2
840122bffffffff-2023-07,1
840122bffffffff-2023-08,5
840122dffffffff-2023-06,1
840123dffffffff-2014-06,1
840123dffffffff-2015-06,2
840123dffffffff-2015-08,1
840123dffffffff-2017-06,1
840123dffffffff-2018-07,2
840123dffffffff-2018-08,1
840123dffffffff-2019-06,2
840123dffffffff-2019-07,2
840123dffffffff-2019-08,1
840123dffffffff-2020-07,1
840123dffffffff-2021-08,1
840123dffffffff-2022-07,3
840123dffffffff-2022-08,1
840123dffffffff-2023-05,1
840123dffffffff-2023-06,3
840123dffffffff-2023-07,6
840123dffffffff-2023-08,4
840123dffffffff-2023-09,1
8401243ffffffff-2014-08,1
8401243ffffffff-2020-05,1
8401243ffffffff-2021-05,1
8401243ffffffff-2021-07,1
8401243ffffffff-2021-08,1
8401243ffffffff-2022-03,1
8401243ffffffff-2022-04,2
8401243ffffffff-2022-06,4
8401243ffffffff-2023-02,1
8401243ffffffff-2023-06,3
8401243ffffffff-2023-08,1
8401247ffffffff-2015-05,1
8401247ffffffff-2019-07,5
8401247ffffffff-2019-08,2
8401247ffffffff-2020-05,1
8401247ffffffff-2021-05,1
8401247ffffffff-2021-06,2
8401247ffffffff-2021-07,1
8401247ffffffff-2022-04,1
8401247ffffffff-2022-08,1
8401247ffffffff-2023-06,2
8401247ffffffff-2023-07,1
8401247ffffffff-2023-08,3
840124bffffffff-2019-08,1
840124bffffffff-2020-07,1
840124bffffffff-2022-06,1
840124bffffffff-2022-08,1
840124bffffffff-2023-06,1
840124dffffffff-2020-07,2
8401251ffffffff-2017-08,1
8401255ffffffff-2017-08,1
8401255ffffffff-2023-07,1
8401259ffffffff-2017-08,1
8401259ffffffff-2019-07,1
8401259ffffffff-2023-04,1
8401259ffffffff-2023-08,1
8401259ffffffff-2023-11,2
840125dffffffff-2017-08,1
840125dffffffff-2020-07,1
840125dffffffff-2022-10,1
8401261ffffffff-2018-06,1
8401261ffffffff-2018-07,1
8401261ffffffff-2020-06,1
8401261ffffffff-2021-06,1
8401261ffffffff-2022-05,2
8401261ffffffff-2022-06,1
8401261ffffffff-2023-05,1
8401261ffffffff-2023-06,2
8401261ffffffff-2023-07,4
8401261ffffffff-2023-08,2
8401263ffffffff-2023-08,1
8401265ffffffff-2017-06,1
8401265ffffffff-2017-07,1
8401265ffffffff-2019-05,2
8401265ffffffff-2020-07,3
8401265ffffffff-2021-06,1
8401265ffffffff-2021-07,1
8401265ffffffff-2022-06,2
8401265ffffffff-2022-07,1
8401265ffffffff-2023-05,1
8401265ffffffff-2023-06,9
8401267ffffffff-2019-06,2
8401269ffffffff-2018-07,1
8401269ffffffff-2021-06,2
8401269ffffffff-2022-05,2
8401269ffffffff-2023-08,1
840126bffffffff-2016-06,1
840126bffffffff-2020-10,2
840126bffffffff-2021-05,2
840126bffffffff-2021-10,1
840126bffffffff-2023-07,1
840126bffffffff-2023-08,2
840126dffffffff-2014-07,1
840126dffffffff-2018-05,2
840126dffffffff-2020-06,2
