index,n
840890dffffffff-2015-02,1
84089a1ffffffff-2022-05,1
84089a1ffffffff-2023-04,1
84089a5ffffffff-2021-10,1
84089a5ffffffff-2022-04,1
84089a5ffffffff-2022-05,6
84089a5ffffffff-2023-03,1
84089a7ffffffff-2022-04,1
84089a9ffffffff-2017-04,4
84089a9ffffffff-2019-04,3
84089a9ffffffff-2023-02,2
84089a9ffffffff-2023-04,3
84089a9ffffffff-2023-05,2
84089abffffffff-2023-02,1
84089adffffffff-2022-03,1
84089b7ffffffff-2022-08,1
84089b7ffffffff-2023-03,1
84089b7ffffffff-2023-06,1
84089bdffffffff-2021-02,3
84089bdffffffff-2021-03,1
84089bdffffffff-2022-02,2
84089bdffffffff-2022-03,1
8410345ffffffff-2019-06,1
8410367ffffffff-2023-08,1
8410367ffffffff-2023-11,1
8410811ffffffff-2023-06,1
8410815ffffffff-2019-09,1
8410815ffffffff-2019-10,2
8410815ffffffff-2019-11,2
8410815ffffffff-2019-12,1
8410815ffffffff-2020-01,1
8410815ffffffff-2020-02,8
8410815ffffffff-2020-03,8
8410815ffffffff-2020-04,2
8410815ffffffff-2020-05,5
8410815ffffffff-2021-03,4
8410815ffffffff-2022-04,1
841085bffffffff-2021-03,1
841085bffffffff-2022-07,1
8410a2dffffffff-2021-11,1
8410a2dffffffff-2022-03,1
8410a2dffffffff-2023-08,2
8410a81ffffffff-2023-11,1
8410b19ffffffff-2023-06,1
8410b39ffffffff-2021-10,3
8411061ffffffff-2015-05,1
8411061ffffffff-2023-11,1
8411069ffffffff-2022-01,6
8411069ffffffff-2022-11,2
8411069ffffffff-2022-12,2
8411069ffffffff-2023-01,1
8411069ffffffff-2023-02,2
8411069ffffffff-2023-03,1
8411069ffffffff-2023-10,1
841130dffffffff-2017-06,1
841131dffffffff-2022-01,1
8411321ffffffff-2023-09,1
8411341ffffffff-2022-06,1
8411345ffffffff-2022-03,1
8411345ffffffff-2023-07,1
8411347ffffffff-2019-04,2
8411347ffffffff-2021-02,2
8411347ffffffff-2022-04,2
841134bffffffff-2023-05,1
841134dffffffff-2019-10,1
841134dffffffff-2022-06,1
841135dffffffff-2014-08,1
841135dffffffff-2017-04,1
841135dffffffff-2023-08,11
8411363ffffffff-2017-04,2
8411363ffffffff-2018-05,1
8411363ffffffff-2019-10,1
8411363ffffffff-2023-08,2
8411365ffffffff-2020-10,1
8411365ffffffff-2021-09,1
8411369ffffffff-2013-03,1
8411369ffffffff-2019-07,2
8411369ffffffff-2022-08,1
841136bffffffff-2017-06,1
841136bffffffff-2018-04,1
841136bffffffff-2019-01,2
841136bffffffff-2019-06,4
841136bffffffff-2019-09,4
841136bffffffff-2019-11,5
841136bffffffff-2020-01,4
841136bffffffff-2020-02,4
841136bffffffff-2020-03,2
841136bffffffff-2022-02,1
841136bffffffff-2022-03,4
841136bffffffff-2022-05,1
841136bffffffff-2022-11,1
841136bffffffff-2023-02,1
