index,n
8424001ffffffff-2016-08,3
8424001ffffffff-2018-07,1
8424039ffffffff-2015-06,1
842404bffffffff-2023-05,1
84240a1ffffffff-2019-02,1
84240adffffffff-2015-06,2
84240adffffffff-2015-07,2
84240adffffffff-2016-05,1
84240adffffffff-2016-06,3
84240adffffffff-2016-08,2
84240adffffffff-2017-06,2
84240adffffffff-2017-07,1
84240adffffffff-2018-07,1
84240adffffffff-2019-06,9
84240adffffffff-2019-07,3
84240adffffffff-2022-06,1
84240adffffffff-2022-09,2
84240adffffffff-2022-11,2
84240adffffffff-2023-05,13
84240adffffffff-2023-06,37
84240adffffffff-2023-07,6
84240adffffffff-2023-08,4
84240e1ffffffff-2019-02,6
842411bffffffff-2015-04,1
84241c9ffffffff-2015-06,1
84241c9ffffffff-2016-06,1
84241c9ffffffff-2017-06,1
84241d9ffffffff-2023-05,1
8424299ffffffff-2022-07,2
8424567ffffffff-2018-04,1
8424c63ffffffff-2012-03,2
8424c63ffffffff-2017-02,3
8424c63ffffffff-2018-01,1
8424c63ffffffff-2018-12,9
8424c63ffffffff-2019-01,3
8424c63ffffffff-2019-02,3
8424c63ffffffff-2019-12,1
8424c63ffffffff-2021-01,2
842510dffffffff-2022-06,1
8425121ffffffff-2022-07,2
8425127ffffffff-2023-05,2
842512bffffffff-2021-09,3
842512bffffffff-2022-07,2
842512bffffffff-2022-09,3
8425135ffffffff-2019-09,3
8425135ffffffff-2023-06,1
8425161ffffffff-2022-06,2
8425169ffffffff-2022-06,1
8425ac9ffffffff-2020-09,3
8425ac9ffffffff-2022-05,2
8425ac9ffffffff-2022-09,19
8425ac9ffffffff-2022-10,2
