index,n
8445201ffffffff-2015-07,1
8445201ffffffff-2016-06,2
8445201ffffffff-2016-07,8
8445201ffffffff-2019-06,1
8445201ffffffff-2022-07,1
8445207ffffffff-2013-06,1
844520dffffffff-2014-02,3
844520dffffffff-2014-12,2
844520dffffffff-2015-11,2
844520dffffffff-2015-12,2
844520dffffffff-2016-05,2
844520dffffffff-2017-11,2
844520dffffffff-2018-02,6
844520dffffffff-2018-05,1
844520dffffffff-2018-08,1
844520dffffffff-2019-02,2
844520dffffffff-2019-06,1
844520dffffffff-2021-10,5
844520dffffffff-2022-01,1
8445221ffffffff-2021-12,1
8445221ffffffff-2022-12,1
8445225ffffffff-2016-11,2
8445225ffffffff-2017-10,1
8445225ffffffff-2017-11,4
8445229ffffffff-2023-11,1
8445241ffffffff-2015-07,1
8445241ffffffff-2018-11,3
8445243ffffffff-2013-04,1
8445243ffffffff-2013-08,2
8445243ffffffff-2015-10,1
8445243ffffffff-2016-04,12
8445243ffffffff-2016-05,6
8445243ffffffff-2017-01,1
8445243ffffffff-2017-04,1
8445243ffffffff-2017-05,3
8445243ffffffff-2018-04,1
8445243ffffffff-2018-05,1
8445243ffffffff-2018-08,5
8445243ffffffff-2019-03,4
8445243ffffffff-2019-04,3
8445243ffffffff-2019-11,1
8445243ffffffff-2019-12,1
8445243ffffffff-2020-01,7
8445243ffffffff-2020-02,1
8445243ffffffff-2021-03,2
8445243ffffffff-2021-04,1
8445243ffffffff-2021-06,2
8445243ffffffff-2021-07,1
8445243ffffffff-2021-12,2
8445243ffffffff-2022-03,4
8445243ffffffff-2022-10,2
8445243ffffffff-2022-11,3
8445243ffffffff-2023-05,2
8445245ffffffff-2015-03,2
8445245ffffffff-2015-05,1
8445245ffffffff-2017-01,3
8445245ffffffff-2018-12,2
8445245ffffffff-2021-08,1
8445245ffffffff-2022-01,3
8445247ffffffff-2017-01,1
8445247ffffffff-2017-03,1
8445247ffffffff-2017-08,4
8445247ffffffff-2019-10,2
8445247ffffffff-2021-02,1
8445247ffffffff-2022-10,7
844524bffffffff-2014-07,4
844524bffffffff-2016-04,6
844524bffffffff-2017-06,2
844524bffffffff-2017-07,9
844524bffffffff-2018-07,1
844524bffffffff-2018-08,1
844524bffffffff-2018-10,3
844524bffffffff-2018-12,2
844524bffffffff-2019-05,1
844524bffffffff-2019-06,2
844524bffffffff-2019-07,2
844524bffffffff-2020-12,1
844524bffffffff-2021-03,4
844524bffffffff-2021-04,4
844524bffffffff-2021-05,1
844524bffffffff-2021-12,2
844524bffffffff-2022-07,1
844524bffffffff-2022-08,1
844524bffffffff-2022-10,2
844524bffffffff-2023-03,10
844524bffffffff-2023-04,9
844524bffffffff-2023-05,7
844524bffffffff-2023-06,6
844524bffffffff-2023-07,16
8445253ffffffff-2022-02,3
844525bffffffff-2012-04,15
844525bffffffff-2012-08,1
844525bffffffff-2013-05,1
844525bffffffff-2014-03,5
844525bffffffff-2015-03,3
844525bffffffff-2015-05,1
844525bffffffff-2016-05,1
844525bffffffff-2017-05,10
844525bffffffff-2018-02,2
844525bffffffff-2018-03,5
844525bffffffff-2019-02,2
844525bffffffff-2019-04,31
844525bffffffff-2019-08,5
844525bffffffff-2020-10,24
844525bffffffff-2021-09,4
844525bffffffff-2021-12,6
844525bffffffff-2022-04,26
844525bffffffff-2022-09,4
844525bffffffff-2022-12,13
844525dffffffff-2016-07,5
844525dffffffff-2023-07,4
8445269ffffffff-2013-01,1
8445269ffffffff-2013-02,1
8445269ffffffff-2014-12,1
8445269ffffffff-2015-07,4
8445269ffffffff-2015-08,1
8445269ffffffff-2019-03,1
844526dffffffff-2017-05,1
844526dffffffff-2017-07,1
844526dffffffff-2017-08,2
844526dffffffff-2017-09,1
844526dffffffff-2018-01,2
844526dffffffff-2018-02,2
844526dffffffff-2018-03,3
844526dffffffff-2018-04,2
844526dffffffff-2018-09,2
844526dffffffff-2019-07,1
844526dffffffff-2019-10,1
844526dffffffff-2020-04,1
844526dffffffff-2021-04,2
8445301ffffffff-2013-05,3
8445305ffffffff-2017-05,1
8445309ffffffff-2012-05,2
844530dffffffff-2014-02,1
8445319ffffffff-2022-12,4
8445343ffffffff-2016-02,5
8445343ffffffff-2018-02,4
8445343ffffffff-2020-10,1
844534dffffffff-2013-06,2
844534dffffffff-2013-07,2
8445351ffffffff-2013-03,2
8445351ffffffff-2015-09,1
8445351ffffffff-2017-02,4
8445351ffffffff-2017-05,2
8445351ffffffff-2018-07,2
8445351ffffffff-2019-02,2
8445351ffffffff-2019-03,3
8445351ffffffff-2019-05,2
8445351ffffffff-2019-07,4
8445351ffffffff-2020-04,2
8445353ffffffff-2012-06,5
8466a21ffffffff-2015-04,1
8466a29ffffffff-2014-06,2
8466a29ffffffff-2015-02,1
8466a29ffffffff-2015-10,2
8466a29ffffffff-2018-07,1
8466a29ffffffff-2019-08,2
8466a29ffffffff-2020-02,1
8466a29ffffffff-2020-03,2
8466a29ffffffff-2021-04,2
8466a29ffffffff-2023-02,1
8466a2dffffffff-2013-08,9
8466a2dffffffff-2014-02,2
8466a2dffffffff-2014-06,4
8466a2dffffffff-2014-11,2
8466a2dffffffff-2015-02,2
