index,n
84729e9ffffffff-2018-06,3
8472a07ffffffff-2018-07,1
8472a07ffffffff-2018-08,1
8472a07ffffffff-2018-11,1
8472a23ffffffff-2019-06,1
8472a23ffffffff-2023-07,2
8472a2bffffffff-2019-06,12
8472a2bffffffff-2019-08,3
8472a2bffffffff-2022-06,1
8472a2bffffffff-2022-07,1
8472a2bffffffff-2023-09,4
8472a65ffffffff-2023-09,1
8472a65ffffffff-2023-10,1
8472b07ffffffff-2023-06,1
8472b07ffffffff-2023-07,3
8472b07ffffffff-2023-09,2
8472b07ffffffff-2023-11,1
8472b49ffffffff-2019-11,1
8472d23ffffffff-2018-06,3
8472d23ffffffff-2023-06,2
8472d23ffffffff-2023-07,1
8472d59ffffffff-2016-04,1
8472da1ffffffff-2019-08,1
8472da1ffffffff-2023-08,3
8472dbbffffffff-2017-08,2
8472debffffffff-2023-08,2
8472f23ffffffff-2013-11,1
8472f23ffffffff-2013-12,3
8472f23ffffffff-2015-07,2
8472f23ffffffff-2015-08,1
8472f23ffffffff-2015-09,1
8472f23ffffffff-2016-03,1
8472f23ffffffff-2016-09,6
8472f23ffffffff-2016-10,1
8472f23ffffffff-2017-07,3
8472f23ffffffff-2017-09,3
8472f23ffffffff-2017-11,2
8472f23ffffffff-2018-06,2
8472f23ffffffff-2018-07,1
8472f23ffffffff-2018-08,6
8472f23ffffffff-2018-09,1
8472f23ffffffff-2019-06,2
8472f23ffffffff-2019-07,4
8472f23ffffffff-2019-08,7
8472f23ffffffff-2019-10,1
8472f23ffffffff-2022-04,1
8472f23ffffffff-2022-06,2
8472f23ffffffff-2022-07,4
8472f23ffffffff-2022-09,8
8472f23ffffffff-2022-10,11
8472f23ffffffff-2023-04,1
8472f23ffffffff-2023-06,8
8472f23ffffffff-2023-07,7
8472f23ffffffff-2023-08,21
8472f23ffffffff-2023-09,4
8472f35ffffffff-2019-01,1
8473985ffffffff-2023-07,1
84739a1ffffffff-2019-09,1
84739a9ffffffff-2018-12,1
84739abffffffff-2015-12,3
84739abffffffff-2017-11,5
84739abffffffff-2022-08,3
84739abffffffff-2022-12,2
84739abffffffff-2023-10,5
84739b1ffffffff-2015-12,2
84739b1ffffffff-2016-01,4
84739b1ffffffff-2017-11,4
84739b1ffffffff-2018-07,1
84739b1ffffffff-2018-09,4
84739b1ffffffff-2019-08,2
84739b1ffffffff-2019-09,4
84739b1ffffffff-2020-01,2
84739b1ffffffff-2022-07,3
84739b1ffffffff-2022-08,7
84739b1ffffffff-2022-09,15
84739b1ffffffff-2022-10,8
84739b1ffffffff-2022-11,11
84739b1ffffffff-2022-12,24
84739b1ffffffff-2023-04,3
84739b1ffffffff-2023-08,2
84739b1ffffffff-2023-10,15
84739b1ffffffff-2023-11,20
84739b3ffffffff-2023-01,6
84739b5ffffffff-2017-09,5
84739b5ffffffff-2017-12,4
84739b5ffffffff-2022-09,2
84739b5ffffffff-2022-10,9
84739b5ffffffff-2022-12,1
84739b5ffffffff-2023-06,4
84739b5ffffffff-2023-10,1
8495691ffffffff-2018-03,2
849c851ffffffff-2019-06,2
849c85bffffffff-2012-07,1
849c85bffffffff-2013-07,2
849c85bffffffff-2013-08,2
849c85bffffffff-2013-10,1
849c85bffffffff-2013-11,1
849c85bffffffff-2014-03,1
849c85bffffffff-2014-06,3
849c85bffffffff-2014-07,4
849c85bffffffff-2014-10,1
849c85bffffffff-2015-04,1
849c85bffffffff-2015-07,4
849c85bffffffff-2015-09,4
849c85bffffffff-2015-10,4
849c85bffffffff-2015-11,1
849c85bffffffff-2015-12,1
849c85bffffffff-2016-02,1
849c85bffffffff-2016-04,2
849c85bffffffff-2016-05,1
849c85bffffffff-2016-07,5
849c85bffffffff-2016-08,1
849c85bffffffff-2016-09,6
849c85bffffffff-2016-11,5
849c85bffffffff-2017-03,2
849c85bffffffff-2017-07,6
849c85bffffffff-2017-08,4
849c85bffffffff-2017-09,1
849c85bffffffff-2017-10,2
849c85bffffffff-2017-11,3
849c85bffffffff-2017-12,1
849c85bffffffff-2018-05,4
849c85bffffffff-2018-07,21
849c85bffffffff-2018-08,4
849c85bffffffff-2018-09,1
849c85bffffffff-2018-10,6
849c85bffffffff-2019-06,2
849c85bffffffff-2019-07,6
849c85bffffffff-2019-08,6
849c85bffffffff-2019-09,7
849c85bffffffff-2019-10,8
849c85bffffffff-2019-12,1
849c85bffffffff-2022-07,4
849c85bffffffff-2022-08,24
849c85bffffffff-2023-06,21
849c85bffffffff-2023-07,27
849c85bffffffff-2023-08,31
849c85bffffffff-2023-09,22
849c85bffffffff-2023-10,1
849c85dffffffff-2018-09,1
849ca65ffffffff-2015-10,1
849caadffffffff-2012-07,1
849caadffffffff-2014-10,1
849cc29ffffffff-2015-10,1
849cd19ffffffff-2016-08,1
849cd31ffffffff-2013-08,2
849cd31ffffffff-2014-07,4
849cd31ffffffff-2014-08,1
849cd31ffffffff-2019-08,4
849cd31ffffffff-2019-09,1
849cd31ffffffff-2022-07,1
849cd31ffffffff-2023-08,3
849cd31ffffffff-2023-09,7
849cd33ffffffff-2013-08,1
849cd33ffffffff-2019-09,2
849cd33ffffffff-2022-07,1
849cd33ffffffff-2023-06,6
