index,n
84bb081ffffffff-2016-06,1
84bb081ffffffff-2018-10,1
84bb081ffffffff-2022-12,1
84bb083ffffffff-2019-02,1
84bb083ffffffff-2020-10,1
84bb083ffffffff-2021-05,2
84bb087ffffffff-2019-10,1
84bb087ffffffff-2019-12,3
84bb087ffffffff-2020-10,3
84bb089ffffffff-2022-10,1
84bb08bffffffff-2020-12,1
84bb08bffffffff-2021-05,1
84bb08dffffffff-2022-11,1
84bb08dffffffff-2023-03,2
84bb091ffffffff-2021-01,1
84bb091ffffffff-2022-01,1
84bb093ffffffff-2014-08,1
84bb093ffffffff-2016-12,1
84bb093ffffffff-2018-02,2
84bb093ffffffff-2018-11,1
84bb093ffffffff-2019-12,4
84bb093ffffffff-2021-07,4
84bb093ffffffff-2022-02,1
84bb093ffffffff-2022-05,1
84bb093ffffffff-2023-01,3
84bb093ffffffff-2023-10,1
84bb099ffffffff-2023-03,1
84bb09bffffffff-2017-02,1
84bb0b1ffffffff-2015-01,1
84bb0b1ffffffff-2016-06,1
84bb0b1ffffffff-2017-01,1
84bb0b1ffffffff-2018-04,1
84bb0b1ffffffff-2018-06,2
84bb0b1ffffffff-2019-02,3
84bb0b1ffffffff-2019-06,1
84bb0b1ffffffff-2021-09,1
84bb0b1ffffffff-2021-11,1
84bb0b1ffffffff-2022-05,1
84bb0b1ffffffff-2022-06,5
84bb0b1ffffffff-2022-08,1
84bb0b1ffffffff-2022-10,6
84bb0b1ffffffff-2023-05,1
84bb0b1ffffffff-2023-07,1
84bb0b1ffffffff-2023-08,2
84bb0b1ffffffff-2023-11,2
84bb0b9ffffffff-2023-01,1
84bb0bdffffffff-2020-12,1
84bb0bdffffffff-2022-11,2
84bb0d3ffffffff-2015-12,1
84bb0d3ffffffff-2017-04,1
84bb0d3ffffffff-2018-03,1
84bb0d3ffffffff-2021-04,2
84bb0d3ffffffff-2021-05,9
84bb0d3ffffffff-2022-01,1
84bb0d3ffffffff-2022-11,3
84bb0d3ffffffff-2023-03,5
84bb0d5ffffffff-2019-10,2
84bb0d5ffffffff-2021-02,1
84bb0ddffffffff-2018-02,1
84bb295ffffffff-2014-02,1
84bb295ffffffff-2016-01,1
84bb295ffffffff-2016-09,1
84bb295ffffffff-2017-03,2
84bb295ffffffff-2018-05,2
84bb295ffffffff-2018-11,1
84bb295ffffffff-2019-10,2
84bb295ffffffff-2020-12,1
84bb295ffffffff-2021-01,3
