index,n
8468009ffffffff-2019-10,1
8468051ffffffff-2023-07,1
8468053ffffffff-2012-09,1
8468053ffffffff-2018-01,1
8468055ffffffff-2013-09,2
8468055ffffffff-2020-11,4
8468055ffffffff-2021-06,4
8468055ffffffff-2021-11,1
8468055ffffffff-2023-01,2
8468057ffffffff-2014-05,1
8468057ffffffff-2016-03,1
8468057ffffffff-2016-06,1
8468057ffffffff-2017-04,1
8468057ffffffff-2018-04,8
8468057ffffffff-2021-06,1
8468057ffffffff-2021-11,1
8468057ffffffff-2022-05,1
8468281ffffffff-2012-02,3
8468281ffffffff-2012-12,1
8468281ffffffff-2013-01,4
8468281ffffffff-2013-12,2
8468281ffffffff-2014-02,4
8468281ffffffff-2014-03,5
8468281ffffffff-2014-06,1
8468281ffffffff-2014-11,2
8468281ffffffff-2014-12,1
8468281ffffffff-2015-01,1
8468281ffffffff-2015-02,10
8468281ffffffff-2015-03,20
8468281ffffffff-2015-04,4
8468281ffffffff-2015-07,1
8468281ffffffff-2015-10,1
8468281ffffffff-2015-11,2
8468281ffffffff-2015-12,1
8468281ffffffff-2016-01,4
8468281ffffffff-2016-02,2
8468281ffffffff-2016-03,19
8468281ffffffff-2016-04,10
8468281ffffffff-2016-05,8
8468281ffffffff-2016-11,4
8468281ffffffff-2016-12,1
8468281ffffffff-2017-02,14
8468281ffffffff-2017-03,7
8468281ffffffff-2017-04,4
8468281ffffffff-2017-07,8
8468281ffffffff-2017-09,9
8468281ffffffff-2017-10,2
8468281ffffffff-2017-11,1
8468281ffffffff-2017-12,4
8468281ffffffff-2018-01,2
8468281ffffffff-2018-02,1
8468281ffffffff-2018-03,2
8468281ffffffff-2018-04,3
8468281ffffffff-2018-05,5
8468281ffffffff-2018-07,3
8468281ffffffff-2018-12,4
8468281ffffffff-2019-01,7
8468281ffffffff-2019-02,23
8468281ffffffff-2019-03,5
8468281ffffffff-2019-04,10
8468281ffffffff-2019-05,7
8468281ffffffff-2019-07,2
8468281ffffffff-2019-09,3
8468281ffffffff-2019-10,7
8468281ffffffff-2019-11,6
8468281ffffffff-2020-01,15
8468281ffffffff-2020-02,3
8468281ffffffff-2020-03,9
8468281ffffffff-2020-06,1
8468281ffffffff-2020-07,1
8468281ffffffff-2021-01,1
8468281ffffffff-2022-01,2
8468281ffffffff-2022-03,1
8468281ffffffff-2022-06,3
8468281ffffffff-2022-07,8
8468281ffffffff-2022-08,6
8468281ffffffff-2022-10,3
8468281ffffffff-2022-11,14
8468281ffffffff-2022-12,2
8468281ffffffff-2023-01,2
8468281ffffffff-2023-02,4
8468281ffffffff-2023-03,8
8468281ffffffff-2023-04,12
8468281ffffffff-2023-05,9
8468281ffffffff-2023-07,3
8468281ffffffff-2023-10,5
8468281ffffffff-2023-11,13
8468285ffffffff-2012-03,1
8468285ffffffff-2012-09,2
8468285ffffffff-2013-11,1
8468285ffffffff-2013-12,3
8468285ffffffff-2014-02,3
8468285ffffffff-2014-03,2
8468285ffffffff-2014-05,1
8468285ffffffff-2014-06,4
8468285ffffffff-2015-01,1
8468285ffffffff-2015-02,8
8468285ffffffff-2015-03,4
8468285ffffffff-2015-04,4
8468285ffffffff-2015-05,6
8468285ffffffff-2015-06,8
8468285ffffffff-2015-11,1
8468285ffffffff-2015-12,1
8468285ffffffff-2016-02,1
8468285ffffffff-2016-03,17
8468285ffffffff-2016-04,11
8468285ffffffff-2016-05,9
8468285ffffffff-2016-11,7
8468285ffffffff-2016-12,1
8468285ffffffff-2017-02,15
8468285ffffffff-2017-03,12
8468285ffffffff-2017-04,4
8468285ffffffff-2017-06,8
8468285ffffffff-2017-07,2
8468285ffffffff-2017-09,6
8468285ffffffff-2017-10,4
8468285ffffffff-2017-11,5
8468285ffffffff-2017-12,5
8468285ffffffff-2018-01,9
8468285ffffffff-2018-02,8
8468285ffffffff-2018-04,4
8468285ffffffff-2018-05,16
8468285ffffffff-2018-07,3
8468285ffffffff-2018-10,1
8468285ffffffff-2018-11,8
8468285ffffffff-2018-12,33
8468285ffffffff-2019-01,5
8468285ffffffff-2019-02,14
8468285ffffffff-2019-03,7
8468285ffffffff-2019-04,5
8468285ffffffff-2019-05,10
8468285ffffffff-2019-06,1
8468285ffffffff-2019-07,3
8468285ffffffff-2019-08,1
8468285ffffffff-2019-09,2
8468285ffffffff-2019-10,36
8468285ffffffff-2019-11,8
8468285ffffffff-2019-12,1
