index,n
8472a07ffffffff-2015-11,1
8472a07ffffffff-2018-07,1
8472a07ffffffff-2018-08,2
8472a07ffffffff-2018-11,1
8472a07ffffffff-2022-08,4
8472a2bffffffff-2012-10,2
8472a2bffffffff-2013-12,8
8472a2bffffffff-2015-07,1
8472a2bffffffff-2015-08,3
8472a2bffffffff-2015-09,2
8472a2bffffffff-2015-11,2
8472a2bffffffff-2016-01,1
8472a2bffffffff-2016-08,5
8472a2bffffffff-2016-10,3
8472a2bffffffff-2017-06,3
8472a2bffffffff-2017-09,24
8472a2bffffffff-2017-10,7
8472a2bffffffff-2017-11,7
8472a2bffffffff-2017-12,2
8472a2bffffffff-2018-04,3
8472a2bffffffff-2018-06,3
8472a2bffffffff-2018-08,3
8472a2bffffffff-2018-09,10
8472a2bffffffff-2018-10,6
8472a2bffffffff-2018-11,3
8472a2bffffffff-2019-06,13
8472a2bffffffff-2019-07,3
8472a2bffffffff-2019-08,8
8472a2bffffffff-2019-09,11
8472a2bffffffff-2019-10,8
8472a2bffffffff-2022-07,16
8472a2bffffffff-2022-08,10
8472a2bffffffff-2022-09,25
8472a2bffffffff-2022-10,8
8472a2bffffffff-2022-11,3
8472a2bffffffff-2022-12,3
8472a2bffffffff-2023-01,26
8472a2bffffffff-2023-04,5
8472a2bffffffff-2023-05,1
8472a2bffffffff-2023-06,12
8472a2bffffffff-2023-07,19
8472a2bffffffff-2023-08,34
8472a2bffffffff-2023-09,19
8472a2bffffffff-2023-10,14
8472a2bffffffff-2023-11,13
8472a65ffffffff-2023-08,1
8472a65ffffffff-2023-10,1
8472b03ffffffff-2021-07,1
8472b03ffffffff-2022-10,2
8472b03ffffffff-2022-12,1
8472b07ffffffff-2023-06,2
8472b07ffffffff-2023-07,3
8472b07ffffffff-2023-09,4
8472b07ffffffff-2023-10,2
8472b07ffffffff-2023-11,1
8472b49ffffffff-2019-11,1
8472b51ffffffff-2020-11,1
8473985ffffffff-2017-12,1
84739a1ffffffff-2019-09,1
84739a1ffffffff-2022-04,1
84739a1ffffffff-2022-09,2
84739abffffffff-2014-08,1
84739abffffffff-2015-08,3
84739abffffffff-2015-09,2
84739abffffffff-2015-11,1
84739abffffffff-2015-12,5
84739abffffffff-2016-08,3
84739abffffffff-2016-10,1
84739abffffffff-2017-03,7
84739abffffffff-2017-06,2
84739abffffffff-2017-07,1
84739abffffffff-2017-09,21
84739abffffffff-2017-10,9
84739abffffffff-2017-11,18
84739abffffffff-2017-12,2
84739abffffffff-2018-02,1
84739abffffffff-2018-08,14
84739abffffffff-2018-09,7
84739abffffffff-2018-10,5
84739abffffffff-2018-11,2
84739abffffffff-2019-01,1
84739abffffffff-2019-07,2
84739abffffffff-2019-08,5
84739abffffffff-2019-09,6
84739abffffffff-2019-11,1
84739abffffffff-2020-01,4
84739abffffffff-2020-12,2
84739abffffffff-2021-01,1
84739abffffffff-2022-04,2
84739abffffffff-2022-07,2
84739abffffffff-2022-08,25
84739abffffffff-2022-09,8
84739abffffffff-2022-10,9
84739abffffffff-2022-11,2
84739abffffffff-2022-12,14
84739abffffffff-2023-01,2
84739abffffffff-2023-02,2
84739abffffffff-2023-04,8
84739abffffffff-2023-05,4
84739abffffffff-2023-06,9
84739abffffffff-2023-07,22
84739abffffffff-2023-08,30
84739abffffffff-2023-09,7
84739abffffffff-2023-10,3
84739abffffffff-2023-11,7
84739b1ffffffff-2015-12,2
84739b1ffffffff-2017-11,10
84739b1ffffffff-2018-06,2
84739b1ffffffff-2018-07,1
84739b1ffffffff-2018-09,6
84739b1ffffffff-2019-08,3
84739b1ffffffff-2019-10,1
84739b1ffffffff-2020-01,2
84739b1ffffffff-2022-05,2
84739b1ffffffff-2022-07,4
84739b1ffffffff-2022-08,8
84739b1ffffffff-2022-09,9
84739b1ffffffff-2022-10,5
84739b1ffffffff-2022-11,7
84739b1ffffffff-2022-12,19
84739b1ffffffff-2023-02,1
84739b1ffffffff-2023-04,13
84739b1ffffffff-2023-05,2
84739b1ffffffff-2023-06,1
84739b1ffffffff-2023-08,6
84739b1ffffffff-2023-10,20
84739b1ffffffff-2023-11,25
84739b3ffffffff-2023-11,1
84739b5ffffffff-2012-10,2
84739b5ffffffff-2013-11,1
84739b5ffffffff-2015-06,1
84739b5ffffffff-2015-08,3
84739b5ffffffff-2015-11,2
84739b5ffffffff-2016-01,6
84739b5ffffffff-2017-06,5
84739b5ffffffff-2017-09,7
84739b5ffffffff-2017-10,2
84739b5ffffffff-2017-11,5
84739b5ffffffff-2017-12,4
84739b5ffffffff-2018-08,2
84739b5ffffffff-2018-09,4
84739b5ffffffff-2018-10,1
84739b5ffffffff-2018-11,1
84739b5ffffffff-2019-01,1
84739b5ffffffff-2019-06,1
84739b5ffffffff-2019-08,3
84739b5ffffffff-2019-09,1
84739b5ffffffff-2021-01,1
84739b5ffffffff-2022-04,1
84739b5ffffffff-2022-08,1
84739b5ffffffff-2022-09,3
84739b5ffffffff-2022-10,10
84739b5ffffffff-2022-11,14
84739b5ffffffff-2022-12,8
84739b5ffffffff-2023-01,3
84739b5ffffffff-2023-06,3
84739b5ffffffff-2023-07,8
84739b5ffffffff-2023-08,5
84739b5ffffffff-2023-09,6
84739b5ffffffff-2023-10,10
84739b5ffffffff-2023-11,8
8495693ffffffff-2018-03,2
84956d3ffffffff-2017-03,4
84956d3ffffffff-2017-11,5
84956d3ffffffff-2019-10,6
84956d3ffffffff-2022-10,6
84956d3ffffffff-2022-12,5
84956d3ffffffff-2023-10,18
84956d3ffffffff-2023-11,10
