index,n
846ac07ffffffff-2016-12,1
846ac07ffffffff-2018-05,1
846ac07ffffffff-2022-01,1
846ac07ffffffff-2023-07,2
846ac15ffffffff-2021-02,4
846ac15ffffffff-2022-08,1
846ac15ffffffff-2022-09,2
846ac35ffffffff-2019-12,1
846ace5ffffffff-2019-06,2
846ad89ffffffff-2021-06,1
846ada1ffffffff-2015-03,1
846ada1ffffffff-2022-12,1
846ada3ffffffff-2017-08,2
846ada9ffffffff-2022-08,1
846adadffffffff-2012-04,1
846adc1ffffffff-2012-11,1
846adc1ffffffff-2013-04,1
846adc1ffffffff-2013-07,1
846adc1ffffffff-2014-06,3
846adc1ffffffff-2015-03,4
846adc1ffffffff-2015-07,1
846adc1ffffffff-2015-09,1
846adc1ffffffff-2016-06,1
846adc1ffffffff-2016-07,1
846adc1ffffffff-2016-08,1
846adc1ffffffff-2017-07,5
846adc1ffffffff-2017-08,2
846adc1ffffffff-2017-12,1
846adc1ffffffff-2018-04,1
846adc1ffffffff-2018-05,1
846adc1ffffffff-2018-06,1
846adc1ffffffff-2018-07,9
846adc1ffffffff-2018-08,2
846adc1ffffffff-2018-09,1
846adc1ffffffff-2018-10,1
846adc1ffffffff-2018-11,2
846adc1ffffffff-2018-12,5
846adc1ffffffff-2019-06,2
846adc1ffffffff-2019-07,7
846adc1ffffffff-2019-10,1
846adc1ffffffff-2019-12,2
846adc1ffffffff-2020-02,2
846adc1ffffffff-2020-10,1
846adc1ffffffff-2021-01,1
846adc1ffffffff-2021-02,9
846adc1ffffffff-2021-03,2
846adc1ffffffff-2021-04,3
846adc1ffffffff-2021-05,2
846adc1ffffffff-2021-06,2
846adc1ffffffff-2021-07,1
846adc1ffffffff-2021-08,5
846adc1ffffffff-2021-09,1
846adc1ffffffff-2021-11,1
846adc1ffffffff-2021-12,1
846adc1ffffffff-2022-01,7
846adc1ffffffff-2022-02,2
846adc1ffffffff-2022-03,5
846adc1ffffffff-2022-05,4
846adc1ffffffff-2022-06,7
846adc1ffffffff-2022-07,17
846adc1ffffffff-2022-08,22
846adc1ffffffff-2022-09,24
846adc1ffffffff-2022-10,2
846adc1ffffffff-2023-02,3
846adc1ffffffff-2023-05,1
846adc1ffffffff-2023-06,4
846adc1ffffffff-2023-07,16
846adc1ffffffff-2023-08,14
846adc1ffffffff-2023-09,1
846adc1ffffffff-2023-10,2
846adc1ffffffff-2023-11,1
846adc3ffffffff-2013-07,1
846adc3ffffffff-2018-03,1
846adc5ffffffff-2017-09,7
846adc5ffffffff-2017-11,1
846adc5ffffffff-2018-04,1
846adc5ffffffff-2019-06,2
846adc5ffffffff-2020-03,3
846adc5ffffffff-2021-07,1
846adc5ffffffff-2021-09,5
846adc5ffffffff-2021-10,4
