index,n
845d101ffffffff-2013-05,1
845d101ffffffff-2020-05,1
845d101ffffffff-2023-04,1
845d103ffffffff-2012-01,85
845d103ffffffff-2012-02,59
845d103ffffffff-2012-03,111
845d103ffffffff-2012-04,72
845d103ffffffff-2012-05,74
845d103ffffffff-2012-06,86
845d103ffffffff-2012-07,44
845d103ffffffff-2012-08,35
845d103ffffffff-2012-09,37
845d103ffffffff-2012-10,55
845d103ffffffff-2012-11,60
845d103ffffffff-2012-12,42
845d103ffffffff-2013-01,58
845d103ffffffff-2013-02,65
845d103ffffffff-2013-03,121
845d103ffffffff-2013-04,10
845d103ffffffff-2013-05,21
845d103ffffffff-2013-06,38
845d103ffffffff-2013-07,27
845d103ffffffff-2013-08,40
845d103ffffffff-2013-09,8
845d103ffffffff-2013-10,19
845d103ffffffff-2013-11,46
845d103ffffffff-2013-12,64
845d103ffffffff-2014-01,49
845d103ffffffff-2014-02,23
845d103ffffffff-2014-03,30
845d103ffffffff-2014-04,18
845d103ffffffff-2014-05,27
845d103ffffffff-2014-06,55
845d103ffffffff-2014-07,57
845d103ffffffff-2014-08,73
845d103ffffffff-2014-09,55
845d103ffffffff-2014-10,8
845d103ffffffff-2014-11,26
845d103ffffffff-2014-12,28
845d103ffffffff-2015-01,76
845d103ffffffff-2015-02,23
845d103ffffffff-2015-03,85
845d103ffffffff-2015-04,42
845d103ffffffff-2015-05,48
845d103ffffffff-2015-06,67
845d103ffffffff-2015-07,15
845d103ffffffff-2015-08,18
845d103ffffffff-2015-10,7
845d103ffffffff-2015-11,11
845d103ffffffff-2015-12,20
845d103ffffffff-2016-01,27
845d103ffffffff-2016-02,38
845d103ffffffff-2016-03,65
845d103ffffffff-2016-04,16
845d103ffffffff-2016-05,22
845d103ffffffff-2016-06,11
845d103ffffffff-2016-07,18
845d103ffffffff-2016-08,18
845d103ffffffff-2016-09,35
845d103ffffffff-2016-10,13
845d103ffffffff-2016-11,21
845d103ffffffff-2016-12,15
845d103ffffffff-2017-01,45
845d103ffffffff-2017-02,17
845d103ffffffff-2017-03,90
845d103ffffffff-2017-04,21
845d103ffffffff-2017-05,21
845d103ffffffff-2017-06,69
845d103ffffffff-2017-07,30
845d103ffffffff-2017-08,82
845d103ffffffff-2017-09,130
845d103ffffffff-2017-10,81
845d103ffffffff-2017-11,67
845d103ffffffff-2017-12,78
845d103ffffffff-2018-01,54
845d103ffffffff-2018-02,73
845d103ffffffff-2018-03,125
845d103ffffffff-2018-04,142
845d103ffffffff-2018-05,98
845d103ffffffff-2018-06,81
845d103ffffffff-2018-07,216
845d103ffffffff-2018-08,35
845d103ffffffff-2018-09,107
845d103ffffffff-2018-10,97
845d103ffffffff-2018-11,77
845d103ffffffff-2018-12,76
845d103ffffffff-2019-01,44
845d103ffffffff-2019-02,84
845d103ffffffff-2019-03,101
845d103ffffffff-2019-04,134
845d103ffffffff-2019-05,43
845d103ffffffff-2019-06,34
845d103ffffffff-2019-07,11
845d103ffffffff-2019-08,16
845d103ffffffff-2019-09,18
845d103ffffffff-2019-10,60
845d103ffffffff-2019-11,62
845d103ffffffff-2019-12,30
845d103ffffffff-2020-01,102
845d103ffffffff-2020-02,94
845d103ffffffff-2020-03,55
845d103ffffffff-2020-04,4
845d103ffffffff-2020-05,10
845d103ffffffff-2020-06,32
845d103ffffffff-2020-07,14
845d103ffffffff-2020-08,27
845d103ffffffff-2020-09,2
845d103ffffffff-2020-10,2
845d103ffffffff-2020-11,4
845d103ffffffff-2020-12,78
845d103ffffffff-2021-01,46
845d103ffffffff-2021-02,10
845d103ffffffff-2021-03,72
845d103ffffffff-2021-04,89
845d103ffffffff-2021-05,115
845d103ffffffff-2021-06,129
845d103ffffffff-2021-07,157
845d103ffffffff-2021-08,101
845d103ffffffff-2021-09,129
845d103ffffffff-2021-10,306
845d103ffffffff-2021-11,216
845d103ffffffff-2021-12,172
845d103ffffffff-2022-01,94
845d103ffffffff-2022-02,77
845d103ffffffff-2022-03,190
845d103ffffffff-2022-04,104
845d103ffffffff-2022-05,77
845d103ffffffff-2022-06,80
845d103ffffffff-2022-07,83
845d103ffffffff-2022-08,55
845d103ffffffff-2022-09,98
845d103ffffffff-2022-10,110
845d103ffffffff-2022-11,102
845d103ffffffff-2022-12,116
845d103ffffffff-2023-01,124
845d103ffffffff-2023-02,86
845d103ffffffff-2023-03,160
845d103ffffffff-2023-04,148
845d103ffffffff-2023-05,169
845d103ffffffff-2023-06,161
845d103ffffffff-2023-07,134
845d103ffffffff-2023-08,102
845d103ffffffff-2023-09,241
845d103ffffffff-2023-10,151
845d103ffffffff-2023-11,42
845d107ffffffff-2012-01,1
845d107ffffffff-2012-12,1
845d107ffffffff-2017-06,1
845d107ffffffff-2017-11,1
845d107ffffffff-2018-01,1
845d107ffffffff-2018-02,1
845d107ffffffff-2018-07,3
845d107ffffffff-2019-07,1
845d107ffffffff-2020-01,1
845d107ffffffff-2020-03,1
845d107ffffffff-2021-03,1
845d107ffffffff-2022-03,1
845d107ffffffff-2022-06,1
845d107ffffffff-2022-11,1
845d107ffffffff-2023-01,2
845d107ffffffff-2023-07,1
845d107ffffffff-2023-08,2
845d107ffffffff-2023-10,1
845d115ffffffff-2012-01,13
845d115ffffffff-2012-02,34
845d115ffffffff-2012-03,9
845d115ffffffff-2012-04,14
845d115ffffffff-2012-05,22
845d115ffffffff-2012-06,7
845d115ffffffff-2012-07,6
845d115ffffffff-2012-08,38
845d115ffffffff-2012-10,15
845d115ffffffff-2012-11,2
845d115ffffffff-2013-01,13
845d115ffffffff-2013-02,1
845d115ffffffff-2013-03,22
845d115ffffffff-2013-04,20
845d115ffffffff-2013-05,5
845d115ffffffff-2013-07,16
845d115ffffffff-2013-08,4
845d115ffffffff-2013-10,9
845d115ffffffff-2013-12,6
845d115ffffffff-2014-01,9
845d115ffffffff-2014-02,21
845d115ffffffff-2014-06,11
845d115ffffffff-2014-08,20
845d115ffffffff-2015-01,10
845d115ffffffff-2015-06,1
845d115ffffffff-2015-07,11
845d115ffffffff-2015-12,2
845d115ffffffff-2016-02,6
845d115ffffffff-2016-07,1
845d115ffffffff-2016-12,1
845d115ffffffff-2018-07,8
845d115ffffffff-2018-08,6
845d115ffffffff-2019-01,7
845d115ffffffff-2019-02,1
845d115ffffffff-2019-06,1
845d115ffffffff-2019-12,2
845d115ffffffff-2020-02,4
845d115ffffffff-2020-03,1
845d115ffffffff-2020-09,3
845d115ffffffff-2020-10,1
845d115ffffffff-2021-03,1
845d115ffffffff-2021-11,8
845d115ffffffff-2021-12,1
845d115ffffffff-2022-07,2
845d115ffffffff-2022-08,1
845d115ffffffff-2022-09,1
845d115ffffffff-2023-06,1
845d115ffffffff-2023-09,2
845d115ffffffff-2023-10,1
845d11dffffffff-2022-10,1
845d131ffffffff-2021-12,1
845d131ffffffff-2022-11,2
845d139ffffffff-2012-01,37
845d139ffffffff-2012-02,77
845d139ffffffff-2012-03,44
845d139ffffffff-2012-04,18
845d139ffffffff-2012-05,24
845d139ffffffff-2012-06,30
845d139ffffffff-2012-07,10
845d139ffffffff-2012-08,31
845d139ffffffff-2012-10,52
845d139ffffffff-2012-11,39
845d139ffffffff-2012-12,53
845d139ffffffff-2013-01,55
845d139ffffffff-2013-02,84
845d139ffffffff-2013-03,36
845d139ffffffff-2013-04,18
845d139ffffffff-2013-05,11
845d139ffffffff-2013-06,27
845d139ffffffff-2013-07,57
845d139ffffffff-2013-08,30
845d139ffffffff-2013-09,46
845d139ffffffff-2013-10,22
845d139ffffffff-2013-12,28
845d139ffffffff-2014-01,64
845d139ffffffff-2014-02,57
845d139ffffffff-2014-03,8
845d139ffffffff-2014-04,4
845d139ffffffff-2014-05,50
845d139ffffffff-2014-06,14
845d139ffffffff-2014-07,11
845d139ffffffff-2014-08,48
845d139ffffffff-2014-09,3
845d139ffffffff-2014-10,7
845d139ffffffff-2014-11,2
845d139ffffffff-2014-12,19
845d139ffffffff-2015-01,9
845d139ffffffff-2015-02,60
845d139ffffffff-2015-03,15
845d139ffffffff-2015-04,2
845d139ffffffff-2015-05,3
