index,n
845f00dffffffff-2016-03,1
845f00dffffffff-2017-03,2
845f02dffffffff-2021-09,2
845f031ffffffff-2021-08,1
845f031ffffffff-2022-10,1
845f031ffffffff-2023-04,2
845f035ffffffff-2013-01,1
845f03bffffffff-2023-10,1
845f03dffffffff-2016-02,2
845f03dffffffff-2016-11,4
845f03dffffffff-2017-02,1
845f03dffffffff-2017-04,1
845f03dffffffff-2017-07,14
845f03dffffffff-2017-09,2
845f03dffffffff-2017-10,1
845f03dffffffff-2017-11,3
845f03dffffffff-2018-02,4
845f03dffffffff-2018-08,1
845f03dffffffff-2018-10,1
845f03dffffffff-2019-01,4
845f03dffffffff-2019-02,9
845f03dffffffff-2019-03,2
845f03dffffffff-2019-11,4
845f03dffffffff-2020-01,10
845f03dffffffff-2020-02,1
845f03dffffffff-2020-11,1
845f03dffffffff-2020-12,1
845f03dffffffff-2021-10,1
845f03dffffffff-2021-11,3
845f03dffffffff-2022-02,6
845f03dffffffff-2022-03,2
845f03dffffffff-2022-11,1
845f03dffffffff-2022-12,5
845f03dffffffff-2023-01,2
845f03dffffffff-2023-04,8
845f03dffffffff-2023-08,3
845f03dffffffff-2023-10,3
845f095ffffffff-2020-11,1
845f09bffffffff-2019-12,1
845f0d5ffffffff-2017-09,1
845f0d7ffffffff-2014-04,2
845f0d7ffffffff-2015-11,1
845f0d7ffffffff-2016-10,1
845f0d9ffffffff-2022-02,4
845f105ffffffff-2019-01,1
845f105ffffffff-2021-11,6
845f105ffffffff-2023-05,3
845f105ffffffff-2023-06,2
845f107ffffffff-2017-10,1
845f107ffffffff-2019-07,1
845f107ffffffff-2023-08,1
845f107ffffffff-2023-09,2
845f107ffffffff-2023-11,1
845f10dffffffff-2014-10,1
845f10dffffffff-2023-11,1
845f117ffffffff-2020-10,3
845f117ffffffff-2020-12,1
845f117ffffffff-2023-01,6
845f117ffffffff-2023-08,4
845f11bffffffff-2022-10,1
845f12bffffffff-2019-02,2
845f12bffffffff-2020-03,1
845f12bffffffff-2021-07,1
845f12bffffffff-2022-01,1
845f12bffffffff-2023-08,3
845f12bffffffff-2023-10,1
845f139ffffffff-2017-02,1
845f139ffffffff-2017-03,1
845f139ffffffff-2017-07,1
845f139ffffffff-2017-10,1
845f139ffffffff-2018-03,1
845f139ffffffff-2019-02,2
845f139ffffffff-2019-06,1
