index,n
845285dffffffff-2019-03,1
846a5a9ffffffff-2018-01,1
846a72dffffffff-2023-07,1
847a4b5ffffffff-2021-11,1
847a4b5ffffffff-2021-12,1
847ac8bffffffff-2020-03,1
8483045ffffffff-2021-09,1
848304dffffffff-2017-09,1
848304dffffffff-2022-09,3
8483361ffffffff-2021-12,1
84966cdffffffff-2023-04,2
849745bffffffff-2021-12,1
849746bffffffff-2021-11,3
8497513ffffffff-2017-08,2
8497513ffffffff-2023-03,1
84975ebffffffff-2015-09,2
8497649ffffffff-2022-08,1
8497649ffffffff-2022-10,2
8497661ffffffff-2023-09,3
849766bffffffff-2023-09,1
8497685ffffffff-2022-09,1
84976adffffffff-2023-07,1
84976e5ffffffff-2022-01,1
849773bffffffff-2017-03,1
8497751ffffffff-2013-11,2
8497751ffffffff-2023-09,1
84ac805ffffffff-2022-11,1
84ac80bffffffff-2013-06,1
84ac81bffffffff-2022-11,7
84ac829ffffffff-2015-07,1
84ac85dffffffff-2023-04,1
84ac867ffffffff-2018-07,1
84aca4bffffffff-2016-09,1
84aca4bffffffff-2016-10,2
84aca4bffffffff-2017-03,2
84aca4bffffffff-2017-10,1
84aca4bffffffff-2018-02,1
84aca4bffffffff-2019-11,3
84aca4bffffffff-2021-11,10
84aca61ffffffff-2012-08,1
84aca61ffffffff-2013-08,2
84aca61ffffffff-2014-11,1
84aca61ffffffff-2016-11,2
84aca61ffffffff-2017-07,1
84aca61ffffffff-2017-08,3
84aca61ffffffff-2017-10,1
84aca61ffffffff-2018-03,2
84aca61ffffffff-2018-06,1
84aca61ffffffff-2018-12,1
84aca61ffffffff-2019-09,2
84aca61ffffffff-2019-10,1
84aca61ffffffff-2021-07,1
84aca61ffffffff-2021-08,3
84aca61ffffffff-2021-12,10
84aca61ffffffff-2022-07,2
84aca61ffffffff-2022-08,1
84aca61ffffffff-2023-05,1
84aca61ffffffff-2023-08,7
84aca61ffffffff-2023-11,1
84aca6bffffffff-2013-05,2
84aca6bffffffff-2015-04,1
84aca6bffffffff-2015-11,1
84aca6bffffffff-2016-03,1
84aca6bffffffff-2016-10,1
84aca6bffffffff-2017-02,1
84aca6bffffffff-2017-07,1
84aca6bffffffff-2017-10,1
84aca6bffffffff-2018-02,1
84aca6bffffffff-2019-07,1
84aca6bffffffff-2020-06,1
84aca6bffffffff-2021-05,1
84aca6bffffffff-2021-07,3
84aca6bffffffff-2022-09,1
84aca6bffffffff-2022-10,2
84aca6bffffffff-2023-06,1
84aca6bffffffff-2023-11,3
84acab5ffffffff-2015-04,1
84acb1bffffffff-2016-01,2
84acb1bffffffff-2017-02,1
84acb1bffffffff-2018-07,1
84ad909ffffffff-2022-06,1
84ad927ffffffff-2019-10,1
84adb43ffffffff-2016-10,1
84adb45ffffffff-2022-03,2
84adb45ffffffff-2022-05,6
84adb61ffffffff-2016-08,1
84bc091ffffffff-2022-07,1
84bcc05ffffffff-2021-04,1
84bcc05ffffffff-2021-05,2
84bcc05ffffffff-2023-06,1
84bcc07ffffffff-2014-06,1
84bcc07ffffffff-2015-06,1
84bcc07ffffffff-2016-07,1
84bcc07ffffffff-2019-04,1
84bcc07ffffffff-2020-09,1
84bcc07ffffffff-2023-07,1
84bcc0bffffffff-2023-01,1
84bcc0bffffffff-2023-07,5
84bcc0bffffffff-2023-09,8
84bcc13ffffffff-2022-02,3
84bcc15ffffffff-2014-10,2
84bcc15ffffffff-2021-04,1
84bcc17ffffffff-2018-10,1
84bcc17ffffffff-2018-11,3
84bcc17ffffffff-2019-01,1
84bcc17ffffffff-2020-05,1
84bcc17ffffffff-2020-10,1
84bcc19ffffffff-2018-05,1
84bcc21ffffffff-2014-04,1
84bcc21ffffffff-2014-09,1
84bcc21ffffffff-2016-10,1
84bcc21ffffffff-2018-05,1
84bcc21ffffffff-2018-06,1
84bcc21ffffffff-2018-07,1
84bcc21ffffffff-2019-02,1
84bcc21ffffffff-2019-05,1
84bcc21ffffffff-2019-06,3
84bcc21ffffffff-2019-08,1
84bcc21ffffffff-2019-09,3
84bcc21ffffffff-2019-10,1
84bcc21ffffffff-2020-01,1
84bcc21ffffffff-2020-07,1
84bcc21ffffffff-2021-01,1
84bcc21ffffffff-2021-05,2
84bcc21ffffffff-2021-07,2
84bcc21ffffffff-2022-05,1
84bcc21ffffffff-2022-11,3
84bcc21ffffffff-2023-01,1
84bcc21ffffffff-2023-04,1
84bcc21ffffffff-2023-07,6
84bcc23ffffffff-2022-11,3
84bcc25ffffffff-2020-11,1
84bcc27ffffffff-2017-01,1
84bcc29ffffffff-2015-11,2
84bcc29ffffffff-2020-08,1
84bcc29ffffffff-2020-09,2
84bcc29ffffffff-2021-04,4
84bcc29ffffffff-2021-05,3
84bcc29ffffffff-2021-06,2
84bcc29ffffffff-2021-07,6
84bcc29ffffffff-2021-09,2
84bcc29ffffffff-2021-10,2
84bcc29ffffffff-2021-11,2
84bcc29ffffffff-2022-05,2
84bcc29ffffffff-2022-09,1
84bcc29ffffffff-2022-12,1
84bcc29ffffffff-2023-02,1
84bcc29ffffffff-2023-03,1
84bcc29ffffffff-2023-05,1
84bcc29ffffffff-2023-06,1
84bcc29ffffffff-2023-07,1
84bcc29ffffffff-2023-10,1
84bcc2bffffffff-2014-09,1
84bcc2bffffffff-2016-10,1
84bcc2bffffffff-2018-12,1
84bcc2bffffffff-2019-06,1
84bcc2bffffffff-2020-06,1
84bcc2bffffffff-2020-11,2
84bcc2bffffffff-2021-11,1
84bcc2bffffffff-2022-02,2
84bcc2bffffffff-2022-10,1
84bcc2bffffffff-2023-01,1
84bcc2bffffffff-2023-03,2
84bcc2bffffffff-2023-04,3
84bcc2bffffffff-2023-08,2
84bcc2bffffffff-2023-11,1
