index,n
847b4b1ffffffff-2018-08,1
847b4d1ffffffff-2015-11,2
847b4d1ffffffff-2023-09,1
847b4d3ffffffff-2015-11,4
847b4d5ffffffff-2022-08,2
847b4d5ffffffff-2023-10,2
847b4dbffffffff-2022-05,1
8483125ffffffff-2016-09,1
8483125ffffffff-2017-09,1
8483125ffffffff-2021-08,1
8483125ffffffff-2022-05,1
8483125ffffffff-2022-06,4
8483125ffffffff-2022-08,3
8483125ffffffff-2022-09,1
8483125ffffffff-2023-06,1
8483125ffffffff-2023-08,5
8483139ffffffff-2023-06,1
848313dffffffff-2022-06,1
848313dffffffff-2023-06,1
8483335ffffffff-2023-08,1
8483337ffffffff-2022-08,3
8483337ffffffff-2022-10,1
848333dffffffff-2017-09,1
848333dffffffff-2018-02,1
848333dffffffff-2022-08,3
848333dffffffff-2023-10,2
8483361ffffffff-2021-12,1
8483a8dffffffff-2018-09,1
8496009ffffffff-2016-03,3
8496009ffffffff-2019-05,2
8496009ffffffff-2020-03,1
8496009ffffffff-2020-10,2
8496009ffffffff-2021-11,2
8496009ffffffff-2023-06,1
8496009ffffffff-2023-09,3
849600bffffffff-2015-05,1
849600bffffffff-2022-10,1
8496015ffffffff-2021-05,2
8496015ffffffff-2021-11,1
8496015ffffffff-2023-08,1
8496015ffffffff-2023-09,1
8496015ffffffff-2023-10,2
8496015ffffffff-2023-11,1
8496019ffffffff-2015-07,1
8496019ffffffff-2023-06,1
849601dffffffff-2016-03,1
849602dffffffff-2015-05,2
849602dffffffff-2020-02,2
849602dffffffff-2020-05,1
849602dffffffff-2022-12,2
849602dffffffff-2023-04,2
849602dffffffff-2023-09,2
8496039ffffffff-2014-03,1
8496039ffffffff-2014-07,2
8496039ffffffff-2014-08,2
8496039ffffffff-2014-09,1
8496039ffffffff-2014-10,8
8496039ffffffff-2014-11,3
8496039ffffffff-2014-12,2
8496039ffffffff-2015-01,6
8496039ffffffff-2015-02,3
849603bffffffff-2022-07,1
849603bffffffff-2022-12,1
849603bffffffff-2023-10,2
8496047ffffffff-2019-05,2
8496047ffffffff-2021-11,2
8496047ffffffff-2021-12,3
8496051ffffffff-2019-05,1
8496051ffffffff-2022-07,1
8496051ffffffff-2022-10,2
8496089ffffffff-2018-08,1
849608dffffffff-2023-09,1
8496093ffffffff-2022-09,1
8496093ffffffff-2022-10,2
8496095ffffffff-2023-10,3
8496097ffffffff-2022-09,3
849609dffffffff-2022-03,2
849609dffffffff-2022-07,3
849609dffffffff-2022-10,1
849609dffffffff-2023-07,2
849609dffffffff-2023-10,2
84960a3ffffffff-2016-07,3
84960a3ffffffff-2017-01,1
84960adffffffff-2016-02,1
84960b5ffffffff-2016-07,2
84960d3ffffffff-2020-08,1
84960d3ffffffff-2021-08,1
84960e9ffffffff-2021-12,3
84960edffffffff-2019-07,2
84960edffffffff-2021-05,1
84960edffffffff-2022-10,1
8496145ffffffff-2022-09,1
8496149ffffffff-2023-09,1
849615bffffffff-2022-11,1
849615bffffffff-2023-03,1
849615dffffffff-2019-02,1
849615dffffffff-2021-04,1
849615dffffffff-2021-10,2
849615dffffffff-2021-12,3
849615dffffffff-2022-10,2
849615dffffffff-2022-12,2
849615dffffffff-2023-02,2
849615dffffffff-2023-09,2
84961dbffffffff-2021-05,6
84961dbffffffff-2022-08,2
8496207ffffffff-2017-09,1
8496233ffffffff-2021-02,1
8496233ffffffff-2023-03,1
8496239ffffffff-2022-05,1
849623bffffffff-2018-11,3
849623bffffffff-2019-12,2
849623bffffffff-2021-03,1
849623bffffffff-2021-05,1
849623bffffffff-2021-08,1
849623bffffffff-2021-11,2
849623bffffffff-2022-01,2
849623bffffffff-2022-09,1
849623bffffffff-2022-10,5
849623bffffffff-2023-02,2
849623bffffffff-2023-03,1
849623bffffffff-2023-05,3
849623bffffffff-2023-06,1
849623bffffffff-2023-11,2
8496283ffffffff-2015-08,1
8496283ffffffff-2018-08,1
8496283ffffffff-2022-12,1
8496285ffffffff-2020-11,1
8496285ffffffff-2021-10,1
8496287ffffffff-2018-08,1
8496287ffffffff-2021-07,1
849628bffffffff-2023-06,2
84962a5ffffffff-2022-10,1
84962abffffffff-2019-08,1
84962abffffffff-2020-10,4
84962abffffffff-2020-11,1
84962abffffffff-2021-07,1
84962abffffffff-2021-08,2
84962abffffffff-2021-10,1
84962abffffffff-2022-05,1
84962abffffffff-2022-08,2
84962abffffffff-2022-09,1
84962abffffffff-2023-04,1
84962abffffffff-2023-05,1
84962abffffffff-2023-06,2
84962abffffffff-2023-08,1
84962abffffffff-2023-11,2
84962b5ffffffff-2023-09,2
84962b9ffffffff-2022-08,4
84962b9ffffffff-2023-06,3
84962b9ffffffff-2023-08,1
84962e5ffffffff-2018-03,1
84962e5ffffffff-2021-11,2
84962e5ffffffff-2023-02,1
84962e5ffffffff-2023-05,1
84962e5ffffffff-2023-08,1
8496325ffffffff-2015-05,1
8496325ffffffff-2017-02,1
8496325ffffffff-2023-01,1
8496329ffffffff-2018-01,2
8496329ffffffff-2018-02,4
8496365ffffffff-2012-11,1
8496365ffffffff-2015-05,2
