index,n
840745dffffffff-2018-10,6
840745dffffffff-2020-10,3
8408361ffffffff-2021-06,1
8408889ffffffff-2014-07,1
8408997ffffffff-2020-07,1
8408997ffffffff-2020-08,1
8408d57ffffffff-2023-07,4
840991bffffffff-2021-09,2
840991bffffffff-2022-08,1
84099e9ffffffff-2016-09,1
8409a09ffffffff-2019-05,2
8409a6bffffffff-2021-06,1
840bb07ffffffff-2020-05,1
840bb0bffffffff-2019-06,1
840bb31ffffffff-2013-06,1
840bb35ffffffff-2012-06,1
840bb37ffffffff-2012-06,1
840bb45ffffffff-2019-08,1
8410815ffffffff-2022-06,1
8410895ffffffff-2023-07,1
8410989ffffffff-2023-07,1
84109c1ffffffff-2022-08,1
8410ac3ffffffff-2023-06,1
8410c27ffffffff-2021-05,1
8410c27ffffffff-2021-06,3
8410c27ffffffff-2022-05,1
8410c27ffffffff-2023-05,1
8410c27ffffffff-2023-06,1
8410d13ffffffff-2022-07,1
8410d13ffffffff-2023-05,2
8410dc1ffffffff-2019-06,1
8410dc1ffffffff-2023-05,2
8410dc1ffffffff-2023-08,1
8410dc9ffffffff-2016-06,1
8410dc9ffffffff-2018-06,2
8410dc9ffffffff-2023-05,1
8410dc9ffffffff-2023-06,3
8410dcdffffffff-2023-06,3
8410de1ffffffff-2023-05,1
8410de5ffffffff-2021-07,1
8410de9ffffffff-2020-05,1
8410f0dffffffff-2019-08,1
8410f0dffffffff-2020-06,2
8410f0dffffffff-2021-05,1
8410f0dffffffff-2021-08,1
8410f0dffffffff-2022-06,1
8410f0dffffffff-2022-07,1
8410f0dffffffff-2023-05,3
8410f0dffffffff-2023-06,1
8410f0dffffffff-2023-08,3
8410f0dffffffff-2023-09,1
84112e3ffffffff-2013-06,1
841181bffffffff-2015-05,1
84118cdffffffff-2016-06,1
84118cdffffffff-2020-06,5
84118cdffffffff-2021-05,10
84118cdffffffff-2022-06,2
84118cdffffffff-2022-07,1
84118cdffffffff-2023-06,1
84118cdffffffff-2023-07,3
84118cdffffffff-2023-08,1
8411999ffffffff-2021-06,4
8411999ffffffff-2023-07,1
8411999ffffffff-2023-08,1
84119d1ffffffff-2020-06,2
84119d3ffffffff-2020-06,3
84119d3ffffffff-2021-06,1
84119d3ffffffff-2022-06,1
84119d3ffffffff-2023-07,1
84119d3ffffffff-2023-08,1
8415927ffffffff-2012-06,2
8415927ffffffff-2012-07,1
8415927ffffffff-2019-07,1
8415927ffffffff-2023-05,4
8415927ffffffff-2023-09,1
8415929ffffffff-2019-08,1
8415929ffffffff-2022-05,1
8415929ffffffff-2023-05,1
8415929ffffffff-2023-08,3
8418281ffffffff-2023-09,3
8418461ffffffff-2012-09,2
8418495ffffffff-2015-09,3
841870dffffffff-2020-09,1
8418729ffffffff-2023-10,1
841873bffffffff-2014-09,1
8419269ffffffff-2020-10,1
84192cbffffffff-2022-09,1
84194ddffffffff-2018-10,2
8419507ffffffff-2021-09,1
