index,n
8473195ffffffff-2013-08,2
8473195ffffffff-2015-08,1
8473195ffffffff-2018-08,2
8473195ffffffff-2018-10,2
8473195ffffffff-2019-01,4
8473195ffffffff-2019-04,1
8473195ffffffff-2020-10,1
8473195ffffffff-2022-07,1
8473195ffffffff-2022-10,3
8473195ffffffff-2023-10,3
84731b1ffffffff-2012-03,3
84731b1ffffffff-2012-04,2
84731b1ffffffff-2012-05,1
84731b1ffffffff-2012-07,1
84731b1ffffffff-2012-10,2
84731b1ffffffff-2013-06,2
84731b1ffffffff-2014-01,2
84731b1ffffffff-2014-07,1
84731b1ffffffff-2015-02,2
84731b1ffffffff-2015-09,1
84731b1ffffffff-2017-05,4
84731b1ffffffff-2017-08,1
84731b1ffffffff-2017-10,1
84731b1ffffffff-2017-11,21
84731b1ffffffff-2017-12,20
84731b1ffffffff-2018-01,25
84731b1ffffffff-2018-02,27
84731b1ffffffff-2018-03,13
84731b1ffffffff-2018-04,10
84731b1ffffffff-2018-05,12
84731b1ffffffff-2018-06,17
84731b1ffffffff-2018-07,24
84731b1ffffffff-2018-08,23
84731b1ffffffff-2018-09,64
84731b1ffffffff-2018-10,9
84731b1ffffffff-2018-11,18
84731b1ffffffff-2018-12,8
84731b1ffffffff-2019-01,23
84731b1ffffffff-2019-02,39
84731b1ffffffff-2019-03,18
84731b1ffffffff-2019-04,5
84731b1ffffffff-2019-05,16
84731b1ffffffff-2019-06,2
84731b1ffffffff-2019-07,8
84731b1ffffffff-2019-08,6
84731b1ffffffff-2019-10,2
84731b1ffffffff-2019-11,8
84731b1ffffffff-2019-12,8
84731b1ffffffff-2020-01,4
84731b1ffffffff-2020-02,12
84731b1ffffffff-2020-03,6
84731b1ffffffff-2020-04,10
84731b1ffffffff-2020-05,2
84731b1ffffffff-2020-07,6
84731b1ffffffff-2020-08,4
84731b1ffffffff-2020-09,4
84731b1ffffffff-2020-11,2
84731b1ffffffff-2020-12,6
84731b1ffffffff-2021-01,6
84731b1ffffffff-2021-02,10
84731b1ffffffff-2021-04,6
84731b1ffffffff-2021-05,4
84731b1ffffffff-2021-07,3
84731b1ffffffff-2021-10,2
84731b1ffffffff-2022-01,10
84731b1ffffffff-2022-02,5
84731b1ffffffff-2022-05,3
84731b1ffffffff-2022-07,3
84731b1ffffffff-2022-08,11
84731b1ffffffff-2022-09,23
84731b1ffffffff-2022-10,2
84731b1ffffffff-2022-11,10
84731b1ffffffff-2022-12,9
84731b1ffffffff-2023-01,1
84731b1ffffffff-2023-02,6
84731b1ffffffff-2023-03,13
84731b1ffffffff-2023-04,6
84731b1ffffffff-2023-05,1
84731b1ffffffff-2023-06,2
84731b1ffffffff-2023-07,4
84731b1ffffffff-2023-08,10
84731b1ffffffff-2023-09,4
84731b1ffffffff-2023-10,4
84731b9ffffffff-2012-01,3
84731b9ffffffff-2012-03,7
84731b9ffffffff-2012-04,6
84731b9ffffffff-2012-05,1
84731b9ffffffff-2012-06,2
84731b9ffffffff-2012-08,2
84731b9ffffffff-2012-09,2
84731b9ffffffff-2012-10,1
84731b9ffffffff-2012-11,2
84731b9ffffffff-2012-12,1
84731b9ffffffff-2013-01,3
84731b9ffffffff-2013-02,2
84731b9ffffffff-2013-03,1
84731b9ffffffff-2013-04,1
84731b9ffffffff-2013-05,2
84731b9ffffffff-2013-06,3
84731b9ffffffff-2013-07,3
84731b9ffffffff-2013-09,8
84731b9ffffffff-2013-10,4
84731b9ffffffff-2013-11,3
84731b9ffffffff-2013-12,1
84731b9ffffffff-2014-01,4
84731b9ffffffff-2014-02,1
84731b9ffffffff-2014-03,8
84731b9ffffffff-2014-04,10
84731b9ffffffff-2014-05,3
84731b9ffffffff-2014-06,10
84731b9ffffffff-2014-07,17
84731b9ffffffff-2014-08,7
84731b9ffffffff-2014-09,9
84731b9ffffffff-2014-10,12
84731b9ffffffff-2014-11,10
84731b9ffffffff-2014-12,9
84731b9ffffffff-2015-01,7
84731b9ffffffff-2015-02,24
84731b9ffffffff-2015-03,9
84731b9ffffffff-2015-04,10
84731b9ffffffff-2015-05,12
84731b9ffffffff-2015-06,15
84731b9ffffffff-2015-07,21
84731b9ffffffff-2015-08,16
84731b9ffffffff-2015-09,15
84731b9ffffffff-2015-10,15
84731b9ffffffff-2015-11,14
84731b9ffffffff-2015-12,10
84731b9ffffffff-2016-01,18
84731b9ffffffff-2016-02,19
84731b9ffffffff-2016-03,7
84731b9ffffffff-2016-04,13
84731b9ffffffff-2016-05,16
84731b9ffffffff-2016-06,9
84731b9ffffffff-2016-07,6
84731b9ffffffff-2016-08,17
84731b9ffffffff-2016-09,1
84731b9ffffffff-2016-10,1
84731b9ffffffff-2016-11,5
84731b9ffffffff-2016-12,7
84731b9ffffffff-2017-01,11
84731b9ffffffff-2017-02,15
84731b9ffffffff-2017-03,7
84731b9ffffffff-2017-04,13
84731b9ffffffff-2017-05,12
84731b9ffffffff-2017-06,7
84731b9ffffffff-2017-07,11
84731b9ffffffff-2017-08,29
84731b9ffffffff-2017-09,13
84731b9ffffffff-2017-10,5
84731b9ffffffff-2017-11,6
84731b9ffffffff-2017-12,24
84731b9ffffffff-2018-01,62
84731b9ffffffff-2018-02,46
84731b9ffffffff-2018-03,66
84731b9ffffffff-2018-04,39
84731b9ffffffff-2018-05,42
84731b9ffffffff-2018-06,33
84731b9ffffffff-2018-07,22
84731b9ffffffff-2018-08,38
84731b9ffffffff-2018-09,36
84731b9ffffffff-2018-10,22
84731b9ffffffff-2018-11,31
84731b9ffffffff-2018-12,29
84731b9ffffffff-2019-01,34
84731b9ffffffff-2019-02,16
84731b9ffffffff-2019-03,21
84731b9ffffffff-2019-04,25
84731b9ffffffff-2019-05,30
84731b9ffffffff-2019-06,20
84731b9ffffffff-2019-07,4
84731b9ffffffff-2019-08,18
84731b9ffffffff-2019-09,17
84731b9ffffffff-2019-10,35
84731b9ffffffff-2019-11,15
84731b9ffffffff-2019-12,6
84731b9ffffffff-2020-01,31
84731b9ffffffff-2020-02,16
84731b9ffffffff-2020-03,32
84731b9ffffffff-2020-04,29
84731b9ffffffff-2020-05,40
84731b9ffffffff-2020-06,27
