index,n
8468051ffffffff-2012-12,1
846805bffffffff-2023-05,1
8468281ffffffff-2012-02,2
8468281ffffffff-2013-12,1
8468281ffffffff-2014-02,5
8468281ffffffff-2014-03,1
8468281ffffffff-2014-06,2
8468281ffffffff-2014-12,1
8468281ffffffff-2015-01,1
8468281ffffffff-2015-02,8
8468281ffffffff-2015-03,2
8468281ffffffff-2015-04,3
8468281ffffffff-2016-01,1
8468281ffffffff-2016-02,2
8468281ffffffff-2016-03,2
8468281ffffffff-2016-04,3
8468281ffffffff-2016-05,4
8468281ffffffff-2016-11,1
8468281ffffffff-2017-02,5
8468281ffffffff-2017-03,4
8468281ffffffff-2017-12,1
8468281ffffffff-2018-03,1
8468281ffffffff-2018-04,3
8468281ffffffff-2018-05,3
8468281ffffffff-2018-07,2
8468281ffffffff-2019-01,1
8468281ffffffff-2019-02,6
8468281ffffffff-2019-03,7
8468281ffffffff-2019-04,3
8468281ffffffff-2019-05,5
8468281ffffffff-2019-07,2
8468281ffffffff-2019-09,1
8468281ffffffff-2019-10,2
8468281ffffffff-2020-01,3
8468281ffffffff-2020-02,2
8468281ffffffff-2020-03,8
8468281ffffffff-2022-03,1
8468281ffffffff-2022-11,3
8468281ffffffff-2023-02,1
8468281ffffffff-2023-04,1
8468281ffffffff-2023-05,2
8468285ffffffff-2014-03,1
8468285ffffffff-2016-03,1
8468285ffffffff-2017-11,4
8468285ffffffff-2018-01,2
8468285ffffffff-2018-02,2
8468285ffffffff-2018-05,6
8468285ffffffff-2018-07,4
8468285ffffffff-2019-10,5
8468285ffffffff-2019-11,3
8468285ffffffff-2020-02,1
8468285ffffffff-2022-09,1
8468285ffffffff-2022-10,3
8468285ffffffff-2022-12,6
8468285ffffffff-2023-01,4
8468285ffffffff-2023-02,3
8468285ffffffff-2023-03,17
8468285ffffffff-2023-04,5
8468285ffffffff-2023-05,3
8468285ffffffff-2023-10,4
8468285ffffffff-2023-11,4
846828bffffffff-2019-05,1
84682a9ffffffff-2016-05,4
84682a9ffffffff-2017-09,2
84682a9ffffffff-2020-03,1
84682a9ffffffff-2023-03,1
84682a9ffffffff-2023-05,2
