index,n
84b2c81ffffffff-2014-02,3
84b2c81ffffffff-2017-02,1
84b2c81ffffffff-2021-01,2
84b2c81ffffffff-2023-02,4
84b2c81ffffffff-2023-07,2
84b2c81ffffffff-2023-10,1
84b2c81ffffffff-2023-11,2
84b2c89ffffffff-2014-11,1
84b2c8bffffffff-2014-02,3
84b2c8bffffffff-2019-02,1
84b2c8bffffffff-2023-02,2
84b2c8bffffffff-2023-10,1
84b2c8dffffffff-2017-02,1
84b2c8dffffffff-2017-05,4
84b2c8dffffffff-2019-11,1
84b2c8dffffffff-2019-12,1
84b2c8dffffffff-2020-12,1
84b2c8dffffffff-2021-12,1
84b2c8dffffffff-2022-08,4
84b2c8dffffffff-2022-10,4
84b2c8dffffffff-2022-11,2
84b2c8dffffffff-2023-02,8
84b2c8dffffffff-2023-03,4
84b2c8dffffffff-2023-05,2
84b2c8dffffffff-2023-08,1
84b2c8dffffffff-2023-10,2
84b2c8dffffffff-2023-11,12
84b2ca7ffffffff-2018-02,1
84b2cb7ffffffff-2021-02,1
84b2cd5ffffffff-2023-05,3
84b2cddffffffff-2022-07,2
84b2cddffffffff-2023-06,4
84b2e99ffffffff-2022-04,1
84b2e99ffffffff-2022-05,3
84b2e99ffffffff-2022-06,2
84b2e99ffffffff-2022-08,4
84b2e99ffffffff-2023-06,2
84b2e99ffffffff-2023-08,3
84b2eb7ffffffff-2019-02,1
84b2eb7ffffffff-2022-02,1
84b2eb7ffffffff-2022-05,2
84b2eb7ffffffff-2022-07,1
84b2ee1ffffffff-2018-03,1
84b2eebffffffff-2019-08,1
84c3053ffffffff-2014-10,2
84c3053ffffffff-2022-11,10
84c3053ffffffff-2023-11,8
84c3083ffffffff-2019-10,3
84c308bffffffff-2017-05,1
84c308bffffffff-2021-04,1
84c309bffffffff-2020-10,1
84c309bffffffff-2022-03,1
84c30c3ffffffff-2018-03,1
84c30d1ffffffff-2020-12,1
84c3201ffffffff-2017-05,2
84c3201ffffffff-2017-10,3
84c3203ffffffff-2016-01,3
84c3203ffffffff-2023-01,4
84c320dffffffff-2016-01,1
84c320dffffffff-2018-12,2
84c320dffffffff-2022-01,1
84c320dffffffff-2022-10,2
84c320dffffffff-2022-12,1
84c320dffffffff-2023-01,7
84c3215ffffffff-2014-11,4
84c3215ffffffff-2018-11,4
84c3215ffffffff-2022-11,7
84c3217ffffffff-2017-01,4
84c3217ffffffff-2021-07,1
84c3217ffffffff-2023-01,7
84c3217ffffffff-2023-02,1
84c3239ffffffff-2016-01,3
84c3239ffffffff-2017-01,1
84c3239ffffffff-2018-01,7
84c3239ffffffff-2019-11,3
84c3239ffffffff-2020-03,1
84c3239ffffffff-2021-01,1
84c3239ffffffff-2021-03,3
84c3239ffffffff-2022-01,1
84c3239ffffffff-2023-02,1
84c3239ffffffff-2023-10,1
84c323bffffffff-2022-02,1
84c323bffffffff-2023-03,2
84c3241ffffffff-2015-01,2
84c3241ffffffff-2017-02,1
84c3241ffffffff-2017-08,2
84c3241ffffffff-2017-10,3
84c3241ffffffff-2018-11,1
84c3241ffffffff-2019-01,1
84c3241ffffffff-2022-01,2
84c3241ffffffff-2022-02,2
84c3241ffffffff-2022-12,1
84c3241ffffffff-2023-01,18
84c3241ffffffff-2023-03,2
84c3241ffffffff-2023-07,1
84c3243ffffffff-2017-05,4
84c3243ffffffff-2017-08,6
84c3243ffffffff-2017-10,12
84c3243ffffffff-2018-02,36
84c3243ffffffff-2018-05,22
84c3243ffffffff-2018-08,5
84c3243ffffffff-2018-10,1
84c3243ffffffff-2019-02,18
84c3243ffffffff-2022-10,1
84c3247ffffffff-2018-02,1
84c3247ffffffff-2022-04,1
84c3247ffffffff-2022-05,1
84c3247ffffffff-2022-11,1
84c3247ffffffff-2023-04,1
84c3247ffffffff-2023-09,1
84c3247ffffffff-2023-10,1
84c3255ffffffff-2017-05,4
84c3255ffffffff-2017-10,9
84c3255ffffffff-2018-02,27
84c3255ffffffff-2018-05,4
84c3255ffffffff-2018-08,7
84c3255ffffffff-2018-10,4
84c3255ffffffff-2019-02,6
84c3283ffffffff-2022-11,1
84c3287ffffffff-2017-11,1
84c3287ffffffff-2019-01,1
84c3287ffffffff-2023-03,1
84c328dffffffff-2022-12,1
84c3291ffffffff-2016-02,1
84c3297ffffffff-2014-03,1
84c3297ffffffff-2015-01,2
84c3297ffffffff-2016-01,7
84c3297ffffffff-2017-01,1
84c3297ffffffff-2017-04,2
84c3297ffffffff-2017-11,2
84c3297ffffffff-2018-01,3
84c3297ffffffff-2018-02,1
84c3297ffffffff-2018-03,3
