index,n
8466415ffffffff-2016-07,3
8466415ffffffff-2017-05,3
8466415ffffffff-2019-01,1
846641dffffffff-2016-11,1
846641dffffffff-2019-02,1
846641dffffffff-2019-03,2
84665a3ffffffff-2015-10,1
84665abffffffff-2012-10,2
84665abffffffff-2014-04,1
84665abffffffff-2015-03,1
84665abffffffff-2015-11,3
84665abffffffff-2016-08,1
84665abffffffff-2018-01,1
84665abffffffff-2018-05,1
84665abffffffff-2019-01,3
84665abffffffff-2020-02,10
84665abffffffff-2021-12,1
84665abffffffff-2022-01,7
84665abffffffff-2022-03,1
84665abffffffff-2022-04,2
84665abffffffff-2023-01,3
84665abffffffff-2023-03,2
84665abffffffff-2023-05,1
84665bdffffffff-2012-03,1
84665bdffffffff-2014-02,1
84665bdffffffff-2014-04,1
84665bdffffffff-2015-01,3
84665bdffffffff-2015-10,1
84665bdffffffff-2015-11,2
84665bdffffffff-2016-03,4
84665bdffffffff-2017-05,1
84665bdffffffff-2017-07,1
84665bdffffffff-2017-10,1
84665bdffffffff-2018-08,2
84665bdffffffff-2018-11,3
84665bdffffffff-2019-01,1
84665bdffffffff-2019-02,6
84665bdffffffff-2019-03,14
84665bdffffffff-2019-10,1
84665bdffffffff-2020-01,3
84665bdffffffff-2020-11,1
84665bdffffffff-2021-02,4
84665bdffffffff-2021-08,1
84665bdffffffff-2021-11,2
84665bdffffffff-2021-12,2
84665bdffffffff-2022-01,8
84665bdffffffff-2022-03,3
84665bdffffffff-2022-04,11
84665bdffffffff-2022-05,3
84665bdffffffff-2022-08,3
84665bdffffffff-2022-11,3
84665bdffffffff-2022-12,3
84665bdffffffff-2023-01,10
84665bdffffffff-2023-02,7
84665bdffffffff-2023-03,8
84665bdffffffff-2023-05,2
84665bdffffffff-2023-07,1
84665bdffffffff-2023-10,2
84665bdffffffff-2023-11,1
8466c15ffffffff-2023-06,1
8466c23ffffffff-2018-06,6
8466c37ffffffff-2020-07,1
8466c87ffffffff-2012-10,1
8466c95ffffffff-2015-03,2
8466c95ffffffff-2017-02,4
8466c95ffffffff-2022-04,3
8466cb9ffffffff-2012-10,1
8466cb9ffffffff-2019-05,1
8466cbbffffffff-2012-10,1
8466cc5ffffffff-2018-04,2
8466cdbffffffff-2019-08,5
8466ce5ffffffff-2013-07,2
8466ce9ffffffff-2018-10,2
8466ce9ffffffff-2019-09,5
8466ce9ffffffff-2020-01,1
8466ce9ffffffff-2021-04,1
8466ce9ffffffff-2022-01,2
8466ce9ffffffff-2022-05,1
8466d81ffffffff-2012-12,3
8466d81ffffffff-2013-04,2
8466d81ffffffff-2014-03,1
8466d81ffffffff-2014-07,4
8466d81ffffffff-2014-09,1
8466d81ffffffff-2015-01,1
8466d81ffffffff-2015-03,2
8466d81ffffffff-2015-11,2
8466d81ffffffff-2016-01,1
8466d81ffffffff-2016-05,1
8466d81ffffffff-2016-07,1
8466d81ffffffff-2016-09,1
8466d81ffffffff-2017-02,1
8466d81ffffffff-2018-06,2
8466d81ffffffff-2019-01,1
8466d81ffffffff-2019-08,3
8466d81ffffffff-2019-09,5
8466d81ffffffff-2019-11,2
8466d81ffffffff-2021-12,1
8466d81ffffffff-2022-02,1
8466d81ffffffff-2022-08,1
8466d89ffffffff-2019-02,2
8466dc3ffffffff-2015-08,1
8466dc3ffffffff-2019-07,1
8466dc3ffffffff-2020-11,1
8466dc3ffffffff-2021-02,2
8466dc3ffffffff-2021-03,4
8466dc3ffffffff-2021-07,1
8466dc3ffffffff-2021-08,1
8466dc3ffffffff-2021-09,2
8466dc3ffffffff-2022-05,3
8466dc3ffffffff-2022-07,1
8466dc3ffffffff-2022-11,1
8466dc3ffffffff-2023-10,1
8466dc3ffffffff-2023-11,1
8466dc7ffffffff-2019-10,1
8466dcbffffffff-2017-09,1
8466dcbffffffff-2020-02,2
8466dcbffffffff-2020-12,4
8466dcbffffffff-2021-05,1
8466dcbffffffff-2021-08,2
8466dcbffffffff-2021-12,1
8466dd5ffffffff-2017-12,1
8466dd9ffffffff-2021-08,2
8466dddffffffff-2017-09,2
8466dddffffffff-2021-11,1
8466de3ffffffff-2018-01,1
8466de3ffffffff-2018-03,1
8466de3ffffffff-2022-09,1
8466de3ffffffff-2023-04,1
8466debffffffff-2022-04,1
8466eadffffffff-2018-11,1
8466eadffffffff-2018-12,1
8466ee5ffffffff-2017-12,1
8466ee5ffffffff-2019-03,5
8466ee5ffffffff-2022-11,2
848a069ffffffff-2017-06,1
848a069ffffffff-2017-10,1
848a069ffffffff-2022-03,1
848a109ffffffff-2021-05,2
848a109ffffffff-2021-09,7
848a109ffffffff-2022-09,1
848a109ffffffff-2023-08,4
848a11bffffffff-2022-06,1
848a155ffffffff-2023-05,2
848a155ffffffff-2023-09,3
848a157ffffffff-2023-05,5
848a1a7ffffffff-2015-07,1
848a1a7ffffffff-2015-10,2
848a1a7ffffffff-2016-06,1
848a1a7ffffffff-2016-07,2
848a1a7ffffffff-2017-08,2
848a1a7ffffffff-2017-09,3
848a1cdffffffff-2022-06,1
848a23bffffffff-2022-04,1
848a249ffffffff-2020-10,1
848a2cdffffffff-2015-08,1
848a2cdffffffff-2016-05,1
848a313ffffffff-2022-06,1
848a317ffffffff-2017-09,2
848a317ffffffff-2018-07,3
848a317ffffffff-2019-06,2
848a317ffffffff-2021-07,6
848a317ffffffff-2021-11,2
848a317ffffffff-2022-03,1
848a317ffffffff-2022-06,1
848a317ffffffff-2022-07,6
