index,n
844524dffffffff-2021-08,2
8445261ffffffff-2020-01,1
8445269ffffffff-2019-09,7
8445269ffffffff-2022-03,2
8445269ffffffff-2022-08,1
8445269ffffffff-2023-03,27
8445269ffffffff-2023-04,15
8445269ffffffff-2023-05,5
8445269ffffffff-2023-09,4
8445269ffffffff-2023-10,1
845f03dffffffff-2017-11,1
845f083ffffffff-2016-08,1
845f083ffffffff-2018-01,2
845f083ffffffff-2020-01,1
845f083ffffffff-2022-09,2
845f083ffffffff-2023-01,1
845f083ffffffff-2023-11,1
845f087ffffffff-2012-10,1
845f087ffffffff-2023-09,1
845f089ffffffff-2020-02,1
845f08bffffffff-2020-10,1
845f08bffffffff-2020-11,1
845f08bffffffff-2020-12,2
845f091ffffffff-2021-08,1
845f095ffffffff-2013-11,1
845f095ffffffff-2014-05,1
845f095ffffffff-2015-02,3
845f095ffffffff-2015-07,3
845f095ffffffff-2015-11,2
845f095ffffffff-2016-01,5
845f095ffffffff-2016-04,1
845f095ffffffff-2017-02,1
845f095ffffffff-2017-03,1
845f095ffffffff-2017-10,2
845f095ffffffff-2017-12,1
845f095ffffffff-2018-01,3
845f095ffffffff-2018-02,2
845f095ffffffff-2018-03,6
845f095ffffffff-2018-10,1
845f095ffffffff-2018-12,1
845f095ffffffff-2019-01,6
845f095ffffffff-2019-02,5
845f095ffffffff-2019-03,4
845f095ffffffff-2019-04,3
845f095ffffffff-2019-05,2
845f095ffffffff-2019-09,1
845f095ffffffff-2019-12,5
845f095ffffffff-2020-05,2
845f095ffffffff-2020-08,1
845f095ffffffff-2020-10,1
845f095ffffffff-2020-11,2
845f095ffffffff-2021-05,4
845f095ffffffff-2021-11,1
845f095ffffffff-2021-12,4
845f095ffffffff-2022-02,2
845f095ffffffff-2022-05,5
845f095ffffffff-2022-09,2
845f095ffffffff-2022-10,2
845f095ffffffff-2022-11,1
845f095ffffffff-2022-12,1
845f095ffffffff-2023-02,1
845f095ffffffff-2023-03,2
845f095ffffffff-2023-08,3
845f095ffffffff-2023-09,1
845f095ffffffff-2023-10,1
845f09dffffffff-2017-11,3
845f09dffffffff-2018-03,1
845f09dffffffff-2018-05,1
845f09dffffffff-2019-11,1
845f09dffffffff-2022-12,5
845f09dffffffff-2023-08,1
845f0b9ffffffff-2018-08,1
845f0d5ffffffff-2017-09,1
845f0d7ffffffff-2014-10,1
845f0d7ffffffff-2014-11,1
845f0d7ffffffff-2015-08,1
845f0d7ffffffff-2017-03,2
845f0d7ffffffff-2017-10,2
845f0d7ffffffff-2020-05,1
845f0d7ffffffff-2022-05,2
845f0d7ffffffff-2022-07,1
845f13dffffffff-2019-05,1
845f13dffffffff-2019-06,1
845f13dffffffff-2023-10,7
845f1c3ffffffff-2023-01,1
845f1cbffffffff-2016-11,2
845f1cbffffffff-2017-07,4
