index,n
849b411ffffffff-2020-05,1
849b413ffffffff-2012-02,1
849b413ffffffff-2013-01,3
849b413ffffffff-2013-10,1
849b413ffffffff-2020-01,2
849b413ffffffff-2020-02,1
849b413ffffffff-2020-03,4
849b413ffffffff-2020-04,12
849b413ffffffff-2020-05,7
849b413ffffffff-2020-06,6
849b413ffffffff-2023-05,1
849b413ffffffff-2023-07,1
849b415ffffffff-2013-07,5
849b415ffffffff-2017-05,2
849b41bffffffff-2012-01,1
849b41bffffffff-2012-02,5
849b41bffffffff-2012-03,1
849b41bffffffff-2012-04,4
849b41bffffffff-2012-05,1
849b41bffffffff-2012-06,1
849b41bffffffff-2012-07,1
849b41bffffffff-2012-08,7
849b41bffffffff-2012-09,5
849b41bffffffff-2012-10,4
849b41bffffffff-2012-12,5
849b41bffffffff-2013-01,4
849b41bffffffff-2013-02,2
849b41bffffffff-2013-03,7
849b41bffffffff-2013-04,5
849b41bffffffff-2013-05,7
849b41bffffffff-2013-06,1
849b41bffffffff-2013-07,2
849b41bffffffff-2013-09,21
849b41bffffffff-2013-10,7
849b41bffffffff-2013-11,9
849b41bffffffff-2013-12,1
849b41bffffffff-2014-01,2
849b41bffffffff-2014-03,1
849b41bffffffff-2014-04,6
849b41bffffffff-2014-06,12
849b41bffffffff-2014-07,4
849b41bffffffff-2014-08,15
849b41bffffffff-2014-10,1
849b41bffffffff-2014-11,5
849b41bffffffff-2015-01,8
849b41bffffffff-2015-03,1
849b41bffffffff-2015-04,6
849b41bffffffff-2015-06,18
849b41bffffffff-2015-09,15
849b41bffffffff-2015-10,23
849b41bffffffff-2015-11,2
849b41bffffffff-2015-12,1
849b41bffffffff-2016-02,2
849b41bffffffff-2016-04,1
849b41bffffffff-2016-06,3
849b41bffffffff-2016-07,4
849b41bffffffff-2016-08,2
849b41bffffffff-2016-10,4
849b41bffffffff-2016-12,5
849b41bffffffff-2017-01,5
849b41bffffffff-2017-04,9
849b41bffffffff-2017-05,12
849b41bffffffff-2017-06,2
849b41bffffffff-2017-07,4
849b41bffffffff-2017-08,4
