index,n
84814a9ffffffff-2015-06,4
84814a9ffffffff-2017-05,1
84814a9ffffffff-2019-06,2
84814a9ffffffff-2022-08,3
84814a9ffffffff-2023-07,4
84814e3ffffffff-2017-08,2
84814e7ffffffff-2018-01,2
84814e7ffffffff-2018-08,2
84814e7ffffffff-2018-09,1
84814e7ffffffff-2019-06,2
84814e7ffffffff-2019-10,2
84814e7ffffffff-2022-10,3
848b405ffffffff-2021-10,1
848b407ffffffff-2022-10,2
848b407ffffffff-2023-02,1
848b40bffffffff-2017-06,1
848b40dffffffff-2018-09,3
848b40dffffffff-2021-10,5
848b40dffffffff-2021-11,4
848b40dffffffff-2022-05,2
848b40dffffffff-2022-09,3
848b40dffffffff-2022-12,1
848b40dffffffff-2023-08,3
848b40dffffffff-2023-10,3
848b41dffffffff-2022-03,1
848b429ffffffff-2022-11,1
848b447ffffffff-2019-04,2
848b449ffffffff-2022-10,4
848b44bffffffff-2012-10,1
848b44bffffffff-2014-11,1
848b44bffffffff-2015-03,1
848b44bffffffff-2015-05,6
848b44bffffffff-2015-06,1
848b44bffffffff-2015-07,2
848b44bffffffff-2016-11,1
848b44bffffffff-2016-12,1
848b44bffffffff-2017-07,12
848b44bffffffff-2017-08,6
848b44bffffffff-2017-09,4
848b44bffffffff-2018-03,1
848b44bffffffff-2018-04,1
848b44bffffffff-2018-05,4
848b44bffffffff-2018-06,10
848b44bffffffff-2018-07,18
848b44bffffffff-2018-08,9
848b44bffffffff-2018-09,1
848b44bffffffff-2019-07,2
848b44bffffffff-2019-08,1
848b44bffffffff-2019-09,3
848b44bffffffff-2021-06,2
848b44bffffffff-2021-09,1
848b44bffffffff-2022-06,6
848b44bffffffff-2022-08,3
848b44bffffffff-2022-09,6
848b44bffffffff-2022-11,2
848b44bffffffff-2023-05,1
848b44bffffffff-2023-06,1
848b44bffffffff-2023-08,5
848b44bffffffff-2023-09,2
848b44dffffffff-2015-10,1
848b44dffffffff-2016-07,1
848b44dffffffff-2017-01,1
848b44dffffffff-2017-08,4
848b44dffffffff-2017-12,1
848b44dffffffff-2018-01,4
848b44dffffffff-2018-03,2
848b44dffffffff-2018-04,4
848b44dffffffff-2018-05,2
848b44dffffffff-2018-06,1
848b44dffffffff-2018-07,1
848b44dffffffff-2018-08,5
848b44dffffffff-2018-09,1
848b44dffffffff-2018-10,1
848b44dffffffff-2018-11,1
848b44dffffffff-2018-12,1
848b44dffffffff-2019-05,2
848b44dffffffff-2019-07,1
848b44dffffffff-2019-08,1
848b44dffffffff-2019-09,4
848b44dffffffff-2019-10,3
848b44dffffffff-2020-06,5
848b44dffffffff-2020-10,6
848b44dffffffff-2021-10,1
848b44dffffffff-2022-04,2
848b44dffffffff-2022-05,3
848b44dffffffff-2022-07,3
848b44dffffffff-2022-11,2
848b44dffffffff-2023-05,5
848b44dffffffff-2023-07,2
848b44dffffffff-2023-08,11
848b44dffffffff-2023-09,2
848b459ffffffff-2013-09,1
848b459ffffffff-2017-02,1
848b459ffffffff-2020-09,1
848b463ffffffff-2019-12,1
848b4e5ffffffff-2020-09,1
848b551ffffffff-2023-06,1
848b5c3ffffffff-2016-08,1
848b5cdffffffff-2016-02,5
848b5cdffffffff-2017-06,1
848b5cdffffffff-2018-07,4
848b5cdffffffff-2018-08,2
848b5cdffffffff-2019-07,2
848b5cdffffffff-2019-11,1
848b5cdffffffff-2021-06,1
848b5cdffffffff-2021-07,3
848b5cdffffffff-2022-06,3
848b5cdffffffff-2022-07,2
848b5cdffffffff-2023-05,3
848b5cdffffffff-2023-08,1
848b5cdffffffff-2023-11,3
848b617ffffffff-2012-09,4
848b617ffffffff-2013-10,1
848b617ffffffff-2014-07,1
848b617ffffffff-2014-09,2
848b617ffffffff-2014-10,1
848b617ffffffff-2015-07,1
848b617ffffffff-2016-05,2
848b617ffffffff-2016-07,7
848b617ffffffff-2017-06,2
848b617ffffffff-2017-08,1
848b617ffffffff-2017-09,3
848b617ffffffff-2017-10,10
848b617ffffffff-2017-11,5
848b617ffffffff-2018-03,1
848b617ffffffff-2018-05,1
848b617ffffffff-2018-06,1
848b617ffffffff-2018-07,1
848b617ffffffff-2018-08,4
