index,n
846842bffffffff-2018-11,7
846842bffffffff-2018-12,1
84684e5ffffffff-2012-02,1
84684e5ffffffff-2012-03,2
84684e5ffffffff-2014-01,2
84684e5ffffffff-2014-02,4
84684e5ffffffff-2014-03,2
84684e5ffffffff-2014-06,4
84684e5ffffffff-2015-02,6
84684e5ffffffff-2015-08,2
84684e5ffffffff-2016-01,1
84684e5ffffffff-2016-02,9
84684e5ffffffff-2016-03,9
84684e5ffffffff-2016-05,13
84684e5ffffffff-2016-12,3
84684e5ffffffff-2017-01,5
84684e5ffffffff-2017-02,16
84684e5ffffffff-2017-03,15
84684e5ffffffff-2017-04,4
84684e5ffffffff-2017-10,5
84684e5ffffffff-2017-12,7
84684e5ffffffff-2018-02,3
84684e5ffffffff-2018-03,3
84684e5ffffffff-2018-04,1
84684e5ffffffff-2018-05,2
84684e5ffffffff-2018-06,4
84684e5ffffffff-2018-08,3
84684e5ffffffff-2018-11,6
84684e5ffffffff-2018-12,4
84684e5ffffffff-2019-02,12
84684e5ffffffff-2019-03,3
84684e5ffffffff-2019-04,3
84684e5ffffffff-2019-05,6
84684e5ffffffff-2020-01,12
84684e5ffffffff-2020-02,7
84684e5ffffffff-2020-03,7
84684e5ffffffff-2021-04,6
84684e5ffffffff-2021-05,4
84684e5ffffffff-2021-11,1
84684e5ffffffff-2022-03,2
84684e5ffffffff-2022-05,12
84684e5ffffffff-2022-08,4
84684e5ffffffff-2022-12,4
84684e5ffffffff-2023-01,11
84684e5ffffffff-2023-02,12
84684e5ffffffff-2023-03,2
84684e5ffffffff-2023-04,17
84684e5ffffffff-2023-05,3
84684e5ffffffff-2023-07,1
846856bffffffff-2019-10,3
846856bffffffff-2023-05,1
846856bffffffff-2023-06,2
846856bffffffff-2023-08,8
846856bffffffff-2023-09,7
846856bffffffff-2023-10,15
846856bffffffff-2023-11,1
846858bffffffff-2019-04,1
846858bffffffff-2021-05,1
84685d7ffffffff-2021-08,4
84685d7ffffffff-2021-09,1
84685d7ffffffff-2022-05,1
84685e1ffffffff-2018-05,3
84685e9ffffffff-2018-04,2
84685e9ffffffff-2018-05,1
84685e9ffffffff-2018-07,6
84685e9ffffffff-2018-08,3
84685e9ffffffff-2018-09,2
84685e9ffffffff-2018-10,1
84685e9ffffffff-2019-04,6
84685e9ffffffff-2019-08,1
84685e9ffffffff-2021-03,2
84685e9ffffffff-2022-07,4
84685e9ffffffff-2022-08,3
84685e9ffffffff-2023-02,3
84685e9ffffffff-2023-05,1
84685edffffffff-2019-03,1
84686e9ffffffff-2023-05,2
84686e9ffffffff-2023-08,1
