index,n
8445251ffffffff-2014-11,2
844525dffffffff-2014-11,1
84480adffffffff-2021-01,1
8448109ffffffff-2012-04,1
8448109ffffffff-2017-07,1
8448111ffffffff-2012-05,1
8448113ffffffff-2014-05,1
8448141ffffffff-2013-10,2
8448141ffffffff-2014-12,1
8448141ffffffff-2015-01,1
8448141ffffffff-2015-05,7
8448141ffffffff-2015-07,6
8448141ffffffff-2017-01,5
8448143ffffffff-2014-07,1
8448143ffffffff-2014-09,2
8448143ffffffff-2015-04,2
8448143ffffffff-2017-07,1
8448147ffffffff-2012-06,1
8448147ffffffff-2013-10,2
844814bffffffff-2012-04,4
844814bffffffff-2012-08,1
844814bffffffff-2013-02,3
844814bffffffff-2013-04,4
844814bffffffff-2013-05,3
844814bffffffff-2014-04,5
844814bffffffff-2014-11,2
844814bffffffff-2016-12,3
844814bffffffff-2019-04,1
844814bffffffff-2019-06,3
844814bffffffff-2019-07,1
844814bffffffff-2020-07,1
844814bffffffff-2021-01,1
844815bffffffff-2020-11,1
844815dffffffff-2013-03,1
8448183ffffffff-2020-09,1
8448193ffffffff-2020-07,1
8448193ffffffff-2022-05,1
8448193ffffffff-2022-06,1
8448195ffffffff-2017-04,1
8448199ffffffff-2013-08,2
844819dffffffff-2019-06,1
844819dffffffff-2020-04,2
844819dffffffff-2020-05,1
844819dffffffff-2020-06,1
844819dffffffff-2020-07,2
844819dffffffff-2021-06,2
844819dffffffff-2023-07,1
844819dffffffff-2023-09,1
84481d7ffffffff-2013-08,2
84481d7ffffffff-2023-03,4
8448323ffffffff-2020-03,4
8448325ffffffff-2014-11,1
8448337ffffffff-2012-01,10
8448337ffffffff-2012-02,1
8448337ffffffff-2013-01,9
8448337ffffffff-2013-03,2
8448337ffffffff-2013-07,4
8448337ffffffff-2014-01,28
8448337ffffffff-2014-04,4
8448337ffffffff-2014-07,2
8448337ffffffff-2014-11,2
8448337ffffffff-2014-12,4
8448337ffffffff-2015-01,12
8448337ffffffff-2015-02,2
8448337ffffffff-2015-03,2
8448337ffffffff-2015-04,6
8448337ffffffff-2015-06,3
8448337ffffffff-2015-12,3
8448337ffffffff-2016-01,7
8448337ffffffff-2016-02,10
8448337ffffffff-2016-03,3
8448337ffffffff-2016-04,1
8448337ffffffff-2016-10,2
8448337ffffffff-2016-11,2
8448337ffffffff-2016-12,2
8448337ffffffff-2017-01,11
8448337ffffffff-2017-02,2
8448337ffffffff-2017-04,4
8448337ffffffff-2018-01,6
8448337ffffffff-2018-02,8
8448337ffffffff-2018-03,5
8448337ffffffff-2018-04,1
8448337ffffffff-2018-11,2
8448337ffffffff-2018-12,13
8448337ffffffff-2019-01,12
8448337ffffffff-2019-02,4
8448337ffffffff-2019-03,12
8448337ffffffff-2019-06,1
8448337ffffffff-2019-07,2
8448337ffffffff-2019-12,1
8448337ffffffff-2020-01,17
8448337ffffffff-2020-03,1
8448337ffffffff-2021-01,4
8448337ffffffff-2021-02,4
8448337ffffffff-2021-03,2
8448337ffffffff-2021-05,6
8448337ffffffff-2021-06,1
8448337ffffffff-2021-09,1
8448337ffffffff-2021-10,2
8448337ffffffff-2021-11,4
8448337ffffffff-2021-12,10
8448337ffffffff-2022-01,19
8448337ffffffff-2022-02,6
8448337ffffffff-2022-03,6
8448337ffffffff-2022-04,9
8448337ffffffff-2022-08,1
8448337ffffffff-2022-10,3
8448337ffffffff-2022-11,2
8448337ffffffff-2022-12,7
8448337ffffffff-2023-01,15
8448337ffffffff-2023-02,6
8448337ffffffff-2023-03,4
8448337ffffffff-2023-04,7
8448337ffffffff-2023-05,7
8448337ffffffff-2023-07,2
8448337ffffffff-2023-08,4
844833bffffffff-2021-01,1
8448361ffffffff-2012-01,5
8448361ffffffff-2012-02,6
8448361ffffffff-2012-11,1
8448361ffffffff-2012-12,4
8448361ffffffff-2013-01,5
8448361ffffffff-2013-02,6
8448361ffffffff-2013-03,1
8448361ffffffff-2013-12,6
8448361ffffffff-2014-01,3
8448361ffffffff-2014-02,1
8448361ffffffff-2014-06,1
8448361ffffffff-2014-10,2
8448361ffffffff-2014-11,4
8448361ffffffff-2014-12,3
8448361ffffffff-2015-01,8
8448361ffffffff-2015-02,9
8448361ffffffff-2015-10,1
8448361ffffffff-2015-11,7
8448361ffffffff-2015-12,6
8448361ffffffff-2016-01,14
8448361ffffffff-2016-02,5
8448361ffffffff-2016-03,1
8448361ffffffff-2016-09,1
8448361ffffffff-2016-10,2
8448361ffffffff-2016-11,2
8448361ffffffff-2016-12,10
8448361ffffffff-2017-01,5
8448361ffffffff-2017-12,4
8448361ffffffff-2018-01,11
8448361ffffffff-2018-02,4
8448361ffffffff-2018-03,9
8448361ffffffff-2018-10,16
8448361ffffffff-2018-11,4
8448361ffffffff-2018-12,2
8448361ffffffff-2019-01,10
8448361ffffffff-2019-02,3
8448361ffffffff-2019-03,4
8448361ffffffff-2019-11,3
8448361ffffffff-2019-12,4
8448361ffffffff-2020-01,11
8448361ffffffff-2020-02,4
8448361ffffffff-2020-03,1
8448361ffffffff-2021-02,3
8448361ffffffff-2021-12,2
8448361ffffffff-2022-11,1
8448361ffffffff-2022-12,1
8448361ffffffff-2023-01,2
8448361ffffffff-2023-02,4
8448361ffffffff-2023-03,1
8448361ffffffff-2023-04,4
8448361ffffffff-2023-05,2
8448361ffffffff-2023-10,1
8448365ffffffff-2015-09,2
8448365ffffffff-2019-10,1
8448367ffffffff-2014-10,2
8448367ffffffff-2015-02,1
844836dffffffff-2012-03,2
844836dffffffff-2013-01,4
844836dffffffff-2013-02,1
844836dffffffff-2013-08,1
844836dffffffff-2014-02,5
844836dffffffff-2014-04,2
844836dffffffff-2014-05,1
844836dffffffff-2014-11,3
844836dffffffff-2014-12,3
844836dffffffff-2015-01,8
844836dffffffff-2015-02,2
844836dffffffff-2015-03,3
844836dffffffff-2015-04,1
844836dffffffff-2015-05,6
844836dffffffff-2015-12,1
844836dffffffff-2016-01,3
844836dffffffff-2016-02,4
844836dffffffff-2016-04,1
844836dffffffff-2017-01,2
844836dffffffff-2017-02,3
844836dffffffff-2017-03,2
844836dffffffff-2017-04,2
844836dffffffff-2017-11,2
844836dffffffff-2017-12,3
844836dffffffff-2018-01,5
