index,n
84a2421ffffffff-2016-01,1
84a2421ffffffff-2019-08,1
84a2421ffffffff-2021-07,2
84a2421ffffffff-2021-08,2
84a2421ffffffff-2021-11,1
84a2421ffffffff-2022-04,1
84a2421ffffffff-2022-08,2
84a2421ffffffff-2022-11,1
84a2421ffffffff-2023-02,1
84a2421ffffffff-2023-03,2
84a2421ffffffff-2023-06,1
84a2421ffffffff-2023-07,1
84a2421ffffffff-2023-08,2
84a2421ffffffff-2023-10,1
84a2423ffffffff-2012-02,1
84a2423ffffffff-2012-06,1
84a2423ffffffff-2012-11,1
84a2423ffffffff-2012-12,1
84a2423ffffffff-2013-04,1
84a2423ffffffff-2013-06,2
84a2423ffffffff-2013-10,2
84a2423ffffffff-2013-12,1
84a2423ffffffff-2014-01,1
84a2423ffffffff-2014-02,1
84a2423ffffffff-2014-05,1
84a2423ffffffff-2014-07,1
84a2423ffffffff-2014-10,1
84a2423ffffffff-2014-11,2
84a2423ffffffff-2014-12,3
84a2423ffffffff-2015-01,2
84a2423ffffffff-2015-05,2
84a2423ffffffff-2015-07,1
84a2423ffffffff-2015-09,1
84a2423ffffffff-2015-10,10
84a2423ffffffff-2015-11,4
84a2423ffffffff-2015-12,1
84a2423ffffffff-2016-02,1
84a2423ffffffff-2016-05,3
84a2423ffffffff-2016-07,1
84a2423ffffffff-2016-08,1
84a2423ffffffff-2016-11,3
84a2423ffffffff-2016-12,1
84a2423ffffffff-2017-04,1
84a2423ffffffff-2017-06,4
84a2423ffffffff-2017-08,1
84a2423ffffffff-2017-10,6
84a2423ffffffff-2017-12,1
84a2423ffffffff-2018-02,2
84a2423ffffffff-2018-04,2
84a2423ffffffff-2018-06,1
84a2423ffffffff-2018-08,3
84a2423ffffffff-2018-09,3
84a2423ffffffff-2018-10,4
84a2423ffffffff-2018-11,3
84a2423ffffffff-2018-12,3
84a2423ffffffff-2019-01,1
84a2423ffffffff-2019-02,1
84a2423ffffffff-2019-03,1
84a2423ffffffff-2019-05,3
84a2423ffffffff-2019-06,3
84a2423ffffffff-2019-07,6
84a2423ffffffff-2019-08,14
84a2423ffffffff-2019-09,9
84a2423ffffffff-2019-11,8
84a2423ffffffff-2020-02,3
84a2423ffffffff-2020-03,1
84a2423ffffffff-2021-10,3
84a2423ffffffff-2021-11,10
84a2423ffffffff-2021-12,1
84a2423ffffffff-2022-02,4
84a2423ffffffff-2022-03,1
84a2423ffffffff-2022-04,1
84a2423ffffffff-2022-05,3
84a2423ffffffff-2022-07,7
84a2423ffffffff-2022-08,7
84a2423ffffffff-2022-10,14
84a2423ffffffff-2022-11,4
84a2423ffffffff-2022-12,9
84a2423ffffffff-2023-01,7
84a2423ffffffff-2023-02,3
84a2423ffffffff-2023-04,5
84a2423ffffffff-2023-05,9
84a2423ffffffff-2023-06,4
84a2423ffffffff-2023-07,5
84a2423ffffffff-2023-08,12
84a2423ffffffff-2023-09,8
84a2423ffffffff-2023-10,14
84a2423ffffffff-2023-11,12
84a242bffffffff-2018-11,1
84a243dffffffff-2015-02,1
