index,n
8481801ffffffff-2016-01,1
8481801ffffffff-2018-12,1
8481803ffffffff-2015-03,1
8481803ffffffff-2015-12,5
848180bffffffff-2017-01,1
848180bffffffff-2019-01,2
848180bffffffff-2020-01,1
8481813ffffffff-2023-02,1
8481819ffffffff-2020-01,1
8481819ffffffff-2021-02,3
8481819ffffffff-2021-03,3
8481819ffffffff-2023-01,1
8481819ffffffff-2023-10,2
848181dffffffff-2013-04,1
848181dffffffff-2022-12,4
8481839ffffffff-2012-07,1
8481839ffffffff-2019-01,1
8481839ffffffff-2020-04,1
8481839ffffffff-2022-01,1
8481851ffffffff-2012-04,1
8481851ffffffff-2019-01,1
8481853ffffffff-2017-12,1
8481853ffffffff-2018-10,1
8481853ffffffff-2021-10,1
8481853ffffffff-2022-03,2
8481857ffffffff-2012-11,1
8481857ffffffff-2013-10,1
8481857ffffffff-2015-04,1
8481857ffffffff-2015-05,1
8481857ffffffff-2015-09,2
8481857ffffffff-2015-12,1
8481857ffffffff-2016-02,1
8481857ffffffff-2016-11,4
8481857ffffffff-2017-01,2
8481857ffffffff-2017-03,5
8481857ffffffff-2017-07,1
8481857ffffffff-2018-05,1
8481857ffffffff-2018-07,4
8481857ffffffff-2018-08,1
8481857ffffffff-2018-09,13
8481857ffffffff-2018-11,4
8481857ffffffff-2019-01,3
8481857ffffffff-2019-02,1
8481857ffffffff-2019-10,2
8481857ffffffff-2019-11,3
8481857ffffffff-2020-01,2
8481857ffffffff-2020-02,2
8481857ffffffff-2020-03,2
8481857ffffffff-2020-10,3
8481857ffffffff-2021-03,1
8481857ffffffff-2021-05,2
8481857ffffffff-2021-10,11
8481857ffffffff-2021-12,1
8481857ffffffff-2022-01,5
8481857ffffffff-2022-03,11
8481857ffffffff-2022-04,1
8481857ffffffff-2022-05,2
8481857ffffffff-2022-08,2
8481857ffffffff-2022-09,8
8481857ffffffff-2022-11,21
8481857ffffffff-2022-12,6
8481857ffffffff-2023-01,13
8481857ffffffff-2023-04,5
8481857ffffffff-2023-08,2
8481857ffffffff-2023-09,2
8481857ffffffff-2023-10,1
848185bffffffff-2014-11,1
848185bffffffff-2017-10,1
848185bffffffff-2018-07,3
848185bffffffff-2020-11,1
848185bffffffff-2022-08,1
848185bffffffff-2022-09,1
84818e1ffffffff-2015-02,1
84818e1ffffffff-2016-02,2
84818e1ffffffff-2016-04,2
84818e1ffffffff-2017-08,1
84818e1ffffffff-2018-03,2
84818e1ffffffff-2018-06,2
84818e1ffffffff-2020-07,1
84818e1ffffffff-2021-12,5
84818e1ffffffff-2022-01,2
84818e1ffffffff-2022-05,2
84818e1ffffffff-2023-03,1
84818e1ffffffff-2023-08,1
8481aadffffffff-2022-04,1
8481aadffffffff-2022-05,1
8481aadffffffff-2022-10,1
8481aadffffffff-2022-11,1
8481aadffffffff-2023-10,1
