index,n
8466debffffffff-2015-08,2
8466debffffffff-2016-01,2
8466debffffffff-2016-02,6
8466debffffffff-2016-08,2
8466debffffffff-2017-01,1
8466debffffffff-2017-02,1
8466debffffffff-2017-08,1
8466debffffffff-2018-01,5
8466debffffffff-2018-08,7
8466debffffffff-2019-01,1
8466debffffffff-2019-02,2
8466debffffffff-2019-08,7
8466debffffffff-2019-12,1
8466debffffffff-2020-01,35
8466debffffffff-2020-10,1
8466debffffffff-2020-12,9
8466debffffffff-2021-01,7
8466debffffffff-2021-02,3
8466debffffffff-2021-07,15
8466debffffffff-2021-09,5
8466debffffffff-2021-10,7
8466debffffffff-2021-12,1
8466debffffffff-2022-01,5
8466debffffffff-2022-02,2
8466debffffffff-2022-04,1
8466debffffffff-2022-08,4
8466debffffffff-2022-10,1
8466debffffffff-2022-11,2
8466debffffffff-2023-01,17
8466debffffffff-2023-02,17
8466debffffffff-2023-03,8
8466debffffffff-2023-05,5
8466debffffffff-2023-06,2
8466debffffffff-2023-07,3
8466debffffffff-2023-09,1
8466debffffffff-2023-11,10
848f401ffffffff-2013-07,1
848f401ffffffff-2017-04,2
848f401ffffffff-2019-05,1
848f401ffffffff-2019-10,1
848f401ffffffff-2021-09,1
848f401ffffffff-2022-04,1
848f401ffffffff-2023-09,2
848f401ffffffff-2023-10,13
848f401ffffffff-2023-11,15
848f465ffffffff-2015-04,1
848f46bffffffff-2013-09,1
848f733ffffffff-2020-10,4
848f733ffffffff-2021-07,1
848f733ffffffff-2021-09,2
