index,n
8445201ffffffff-2012-07,3
8445201ffffffff-2012-08,5
8445201ffffffff-2013-06,1
8445201ffffffff-2013-07,1
8445201ffffffff-2015-11,2
8445201ffffffff-2017-03,1
8445201ffffffff-2018-01,1
8445201ffffffff-2019-11,1
8445201ffffffff-2022-07,2
8445201ffffffff-2023-03,11
8445203ffffffff-2016-10,1
8445205ffffffff-2013-05,5
8445205ffffffff-2014-06,4
8445205ffffffff-2014-12,4
8445205ffffffff-2015-01,8
8445205ffffffff-2015-03,5
8445205ffffffff-2015-04,3
8445205ffffffff-2015-05,8
8445205ffffffff-2015-06,5
8445205ffffffff-2015-07,5
8445205ffffffff-2015-08,13
8445205ffffffff-2015-09,8
8445205ffffffff-2015-10,3
8445205ffffffff-2015-11,5
8445205ffffffff-2015-12,7
8445205ffffffff-2016-02,2
8445205ffffffff-2016-03,5
8445205ffffffff-2016-04,2
8445205ffffffff-2016-06,1
8445205ffffffff-2016-07,3
8445205ffffffff-2016-08,1
8445205ffffffff-2016-09,1
8445205ffffffff-2016-10,3
8445205ffffffff-2016-12,6
8445205ffffffff-2017-01,4
8445205ffffffff-2017-05,1
8445205ffffffff-2017-08,2
8445205ffffffff-2017-09,6
8445205ffffffff-2017-10,9
8445205ffffffff-2017-12,7
8445205ffffffff-2018-01,8
8445205ffffffff-2018-02,17
8445205ffffffff-2018-04,5
8445205ffffffff-2018-05,6
8445205ffffffff-2018-06,4
8445205ffffffff-2018-07,2
8445205ffffffff-2018-08,3
8445205ffffffff-2018-09,1
8445205ffffffff-2018-10,1
8445205ffffffff-2018-11,4
8445205ffffffff-2019-01,1
8445205ffffffff-2019-02,1
8445205ffffffff-2019-03,3
8445205ffffffff-2019-04,1
8445205ffffffff-2019-05,3
8445205ffffffff-2019-07,1
8445205ffffffff-2019-08,1
8445205ffffffff-2019-11,2
8445205ffffffff-2019-12,2
8445205ffffffff-2020-01,2
8445205ffffffff-2020-02,2
8445205ffffffff-2020-04,5
8445205ffffffff-2020-05,12
8445205ffffffff-2020-06,15
8445205ffffffff-2020-07,13
8445205ffffffff-2020-08,10
8445205ffffffff-2020-09,3
8445205ffffffff-2020-10,9
8445205ffffffff-2020-11,5
8445205ffffffff-2020-12,5
8445205ffffffff-2021-01,9
8445205ffffffff-2021-02,20
8445205ffffffff-2021-03,6
8445205ffffffff-2021-04,4
8445205ffffffff-2021-09,2
8445205ffffffff-2021-10,9
8445205ffffffff-2021-11,39
8445205ffffffff-2021-12,12
8445205ffffffff-2022-01,14
8445205ffffffff-2022-02,2
8445205ffffffff-2022-03,1
8445205ffffffff-2022-05,15
8445205ffffffff-2022-07,2
8445205ffffffff-2022-08,2
8445205ffffffff-2022-09,4
8445205ffffffff-2022-10,4
8445205ffffffff-2023-01,2
8445205ffffffff-2023-02,1
8445205ffffffff-2023-03,6
8445205ffffffff-2023-05,4
8445205ffffffff-2023-06,7
8445205ffffffff-2023-08,2
8445205ffffffff-2023-10,2
8445205ffffffff-2023-11,3
