index,n
841951bffffffff-2021-07,1
841ec91ffffffff-2016-12,2
84209a1ffffffff-2020-10,1
84209a5ffffffff-2017-10,1
84209a5ffffffff-2018-07,3
84209a5ffffffff-2019-02,1
84209a5ffffffff-2020-03,4
84209a5ffffffff-2020-06,3
84209a5ffffffff-2021-03,4
84209a5ffffffff-2021-05,3
84209a5ffffffff-2021-06,3
84209a5ffffffff-2022-10,2
84209a5ffffffff-2023-03,9
84209a5ffffffff-2023-04,1
84209a5ffffffff-2023-05,1
84209a5ffffffff-2023-06,1
84209a7ffffffff-2018-07,1
84209a7ffffffff-2021-01,1
842c933ffffffff-2016-03,1
842db0dffffffff-2020-05,1
8439191ffffffff-2022-01,1
8439191ffffffff-2022-02,1
843c021ffffffff-2021-11,1
843c021ffffffff-2022-04,3
843c021ffffffff-2023-05,2
843c023ffffffff-2023-05,1
843c025ffffffff-2013-04,1
843c025ffffffff-2018-06,2
843c025ffffffff-2018-07,1
843c025ffffffff-2020-03,1
843c025ffffffff-2020-10,4
843c025ffffffff-2021-01,1
843c025ffffffff-2021-02,2
843c025ffffffff-2022-04,16
843c025ffffffff-2022-05,1
843c025ffffffff-2022-08,2
843c025ffffffff-2023-01,1
843c025ffffffff-2023-02,1
843c025ffffffff-2023-05,1
843c025ffffffff-2023-07,1
843c027ffffffff-2014-05,1
843c027ffffffff-2020-02,1
843c027ffffffff-2021-01,1
843c027ffffffff-2022-02,1
843c027ffffffff-2023-01,2
843c027ffffffff-2023-02,1
843c027ffffffff-2023-05,1
843c029ffffffff-2019-12,2
843c029ffffffff-2020-01,2
843c029ffffffff-2021-03,11
843c029ffffffff-2021-04,5
843c02dffffffff-2012-03,1
843c02dffffffff-2014-08,1
843c02dffffffff-2016-08,1
843c02dffffffff-2016-09,1
843c02dffffffff-2018-08,1
843c02dffffffff-2019-11,1
843c02dffffffff-2020-03,1
843c02dffffffff-2020-10,3
843c02dffffffff-2020-12,1
843c02dffffffff-2021-01,5
843c02dffffffff-2021-02,2
843c02dffffffff-2021-03,2
843c02dffffffff-2021-04,4
843c02dffffffff-2021-08,6
843c02dffffffff-2021-09,3
843c02dffffffff-2021-10,1
843c02dffffffff-2021-12,1
843c02dffffffff-2022-01,3
843c02dffffffff-2022-04,5
