index,n
8426121ffffffff-2018-06,1
8426121ffffffff-2023-05,4
8426125ffffffff-2023-06,1
8426127ffffffff-2014-08,1
8426127ffffffff-2014-09,3
8426127ffffffff-2015-05,1
8426127ffffffff-2015-09,1
8426127ffffffff-2016-05,3
8426127ffffffff-2016-09,1
8426127ffffffff-2017-05,1
8426127ffffffff-2017-06,1
8426127ffffffff-2017-07,1
8426127ffffffff-2017-09,1
8426127ffffffff-2018-06,3
8426127ffffffff-2019-09,1
8426127ffffffff-2020-05,3
8426127ffffffff-2020-06,2
8426127ffffffff-2020-08,4
8426127ffffffff-2021-07,1
8426127ffffffff-2021-09,1
8426127ffffffff-2022-05,1
8426127ffffffff-2022-06,1
8426127ffffffff-2023-05,1
8426127ffffffff-2023-06,1
8426127ffffffff-2023-07,2
842612bffffffff-2019-08,1
8426165ffffffff-2012-05,1
8426165ffffffff-2013-05,2
8426165ffffffff-2013-06,3
8426165ffffffff-2014-05,1
8426165ffffffff-2014-06,1
8426165ffffffff-2014-07,1
8426165ffffffff-2014-08,1
8426165ffffffff-2015-06,1
8426165ffffffff-2015-07,2
8426165ffffffff-2015-08,1
8426165ffffffff-2016-05,6
8426165ffffffff-2016-06,3
8426165ffffffff-2016-07,5
8426165ffffffff-2016-09,2
8426165ffffffff-2017-05,6
8426165ffffffff-2017-07,3
8426165ffffffff-2017-08,3
8426165ffffffff-2018-05,2
8426165ffffffff-2018-06,12
8426165ffffffff-2018-07,3
8426165ffffffff-2018-08,1
8426165ffffffff-2018-09,1
8426165ffffffff-2019-05,3
8426165ffffffff-2019-06,19
8426165ffffffff-2019-07,4
8426165ffffffff-2019-08,3
8426165ffffffff-2020-05,7
8426165ffffffff-2020-06,14
8426165ffffffff-2020-07,8
8426165ffffffff-2020-08,1
8426165ffffffff-2020-09,2
8426165ffffffff-2021-05,1
8426165ffffffff-2021-06,8
8426165ffffffff-2021-07,6
8426165ffffffff-2022-05,7
8426165ffffffff-2022-06,6
8426165ffffffff-2022-07,4
8426165ffffffff-2022-08,6
8426165ffffffff-2023-05,7
8426165ffffffff-2023-06,13
8426165ffffffff-2023-07,9
8426165ffffffff-2023-08,1
8426165ffffffff-2023-09,1
8426269ffffffff-2016-05,3
8426669ffffffff-2018-05,1
8426801ffffffff-2012-06,1
8426801ffffffff-2012-07,2
8426801ffffffff-2013-06,4
8426801ffffffff-2013-07,1
8426801ffffffff-2014-05,3
8426801ffffffff-2014-06,3
8426801ffffffff-2015-06,2
8426801ffffffff-2015-07,1
8426801ffffffff-2015-08,1
8426801ffffffff-2016-05,7
8426801ffffffff-2016-06,3
8426801ffffffff-2016-07,1
8426801ffffffff-2017-05,3
8426801ffffffff-2017-06,32
8426801ffffffff-2017-07,3
8426801ffffffff-2018-05,1
8426801ffffffff-2018-08,1
8426801ffffffff-2019-05,4
8426801ffffffff-2019-06,5
8426801ffffffff-2019-07,1
8426801ffffffff-2019-08,2
8426801ffffffff-2019-09,2
8426801ffffffff-2020-05,5
8426801ffffffff-2020-07,1
8426801ffffffff-2020-08,1
8426801ffffffff-2021-05,3
8426801ffffffff-2021-06,2
8426801ffffffff-2021-07,2
8426801ffffffff-2022-05,2
8426801ffffffff-2022-06,1
8426801ffffffff-2022-07,2
8426801ffffffff-2022-08,4
8426801ffffffff-2023-05,5
8426801ffffffff-2023-06,4
8426801ffffffff-2023-07,6
8426801ffffffff-2023-09,1
8426803ffffffff-2013-05,2
8426803ffffffff-2015-06,2
8426803ffffffff-2016-06,1
8426803ffffffff-2018-07,1
8426803ffffffff-2018-08,1
8426803ffffffff-2019-08,1
8426803ffffffff-2021-09,1
8426803ffffffff-2022-06,1
