index,n
8466411ffffffff-2021-10,1
8466415ffffffff-2021-05,1
8466415ffffffff-2022-05,2
846641dffffffff-2016-01,1
846641dffffffff-2022-05,2
84665abffffffff-2015-10,1
84665abffffffff-2018-01,1
84665abffffffff-2018-03,2
84665abffffffff-2018-05,1
84665abffffffff-2022-04,1
84665abffffffff-2023-05,1
84665bdffffffff-2012-03,2
84665bdffffffff-2015-01,1
84665bdffffffff-2015-11,1
84665bdffffffff-2016-08,2
84665bdffffffff-2019-02,1
84665bdffffffff-2019-09,1
84665e9ffffffff-2023-03,2
8466c07ffffffff-2020-05,1
8466c07ffffffff-2022-11,1
8466c0dffffffff-2020-07,1
8466c0dffffffff-2020-08,1
8466c15ffffffff-2023-05,3
8466c17ffffffff-2021-07,1
8466c19ffffffff-2019-03,1
8466c21ffffffff-2015-09,6
8466c21ffffffff-2016-01,2
8466c21ffffffff-2016-03,1
8466c21ffffffff-2016-05,8
8466c21ffffffff-2016-06,2
8466c21ffffffff-2016-08,6
8466c21ffffffff-2016-10,2
8466c21ffffffff-2017-05,4
8466c21ffffffff-2017-06,2
8466c21ffffffff-2017-07,10
8466c21ffffffff-2017-10,1
8466c21ffffffff-2017-11,46
8466c21ffffffff-2018-01,7
8466c21ffffffff-2018-02,3
8466c21ffffffff-2018-03,9
8466c21ffffffff-2018-04,1
8466c21ffffffff-2018-05,6
8466c21ffffffff-2018-06,2
8466c21ffffffff-2018-08,2
8466c21ffffffff-2018-10,10
8466c21ffffffff-2018-12,18
8466c21ffffffff-2019-01,3
8466c21ffffffff-2019-03,1
8466c21ffffffff-2019-05,10
8466c21ffffffff-2019-06,4
8466c21ffffffff-2019-07,2
8466c21ffffffff-2019-08,4
8466c21ffffffff-2019-09,4
8466c21ffffffff-2019-10,12
8466c21ffffffff-2019-11,3
8466c21ffffffff-2019-12,10
8466c21ffffffff-2020-01,4
8466c21ffffffff-2020-02,1
8466c21ffffffff-2020-04,1
8466c21ffffffff-2020-05,1
8466c21ffffffff-2020-06,2
8466c21ffffffff-2020-10,1
8466c21ffffffff-2020-12,3
8466c21ffffffff-2021-02,4
8466c21ffffffff-2021-03,4
8466c21ffffffff-2021-05,1
8466c21ffffffff-2021-06,1
8466c21ffffffff-2021-08,2
8466c21ffffffff-2021-09,1
8466c21ffffffff-2021-10,1
8466c21ffffffff-2021-12,2
8466c21ffffffff-2022-01,13
8466c21ffffffff-2022-03,2
8466c21ffffffff-2022-04,2
8466c21ffffffff-2022-05,14
8466c21ffffffff-2022-06,3
8466c21ffffffff-2022-07,13
8466c21ffffffff-2022-08,1
8466c21ffffffff-2022-09,5
8466c21ffffffff-2022-10,2
8466c21ffffffff-2022-12,4
8466c21ffffffff-2023-01,3
8466c21ffffffff-2023-02,5
8466c21ffffffff-2023-03,6
8466c21ffffffff-2023-04,2
8466c21ffffffff-2023-05,3
8466c21ffffffff-2023-06,1
8466c21ffffffff-2023-07,2
8466c21ffffffff-2023-08,3
8466c21ffffffff-2023-09,3
8466c21ffffffff-2023-10,5
8466c21ffffffff-2023-11,12
8466c23ffffffff-2017-03,2
8466c23ffffffff-2017-06,8
8466c23ffffffff-2017-12,3
