index,n
843906dffffffff-2020-01,1
8494921ffffffff-2020-07,3
8494923ffffffff-2021-06,2
8494925ffffffff-2016-09,1
8494925ffffffff-2020-07,3
8494925ffffffff-2021-07,1
8494925ffffffff-2022-04,2
8494925ffffffff-2023-07,1
8494925ffffffff-2023-08,1
849492dffffffff-2020-08,1
8494c33ffffffff-2015-05,1
8494c33ffffffff-2021-06,2
8494c33ffffffff-2022-04,2
8494c33ffffffff-2022-08,1
8494c37ffffffff-2016-04,1
8494c37ffffffff-2021-08,1
8494c37ffffffff-2022-04,1
8494c91ffffffff-2019-08,1
8494c91ffffffff-2022-07,2
8494c91ffffffff-2022-09,1
8494c99ffffffff-2020-02,2
8494ccdffffffff-2021-06,1
8494d01ffffffff-2016-08,1
8494d01ffffffff-2020-07,1
8494d01ffffffff-2021-08,1
8494d01ffffffff-2023-09,3
8494d07ffffffff-2022-05,1
8494d0bffffffff-2017-05,1
8494d0dffffffff-2022-08,1
849c641ffffffff-2023-06,3
849c643ffffffff-2021-07,1
849c647ffffffff-2016-05,1
849c649ffffffff-2012-09,1
849c649ffffffff-2016-05,1
849c649ffffffff-2016-07,2
849c649ffffffff-2017-07,1
849c649ffffffff-2019-04,2
849c649ffffffff-2019-11,1
849c649ffffffff-2020-08,2
849c649ffffffff-2021-06,2
849c64dffffffff-2020-09,1
849c65dffffffff-2023-08,1
849c693ffffffff-2023-05,1
849c69bffffffff-2017-06,1
849c69bffffffff-2022-12,2
849c69bffffffff-2023-04,2
849c69bffffffff-2023-07,1
849d407ffffffff-2019-12,1
849d407ffffffff-2021-05,1
849d407ffffffff-2021-07,1
849d409ffffffff-2018-05,1
849d425ffffffff-2023-06,1
849d431ffffffff-2020-06,1
849d431ffffffff-2022-08,1
849d441ffffffff-2016-07,1
849d443ffffffff-2016-07,1
849d443ffffffff-2017-04,1
849d443ffffffff-2017-07,1
849d443ffffffff-2017-09,2
849d443ffffffff-2019-08,1
849d443ffffffff-2020-09,1
849d443ffffffff-2021-06,1
849d443ffffffff-2021-07,1
849d443ffffffff-2021-09,3
849d443ffffffff-2022-07,1
849d443ffffffff-2022-08,2
849d443ffffffff-2022-11,2
849d443ffffffff-2022-12,1
849d443ffffffff-2023-06,6
849d443ffffffff-2023-07,6
849d443ffffffff-2023-08,9
849d443ffffffff-2023-09,1
849d445ffffffff-2014-10,1
849d445ffffffff-2014-11,1
849d445ffffffff-2015-05,1
849d445ffffffff-2019-07,1
849d445ffffffff-2021-06,1
849d445ffffffff-2023-05,1
849d447ffffffff-2014-01,1
849d447ffffffff-2014-05,1
849d447ffffffff-2014-07,1
849d447ffffffff-2014-08,1
849d447ffffffff-2014-10,1
849d447ffffffff-2015-02,1
849d447ffffffff-2015-07,2
849d447ffffffff-2015-08,2
849d447ffffffff-2015-09,1
849d447ffffffff-2015-11,1
