index,n
847882dffffffff-2019-05,1
8478983ffffffff-2013-09,2
8478995ffffffff-2022-03,1
8478dc7ffffffff-2017-05,1
8488967ffffffff-2019-06,1
8488c85ffffffff-2016-11,1
8488c85ffffffff-2017-10,1
8488c85ffffffff-2019-08,3
8488c85ffffffff-2020-01,1
8489217ffffffff-2021-12,2
8489309ffffffff-2022-09,2
84908d7ffffffff-2017-05,1
8493053ffffffff-2017-05,1
849a141ffffffff-2017-06,1
849a141ffffffff-2017-07,1
849a153ffffffff-2019-04,1
849b19bffffffff-2023-09,1
849e1c9ffffffff-2023-03,1
84a0495ffffffff-2018-10,1
84a049bffffffff-2022-04,1
84a0ce5ffffffff-2023-05,2
84a1089ffffffff-2019-10,1
84a10a9ffffffff-2019-10,2
84a1191ffffffff-2019-10,2
84a1193ffffffff-2019-10,1
84a119dffffffff-2019-10,10
84a160bffffffff-2019-10,3
84a161bffffffff-2019-10,10
84a161bffffffff-2021-10,1
84a161bffffffff-2023-10,2
84a1667ffffffff-2019-10,3
84a16c3ffffffff-2019-10,1
84a16c9ffffffff-2019-10,31
84a16c9ffffffff-2021-10,15
84a16c9ffffffff-2022-10,1
84a16cbffffffff-2019-10,3
84a16cdffffffff-2021-10,4
84a1761ffffffff-2019-10,1
84a176bffffffff-2019-10,1
84b084bffffffff-2012-03,1
84b0945ffffffff-2013-09,1
84b0945ffffffff-2018-08,1
84b0a21ffffffff-2017-04,1
84b5927ffffffff-2019-10,1
84c64d3ffffffff-2019-10,1
