index,n
846ac07ffffffff-2022-08,1
846ac07ffffffff-2023-07,4
846ac07ffffffff-2023-08,3
846ac0bffffffff-2014-09,1
846ac15ffffffff-2018-07,2
846ac15ffffffff-2019-09,3
846ac15ffffffff-2021-02,1
846ac15ffffffff-2021-12,1
846ac1dffffffff-2022-02,1
846ac31ffffffff-2022-06,1
846ace5ffffffff-2013-03,1
846ace5ffffffff-2018-07,1
846ace5ffffffff-2022-09,9
846ad1bffffffff-2013-04,2
846ad8dffffffff-2023-06,4
846ad8dffffffff-2023-07,1
846ada1ffffffff-2014-04,2
846ada9ffffffff-2022-07,2
846ada9ffffffff-2022-09,1
846ada9ffffffff-2023-02,2
846ada9ffffffff-2023-03,5
846ada9ffffffff-2023-05,4
846ada9ffffffff-2023-06,3
846ada9ffffffff-2023-07,3
846adc1ffffffff-2012-11,1
846adc1ffffffff-2012-12,1
846adc1ffffffff-2013-01,1
846adc1ffffffff-2013-02,1
846adc1ffffffff-2013-04,1
846adc1ffffffff-2013-06,5
846adc1ffffffff-2013-07,1
846adc1ffffffff-2014-05,1
846adc1ffffffff-2014-06,2
846adc1ffffffff-2016-01,1
846adc1ffffffff-2016-12,1
846adc1ffffffff-2017-01,8
846adc1ffffffff-2017-02,1
846adc1ffffffff-2017-05,8
846adc1ffffffff-2017-06,2
846adc1ffffffff-2017-07,10
846adc1ffffffff-2017-12,4
846adc1ffffffff-2018-05,1
846adc1ffffffff-2018-06,1
846adc1ffffffff-2018-07,10
846adc1ffffffff-2018-08,2
846adc1ffffffff-2018-09,5
846adc1ffffffff-2018-12,2
846adc1ffffffff-2019-02,6
846adc1ffffffff-2019-03,2
846adc1ffffffff-2019-06,8
846adc1ffffffff-2019-07,5
846adc1ffffffff-2019-08,4
846adc1ffffffff-2019-12,7
846adc1ffffffff-2020-12,2
846adc1ffffffff-2021-01,3
846adc1ffffffff-2021-02,5
846adc1ffffffff-2021-03,1
846adc1ffffffff-2021-04,2
846adc1ffffffff-2021-05,6
846adc1ffffffff-2021-06,39
846adc1ffffffff-2021-07,39
846adc1ffffffff-2021-08,7
846adc1ffffffff-2021-10,2
846adc1ffffffff-2021-11,3
846adc1ffffffff-2021-12,2
846adc1ffffffff-2022-01,3
846adc1ffffffff-2022-02,2
846adc1ffffffff-2022-04,1
846adc1ffffffff-2022-05,1
846adc1ffffffff-2022-06,1
846adc1ffffffff-2022-07,30
846adc1ffffffff-2022-08,16
846adc1ffffffff-2022-09,1
846adc1ffffffff-2022-10,2
846adc1ffffffff-2022-12,7
846adc1ffffffff-2023-01,2
846adc1ffffffff-2023-02,5
846adc1ffffffff-2023-03,15
846adc1ffffffff-2023-05,1
846adc1ffffffff-2023-06,1
846adc1ffffffff-2023-07,3
846adc1ffffffff-2023-08,2
846adc1ffffffff-2023-09,7
846adc1ffffffff-2023-10,4
846adc1ffffffff-2023-11,2
846adc3ffffffff-2022-12,2
846adc5ffffffff-2017-11,1
846adc5ffffffff-2022-06,2
846adc7ffffffff-2018-10,1
846adc7ffffffff-2021-03,1
846adc7ffffffff-2022-07,3
846adc7ffffffff-2022-12,1
846adc9ffffffff-2022-06,2
846adc9ffffffff-2022-08,1
846adc9ffffffff-2022-10,3
846ade1ffffffff-2023-10,1
846ade5ffffffff-2012-04,1
846ade7ffffffff-2013-03,1
846ade7ffffffff-2013-06,6
846ade7ffffffff-2014-04,1
846ade7ffffffff-2014-09,1
846ade7ffffffff-2015-03,1
846ade7ffffffff-2015-04,1
846ade7ffffffff-2015-05,1
846ade7ffffffff-2015-06,6
846ade7ffffffff-2015-07,2
846ade7ffffffff-2016-02,1
846ade7ffffffff-2016-06,1
846ade7ffffffff-2016-10,1
846ade7ffffffff-2016-11,1
846ade7ffffffff-2017-02,1
846ade7ffffffff-2017-03,2
846ade7ffffffff-2017-04,1
846ade7ffffffff-2018-01,1
846ade7ffffffff-2018-02,3
846ade7ffffffff-2018-04,1
846ade7ffffffff-2018-05,3
846ade7ffffffff-2018-06,1
846ade7ffffffff-2018-07,4
846ade7ffffffff-2018-08,2
846ade7ffffffff-2018-09,2
846ade7ffffffff-2018-12,6
846ade7ffffffff-2019-01,2
846ade7ffffffff-2019-02,1
846ade7ffffffff-2019-03,18
846ade7ffffffff-2019-04,11
846ade7ffffffff-2019-05,1
846ade7ffffffff-2019-06,2
846ade7ffffffff-2019-07,2
846ade7ffffffff-2019-09,2
846ade7ffffffff-2019-12,2
846ade7ffffffff-2020-02,1
846ade7ffffffff-2020-03,2
846ade7ffffffff-2020-11,2
846ade7ffffffff-2020-12,2
846ade7ffffffff-2021-01,1
846ade7ffffffff-2021-02,5
846ade7ffffffff-2021-03,15
846ade7ffffffff-2021-04,18
846ade7ffffffff-2021-05,8
846ade7ffffffff-2021-06,10
846ade7ffffffff-2021-07,2
846ade7ffffffff-2021-08,1
846ade7ffffffff-2021-09,2
846ade7ffffffff-2021-12,7
846ade7ffffffff-2022-01,5
846ade7ffffffff-2022-02,7
846ade7ffffffff-2022-03,4
846ade7ffffffff-2022-04,1
846ade7ffffffff-2022-05,4
846ade7ffffffff-2022-06,18
846ade7ffffffff-2022-07,4
846ade7ffffffff-2022-09,3
846ade7ffffffff-2022-11,5
846ade7ffffffff-2022-12,1
846ade7ffffffff-2023-01,4
846ade7ffffffff-2023-02,7
846ade7ffffffff-2023-03,9
846ade7ffffffff-2023-04,5
846ade7ffffffff-2023-05,9
846ade7ffffffff-2023-06,7
846ade7ffffffff-2023-07,40
846ade7ffffffff-2023-08,12
846ade7ffffffff-2023-09,2
846ade7ffffffff-2023-10,7
846ade7ffffffff-2023-11,1
846ade9ffffffff-2019-09,1
846adebffffffff-2013-03,1
846adebffffffff-2017-03,2
846adebffffffff-2019-02,2
846adebffffffff-2019-06,1
846adebffffffff-2019-07,8
846adebffffffff-2019-12,1
846adebffffffff-2021-07,1
846adebffffffff-2022-07,4
8496d61ffffffff-2014-02,2
8496d67ffffffff-2014-02,10
8496d67ffffffff-2014-03,2
