index,n
8445089ffffffff-2021-01,1
8445203ffffffff-2014-03,3
8445203ffffffff-2017-01,1
8445203ffffffff-2017-12,3
8445203ffffffff-2018-08,5
8445203ffffffff-2018-10,2
8445203ffffffff-2018-11,4
8445203ffffffff-2019-07,1
8445203ffffffff-2019-08,1
8445203ffffffff-2020-10,3
8445203ffffffff-2020-11,1
8445203ffffffff-2021-01,1
8445203ffffffff-2021-03,3
8445203ffffffff-2022-07,1
8445203ffffffff-2022-11,3
844520bffffffff-2016-01,1
844520bffffffff-2016-12,4
844520bffffffff-2017-07,4
844520bffffffff-2019-08,1
844520bffffffff-2019-09,9
8445211ffffffff-2014-02,1
8445211ffffffff-2017-12,1
8445213ffffffff-2016-09,3
8445215ffffffff-2015-12,2
8445215ffffffff-2017-12,5
8445215ffffffff-2018-01,4
8445215ffffffff-2018-04,3
8445215ffffffff-2018-05,1
8445215ffffffff-2018-06,1
8445215ffffffff-2018-11,1
8445215ffffffff-2019-01,5
8445215ffffffff-2020-02,2
8445215ffffffff-2020-10,5
8445215ffffffff-2020-12,4
8445215ffffffff-2021-09,2
8445215ffffffff-2021-10,22
8445215ffffffff-2021-11,8
8445215ffffffff-2021-12,9
8445215ffffffff-2022-03,2
8445215ffffffff-2022-04,3
8445215ffffffff-2022-05,1
8445215ffffffff-2022-06,1
8445215ffffffff-2022-10,10
8445215ffffffff-2022-11,13
8445215ffffffff-2022-12,10
8445215ffffffff-2023-02,1
8445215ffffffff-2023-03,1
8445215ffffffff-2023-10,11
8445215ffffffff-2023-11,6
8445217ffffffff-2012-03,4
8445217ffffffff-2014-11,1
8445217ffffffff-2015-03,1
8445217ffffffff-2015-04,1
8445217ffffffff-2016-01,1
8445217ffffffff-2016-03,1
8445217ffffffff-2016-11,7
8445217ffffffff-2017-01,1
8445217ffffffff-2018-01,3
8445217ffffffff-2018-04,5
8445217ffffffff-2019-02,5
8445217ffffffff-2021-12,4
844521dffffffff-2015-05,1
844521dffffffff-2017-08,1
844521dffffffff-2018-02,2
844521dffffffff-2018-04,4
844521dffffffff-2018-05,1
844521dffffffff-2020-01,6
844521dffffffff-2021-03,3
844521dffffffff-2021-04,1
8445221ffffffff-2012-12,1
8445221ffffffff-2013-05,3
8445221ffffffff-2014-03,1
8445221ffffffff-2014-06,2
8445221ffffffff-2014-12,5
8445221ffffffff-2015-06,2
8445221ffffffff-2016-02,1
8445221ffffffff-2016-03,13
8445221ffffffff-2016-11,13
8445221ffffffff-2017-02,4
8445221ffffffff-2018-01,6
8445221ffffffff-2018-08,4
8445221ffffffff-2018-11,2
8445221ffffffff-2018-12,26
8445221ffffffff-2019-04,1
8445221ffffffff-2019-06,1
8445221ffffffff-2019-10,1
8445221ffffffff-2019-12,17
8445221ffffffff-2020-12,5
8445221ffffffff-2021-10,1
8445221ffffffff-2021-11,3
8445221ffffffff-2022-06,2
8445221ffffffff-2022-08,1
8445221ffffffff-2022-12,3
8445221ffffffff-2023-08,3
8445221ffffffff-2023-09,2
8445221ffffffff-2023-10,2
8445221ffffffff-2023-11,3
8445225ffffffff-2012-02,3
8445225ffffffff-2012-10,6
8445225ffffffff-2012-11,2
8445225ffffffff-2013-01,2
8445225ffffffff-2013-02,1
8445225ffffffff-2013-03,9
8445225ffffffff-2013-06,2
8445225ffffffff-2013-07,2
8445225ffffffff-2013-08,4
8445225ffffffff-2013-10,1
8445225ffffffff-2013-11,4
8445225ffffffff-2013-12,3
8445225ffffffff-2014-01,5
8445225ffffffff-2014-02,9
8445225ffffffff-2014-03,3
8445225ffffffff-2014-04,1
8445225ffffffff-2014-06,3
8445225ffffffff-2014-09,2
8445225ffffffff-2014-11,5
8445225ffffffff-2014-12,16
8445225ffffffff-2015-02,11
8445225ffffffff-2015-03,15
8445225ffffffff-2015-06,4
8445225ffffffff-2015-07,12
8445225ffffffff-2015-08,2
8445225ffffffff-2015-10,3
8445225ffffffff-2015-11,14
8445225ffffffff-2015-12,24
8445225ffffffff-2016-01,26
8445225ffffffff-2016-02,12
8445225ffffffff-2016-03,20
8445225ffffffff-2016-04,1
8445225ffffffff-2016-05,2
8445225ffffffff-2016-07,2
8445225ffffffff-2016-08,1
8445225ffffffff-2016-09,3
8445225ffffffff-2016-10,14
8445225ffffffff-2016-11,56
8445225ffffffff-2016-12,4
8445225ffffffff-2017-01,7
8445225ffffffff-2017-02,11
8445225ffffffff-2017-03,2
8445225ffffffff-2017-07,2
8445225ffffffff-2017-09,1
8445225ffffffff-2017-10,6
8445225ffffffff-2017-11,8
8445225ffffffff-2017-12,3
8445225ffffffff-2018-01,12
8445225ffffffff-2018-02,13
8445225ffffffff-2018-03,18
8445225ffffffff-2018-04,3
8445225ffffffff-2018-05,7
8445225ffffffff-2018-07,5
8445225ffffffff-2018-08,1
8445225ffffffff-2018-10,13
8445225ffffffff-2018-11,7
8445225ffffffff-2018-12,1
8445225ffffffff-2019-01,4
8445225ffffffff-2019-02,13
8445225ffffffff-2019-03,18
8445225ffffffff-2019-04,6
8445225ffffffff-2019-05,7
8445225ffffffff-2019-06,1
8445225ffffffff-2019-07,4
8445225ffffffff-2019-08,2
8445225ffffffff-2019-09,2
8445225ffffffff-2019-10,3
8445225ffffffff-2019-11,1
8445225ffffffff-2019-12,18
8445225ffffffff-2020-01,4
8445225ffffffff-2020-02,28
8445225ffffffff-2020-03,10
8445225ffffffff-2020-05,2
8445225ffffffff-2020-06,1
8445225ffffffff-2020-10,10
8445225ffffffff-2020-11,8
8445225ffffffff-2020-12,5
8445225ffffffff-2021-01,3
8445225ffffffff-2021-02,1
8445225ffffffff-2021-03,1
8445225ffffffff-2021-04,1
8445225ffffffff-2021-05,1
8445225ffffffff-2021-07,1
8445225ffffffff-2021-08,5
8445225ffffffff-2021-09,5
8445225ffffffff-2021-10,13
8445225ffffffff-2021-11,4
8445225ffffffff-2021-12,6
8445225ffffffff-2022-01,7
8445225ffffffff-2022-02,6
8445225ffffffff-2022-05,3
8445225ffffffff-2022-06,9
8445225ffffffff-2022-08,2
8445225ffffffff-2022-09,1
8445225ffffffff-2022-10,4
8445225ffffffff-2022-11,17
8445225ffffffff-2022-12,3
8445225ffffffff-2023-01,3
8445225ffffffff-2023-02,11
8445225ffffffff-2023-03,6
8445225ffffffff-2023-04,2
8445225ffffffff-2023-06,3
8445225ffffffff-2023-07,8
8445225ffffffff-2023-08,2
8445225ffffffff-2023-09,4
8445225ffffffff-2023-10,7
8445225ffffffff-2023-11,1
8445233ffffffff-2014-10,1
8445233ffffffff-2014-12,1
8445233ffffffff-2015-03,3
8445233ffffffff-2015-04,1
8445233ffffffff-2016-01,2
8445233ffffffff-2016-05,1
8445233ffffffff-2016-08,5
8445233ffffffff-2016-11,2
8445233ffffffff-2017-01,2
8445233ffffffff-2017-02,1
8445233ffffffff-2017-03,1
8445233ffffffff-2017-05,1
8445233ffffffff-2017-10,3
8445233ffffffff-2018-04,1
8445233ffffffff-2018-12,3
8445233ffffffff-2019-06,11
8445233ffffffff-2019-07,7
8445233ffffffff-2019-11,2
8445233ffffffff-2019-12,5
8445233ffffffff-2020-01,4
8445233ffffffff-2020-02,5
8445233ffffffff-2020-03,1
8445233ffffffff-2020-12,1
8445233ffffffff-2021-10,5
8445233ffffffff-2021-12,1
8445233ffffffff-2022-02,3
8445233ffffffff-2022-06,1
8445233ffffffff-2022-09,3
8445233ffffffff-2022-12,1
8445233ffffffff-2023-01,2
8445233ffffffff-2023-02,3
8445233ffffffff-2023-03,5
8445233ffffffff-2023-06,1
8445233ffffffff-2023-07,1
8445233ffffffff-2023-08,2
8445233ffffffff-2023-10,1
8445233ffffffff-2023-11,11
844523bffffffff-2012-03,2
844523bffffffff-2013-08,2
844523bffffffff-2015-04,1
844523bffffffff-2015-12,1
844523bffffffff-2016-01,1
844523bffffffff-2016-02,1
844523bffffffff-2016-05,1
844523bffffffff-2017-03,1
844523bffffffff-2017-05,1
844523bffffffff-2017-11,2
844523bffffffff-2018-01,1
844523bffffffff-2018-03,2
844523bffffffff-2018-05,3
844523bffffffff-2019-08,2
844523bffffffff-2020-01,3
844523bffffffff-2020-04,2
844523bffffffff-2020-05,1
844523bffffffff-2020-06,1
844523bffffffff-2021-01,1
844523bffffffff-2021-02,1
844523bffffffff-2021-04,1
844523bffffffff-2021-08,1
844523bffffffff-2022-02,1
844523bffffffff-2022-03,1
844523bffffffff-2023-01,2
844523bffffffff-2023-08,1
8445257ffffffff-2019-10,14
8445257ffffffff-2019-11,6
8445257ffffffff-2020-01,4
8445257ffffffff-2021-01,3
8445257ffffffff-2021-03,2
8445257ffffffff-2021-12,15
8445281ffffffff-2019-04,1
8445285ffffffff-2017-08,3
8445285ffffffff-2017-09,2
8445285ffffffff-2017-10,2
8445285ffffffff-2017-12,1
8445285ffffffff-2018-01,1
8445285ffffffff-2018-07,4
8445285ffffffff-2018-09,9
8445285ffffffff-2019-03,5
8445285ffffffff-2019-05,1
8445285ffffffff-2019-12,2
8445285ffffffff-2020-02,1
8445285ffffffff-2021-12,4
8445285ffffffff-2022-07,1
8445285ffffffff-2023-06,1
8445289ffffffff-2014-12,5
8445289ffffffff-2018-07,9
8445289ffffffff-2019-03,20
8445289ffffffff-2019-05,3
8445289ffffffff-2019-07,8
8445289ffffffff-2019-08,6
8445289ffffffff-2021-10,3
8445289ffffffff-2021-11,8
8445289ffffffff-2022-02,3
8445289ffffffff-2022-10,6
8445289ffffffff-2022-11,1
8445289ffffffff-2023-02,1
8445289ffffffff-2023-09,4
844528dffffffff-2015-01,1
844528dffffffff-2016-02,1
844528dffffffff-2016-05,2
844528dffffffff-2016-07,1
844528dffffffff-2017-05,4
844528dffffffff-2017-10,1
844528dffffffff-2017-11,3
844528dffffffff-2018-01,3
844528dffffffff-2018-02,1
844528dffffffff-2018-03,6
844528dffffffff-2018-09,3
844528dffffffff-2019-01,2
844528dffffffff-2019-02,2
844528dffffffff-2019-11,1
844528dffffffff-2020-03,4
844528dffffffff-2020-12,12
844528dffffffff-2021-03,1
844528dffffffff-2021-11,7
844528dffffffff-2022-01,6
844528dffffffff-2022-02,4
844528dffffffff-2022-05,2
844528dffffffff-2022-10,4
844528dffffffff-2022-12,3
844528dffffffff-2023-02,2
844528dffffffff-2023-05,14
844528dffffffff-2023-08,2
844528dffffffff-2023-09,1
844528dffffffff-2023-10,5
844528dffffffff-2023-11,3
84452a1ffffffff-2016-07,1
84452a1ffffffff-2017-12,1
84452a1ffffffff-2021-04,1
84452a1ffffffff-2021-10,2
84452a1ffffffff-2022-02,1
84452a1ffffffff-2023-04,1
84452a3ffffffff-2018-01,1
84452a9ffffffff-2012-11,1
84452a9ffffffff-2012-12,1
84452a9ffffffff-2013-01,1
84452a9ffffffff-2013-02,1
84452a9ffffffff-2013-06,2
84452a9ffffffff-2013-09,1
84452a9ffffffff-2014-01,3
84452a9ffffffff-2014-02,1
84452a9ffffffff-2014-05,2
84452a9ffffffff-2014-06,1
84452a9ffffffff-2014-08,5
84452a9ffffffff-2015-01,1
84452a9ffffffff-2015-03,1
84452a9ffffffff-2015-08,4
84452a9ffffffff-2015-11,1
84452a9ffffffff-2015-12,2
84452a9ffffffff-2016-01,1
84452a9ffffffff-2016-02,4
84452a9ffffffff-2016-03,4
84452a9ffffffff-2016-04,2
84452a9ffffffff-2016-09,2
84452a9ffffffff-2016-11,2
84452a9ffffffff-2017-01,2
84452a9ffffffff-2017-02,5
84452a9ffffffff-2017-03,4
84452a9ffffffff-2017-04,3
84452a9ffffffff-2017-05,9
84452a9ffffffff-2017-11,4
84452a9ffffffff-2017-12,10
84452a9ffffffff-2018-01,4
84452a9ffffffff-2018-02,8
84452a9ffffffff-2018-03,23
84452a9ffffffff-2018-04,38
84452a9ffffffff-2018-05,11
84452a9ffffffff-2018-06,5
84452a9ffffffff-2018-07,4
84452a9ffffffff-2018-08,5
84452a9ffffffff-2018-09,18
84452a9ffffffff-2018-10,10
84452a9ffffffff-2018-11,1
84452a9ffffffff-2018-12,19
84452a9ffffffff-2019-01,17
84452a9ffffffff-2019-02,20
84452a9ffffffff-2019-03,23
84452a9ffffffff-2019-04,32
84452a9ffffffff-2019-05,20
84452a9ffffffff-2019-08,3
84452a9ffffffff-2019-09,3
84452a9ffffffff-2019-10,4
84452a9ffffffff-2019-11,12
84452a9ffffffff-2020-01,12
84452a9ffffffff-2020-02,5
84452a9ffffffff-2020-03,23
84452a9ffffffff-2020-08,1
84452a9ffffffff-2020-09,5
84452a9ffffffff-2020-11,1
84452a9ffffffff-2021-02,1
84452a9ffffffff-2021-03,4
84452a9ffffffff-2021-04,7
84452a9ffffffff-2021-06,1
84452a9ffffffff-2021-11,4
84452a9ffffffff-2021-12,6
84452a9ffffffff-2022-01,16
84452a9ffffffff-2022-02,10
84452a9ffffffff-2022-03,6
84452a9ffffffff-2022-04,23
84452a9ffffffff-2022-05,5
84452a9ffffffff-2022-07,2
84452a9ffffffff-2022-09,4
84452a9ffffffff-2022-10,3
84452a9ffffffff-2022-11,10
84452a9ffffffff-2022-12,4
84452a9ffffffff-2023-01,3
84452a9ffffffff-2023-02,5
84452a9ffffffff-2023-03,3
