index,n
842db01ffffffff-2016-08,1
846acadffffffff-2023-11,1
846ad81ffffffff-2016-03,1
846ad8bffffffff-2014-09,1
846ad8bffffffff-2018-12,2
846ad8bffffffff-2019-01,3
846ad8bffffffff-2020-03,1
846ad8bffffffff-2022-11,5
846ad8bffffffff-2023-07,2
846ad95ffffffff-2021-07,2
846ad9dffffffff-2021-07,2
846ad9dffffffff-2023-10,2
846ada9ffffffff-2023-09,1
846adb1ffffffff-2023-09,1
846adb9ffffffff-2023-09,10
846adbdffffffff-2015-03,1
846adc7ffffffff-2018-10,1
846add3ffffffff-2023-09,3
846add3ffffffff-2023-10,1
847a443ffffffff-2023-08,2
847a459ffffffff-2015-10,2
847a459ffffffff-2017-03,1
847a459ffffffff-2017-09,3
847a459ffffffff-2019-06,1
847a459ffffffff-2022-02,2
847a459ffffffff-2022-11,1
847a45dffffffff-2021-11,1
847a615ffffffff-2018-08,1
847a617ffffffff-2017-10,2
847a617ffffffff-2022-02,1
847a617ffffffff-2022-10,1
847a619ffffffff-2019-12,1
847a6e5ffffffff-2012-11,1
847a6e5ffffffff-2015-09,1
847a6e5ffffffff-2018-02,1
847a6e5ffffffff-2022-10,3
847a6e5ffffffff-2023-10,1
847b487ffffffff-2019-07,1
847b49bffffffff-2022-05,2
847b4c1ffffffff-2023-11,1
847b4cbffffffff-2018-09,1
847b4cbffffffff-2018-10,1
847b4cbffffffff-2022-12,2
847b4d1ffffffff-2015-11,5
847b4d3ffffffff-2015-11,5
847b4dbffffffff-2022-01,1
847b4dbffffffff-2022-05,1
847b4dbffffffff-2023-09,1
847b6bbffffffff-2021-07,5
847b6bbffffffff-2022-08,3
8496141ffffffff-2017-06,1
8496141ffffffff-2018-10,2
8496141ffffffff-2020-10,1
8496141ffffffff-2021-02,2
8496141ffffffff-2021-08,2
8496141ffffffff-2023-07,1
8496145ffffffff-2022-09,1
8496145ffffffff-2023-09,2
8496147ffffffff-2020-10,1
8496149ffffffff-2018-10,1
8496201ffffffff-2023-05,1
8496203ffffffff-2020-10,1
8496203ffffffff-2022-02,1
8496203ffffffff-2022-05,2
8496203ffffffff-2022-08,1
8496203ffffffff-2022-09,1
8496203ffffffff-2023-08,5
8496205ffffffff-2022-12,1
8496207ffffffff-2015-08,1
8496207ffffffff-2016-08,1
8496207ffffffff-2016-09,2
8496207ffffffff-2017-05,1
8496207ffffffff-2017-09,1
8496207ffffffff-2017-10,1
8496207ffffffff-2019-08,2
8496207ffffffff-2019-10,3
8496207ffffffff-2020-12,2
8496207ffffffff-2021-08,1
8496207ffffffff-2021-10,1
8496207ffffffff-2022-03,1
8496207ffffffff-2022-04,3
8496207ffffffff-2022-07,1
