index,n
841aa07ffffffff-2018-05,23
841aa07ffffffff-2018-06,4
841aa07ffffffff-2021-09,40
841aa07ffffffff-2021-10,3
8426437ffffffff-2022-05,2
8426481ffffffff-2017-05,4
8426481ffffffff-2019-05,3
8426489ffffffff-2013-04,1
8426489ffffffff-2013-05,1
84265b3ffffffff-2023-05,1
84265b3ffffffff-2023-08,6
84265b9ffffffff-2021-05,3
8426625ffffffff-2023-10,14
842664dffffffff-2020-09,63
8426665ffffffff-2014-09,1
84266a1ffffffff-2017-05,24
84266c1ffffffff-2023-09,30
84266c1ffffffff-2023-10,5
84266dbffffffff-2020-11,1
84266dbffffffff-2022-04,48
842675dffffffff-2023-09,1
8426c53ffffffff-2016-05,14
8426c53ffffffff-2016-06,8
8426c87ffffffff-2016-06,2
8426c87ffffffff-2016-07,1
8426c87ffffffff-2020-06,23
8426c87ffffffff-2022-04,1
8426c89ffffffff-2013-06,4
8426c89ffffffff-2013-07,2
8426c91ffffffff-2018-05,1
8426c91ffffffff-2021-06,3
8426c97ffffffff-2012-06,2
8426c97ffffffff-2020-04,1
8426c97ffffffff-2021-08,1
8426c99ffffffff-2021-05,3
8426c99ffffffff-2021-06,1
8426c9bffffffff-2023-09,2
8426cb1ffffffff-2021-04,8
8426cb1ffffffff-2021-05,5
8426ecbffffffff-2023-08,57
8426eddffffffff-2022-05,2
84275ebffffffff-2016-10,58
842763bffffffff-2021-10,1
84276bdffffffff-2014-05,5
84276bdffffffff-2014-06,2
8428023ffffffff-2023-11,28
842802bffffffff-2023-11,28
8429869ffffffff-2021-08,1
8429b29ffffffff-2015-09,21
842a069ffffffff-2023-10,4
842a101ffffffff-2019-11,32
842a101ffffffff-2021-10,1
842a101ffffffff-2021-11,53
842a103ffffffff-2021-07,27
842a107ffffffff-2018-10,102
842a107ffffffff-2023-10,159
842a107ffffffff-2023-11,46
842a10bffffffff-2020-06,56
842a10dffffffff-2023-10,9
842a10dffffffff-2023-11,3
842a139ffffffff-2017-05,33
842a139ffffffff-2023-06,9
842a139ffffffff-2023-07,1
842a149ffffffff-2022-10,63
842a157ffffffff-2020-06,9
842a159ffffffff-2017-11,4
842a301ffffffff-2013-09,1
842a303ffffffff-2019-01,1
842a307ffffffff-2013-09,19
842a307ffffffff-2013-10,1
842a307ffffffff-2021-08,2
842a307ffffffff-2023-10,1
842a307ffffffff-2023-11,2
842a311ffffffff-2020-04,11
842a311ffffffff-2020-05,86
842a313ffffffff-2017-05,7
842a315ffffffff-2018-10,1
842a315ffffffff-2020-05,1
842a335ffffffff-2015-09,29
842a335ffffffff-2015-10,7
842a339ffffffff-2012-10,21
842a339ffffffff-2015-11,1
842a339ffffffff-2019-10,58
842a33dffffffff-2015-10,7
842a347ffffffff-2023-10,94
842a4c1ffffffff-2014-08,1
842a4c1ffffffff-2015-01,2
842a4c1ffffffff-2015-03,1
842a4c1ffffffff-2016-02,4
842a4c1ffffffff-2016-11,2
842a4c1ffffffff-2017-02,7
842a4c1ffffffff-2017-12,2
842a4c1ffffffff-2018-02,7
842a4c1ffffffff-2018-03,9
842a4c1ffffffff-2019-01,1
842a4c1ffffffff-2019-02,1
842a4c1ffffffff-2020-01,3
842a4c1ffffffff-2020-03,1
842a4c1ffffffff-2021-02,2
842a4c1ffffffff-2021-03,7
842a4c1ffffffff-2021-04,1
842a4c1ffffffff-2021-11,3
842a4c1ffffffff-2022-11,9
842a4c1ffffffff-2023-01,8
842a4c1ffffffff-2023-02,6
842a4c1ffffffff-2023-10,2
842a4c9ffffffff-2022-02,3
842a4c9ffffffff-2022-12,2
842a4c9ffffffff-2023-01,6
842a819ffffffff-2023-10,11
842a845ffffffff-2016-10,19
842a8c5ffffffff-2014-05,19
842a8c5ffffffff-2014-06,11
842a8e3ffffffff-2021-10,66
842a8e3ffffffff-2021-11,7
842a93bffffffff-2022-04,1
842a943ffffffff-2014-05,2
842a943ffffffff-2014-06,1
842a953ffffffff-2023-09,8
842a9b3ffffffff-2018-04,8
842a9b3ffffffff-2018-05,4
842a9bbffffffff-2018-09,10
842a9bbffffffff-2018-10,6
842a9c1ffffffff-2018-04,7
842a9c1ffffffff-2018-05,12
842aa81ffffffff-2018-04,39
842aa81ffffffff-2018-05,35
842aa81ffffffff-2019-05,1
842aa91ffffffff-2017-04,1
842aab1ffffffff-2019-06,1
842aac3ffffffff-2012-07,1
842aacbffffffff-2019-09,85
842aad1ffffffff-2016-10,2
842aad1ffffffff-2017-07,8
842aad9ffffffff-2017-06,5
842aae9ffffffff-2014-05,43
842ab05ffffffff-2020-08,43
842ab05ffffffff-2020-09,30
842ab21ffffffff-2018-08,55
842ab21ffffffff-2018-09,65
842ab23ffffffff-2022-09,2
842ab33ffffffff-2018-05,4
842ab35ffffffff-2023-05,676
842ab35ffffffff-2023-06,6
842ab3dffffffff-2019-10,95
842ab67ffffffff-2021-09,1
842ad15ffffffff-2014-05,5
842ad15ffffffff-2022-05,4
842ad25ffffffff-2017-05,2
842ad35ffffffff-2015-02,2
842ad35ffffffff-2020-05,1
842ad37ffffffff-2013-06,1
842ad37ffffffff-2013-07,1
842ad37ffffffff-2014-06,2
842ad37ffffffff-2015-09,1
842ad37ffffffff-2015-10,1
842ad37ffffffff-2016-08,4
842ad37ffffffff-2016-09,1
842ad37ffffffff-2017-08,2
842ad37ffffffff-2020-05,10
842ad37ffffffff-2020-08,3
842ad37ffffffff-2021-06,1
842ad37ffffffff-2022-07,2
842ad37ffffffff-2022-08,2
842ad37ffffffff-2022-10,1
842ad37ffffffff-2023-06,4
842ad37ffffffff-2023-07,2
842ad51ffffffff-2014-05,1
842ad51ffffffff-2016-05,1
842ad5dffffffff-2023-04,4
842af03ffffffff-2012-05,1
842af03ffffffff-2018-05,10
842af03ffffffff-2018-06,21
842af05ffffffff-2016-05,19
842af05ffffffff-2019-05,2
842af05ffffffff-2019-06,1
842af05ffffffff-2019-07,18
842af05ffffffff-2019-08,10
842af05ffffffff-2019-09,7
842af05ffffffff-2019-10,14
842af07ffffffff-2022-05,2
842af15ffffffff-2022-05,24
842af17ffffffff-2014-04,5
842af65ffffffff-2022-04,1
842b055ffffffff-2022-11,4
842b0a1ffffffff-2019-05,4
842b0e1ffffffff-2015-06,1
842b0e1ffffffff-2023-09,7
842b0e1ffffffff-2023-10,15
842b159ffffffff-2017-11,3
842b161ffffffff-2012-10,1
842b1c3ffffffff-2020-04,1
842b1c3ffffffff-2022-07,1
842b291ffffffff-2020-04,1
842b2a1ffffffff-2023-11,1
842b337ffffffff-2022-11,1
842b339ffffffff-2018-11,3
842b8e9ffffffff-2023-10,3
842b8e9ffffffff-2023-11,73
842b983ffffffff-2022-11,86
842b9b9ffffffff-2022-11,1
842b9bdffffffff-2021-10,95
842b9d7ffffffff-2023-10,1
842ba51ffffffff-2023-10,3
