index,n
84209a5ffffffff-2013-08,2
84209a5ffffffff-2015-04,1
84209a5ffffffff-2017-05,12
84209a5ffffffff-2017-06,7
84209a5ffffffff-2017-07,7
84209a5ffffffff-2017-08,1
84209a5ffffffff-2017-09,5
84209a5ffffffff-2017-12,1
84209a5ffffffff-2018-03,19
84209a5ffffffff-2018-04,11
84209a5ffffffff-2018-05,8
84209a5ffffffff-2018-06,16
84209a5ffffffff-2018-07,37
84209a5ffffffff-2018-08,17
84209a5ffffffff-2018-09,3
84209a5ffffffff-2018-12,1
84209a5ffffffff-2019-03,13
84209a5ffffffff-2019-04,38
84209a5ffffffff-2019-05,12
84209a5ffffffff-2019-06,35
84209a5ffffffff-2019-07,16
84209a5ffffffff-2019-08,12
84209a5ffffffff-2019-09,19
84209a5ffffffff-2019-10,2
84209a5ffffffff-2020-01,1
84209a5ffffffff-2020-03,58
84209a5ffffffff-2020-04,165
84209a5ffffffff-2020-05,125
84209a5ffffffff-2020-06,78
84209a5ffffffff-2020-07,37
84209a5ffffffff-2020-08,29
84209a5ffffffff-2020-09,26
84209a5ffffffff-2021-03,58
84209a5ffffffff-2021-04,75
84209a5ffffffff-2021-05,76
84209a5ffffffff-2021-06,29
84209a5ffffffff-2021-07,10
84209a5ffffffff-2021-08,28
84209a5ffffffff-2021-09,5
84209a5ffffffff-2022-03,42
84209a5ffffffff-2022-04,56
84209a5ffffffff-2022-05,53
84209a5ffffffff-2022-06,8
84209a5ffffffff-2022-07,5
84209a5ffffffff-2022-08,12
84209a5ffffffff-2022-09,1
84209a5ffffffff-2023-03,69
84209a5ffffffff-2023-04,79
84209a5ffffffff-2023-05,48
84209a5ffffffff-2023-06,51
84209a5ffffffff-2023-07,55
84209a5ffffffff-2023-08,17
84209a5ffffffff-2023-09,7
84209a7ffffffff-2023-05,1
84209a7ffffffff-2023-06,2
84209a7ffffffff-2023-07,1
84209e7ffffffff-2020-07,1
84209e7ffffffff-2021-06,6
84209e7ffffffff-2021-07,7
84209e7ffffffff-2021-08,1
84209e7ffffffff-2022-05,3
84209e7ffffffff-2023-06,1
842c8edffffffff-2018-03,1
842c8edffffffff-2021-04,1
842c933ffffffff-2019-12,8
842c933ffffffff-2020-01,6
842c933ffffffff-2020-02,2
842c93bffffffff-2017-11,2
842c93bffffffff-2020-02,1
842c987ffffffff-2022-01,2
842c987ffffffff-2022-06,1
842c987ffffffff-2023-07,1
842c987ffffffff-2023-11,1
842c989ffffffff-2021-08,1
842c995ffffffff-2023-02,1
842c9b9ffffffff-2021-05,2
842c9b9ffffffff-2021-10,2
842c9bbffffffff-2022-05,1
842c9ddffffffff-2018-09,1
842c9ddffffffff-2019-03,1
842c9ddffffffff-2019-12,1
842c9ddffffffff-2020-01,1
842c9ddffffffff-2020-02,1
842c9ddffffffff-2020-03,1
842c9ddffffffff-2020-04,2
842c9ddffffffff-2020-05,4
842c9ddffffffff-2020-06,1
842c9ddffffffff-2020-08,2
842c9ddffffffff-2020-09,1
842c9ddffffffff-2020-10,4
842c9ddffffffff-2020-11,2
842c9ddffffffff-2020-12,1
842c9ddffffffff-2021-02,2
842c9ddffffffff-2021-03,1
842c9ddffffffff-2021-04,2
842c9ddffffffff-2021-05,1
842c9ddffffffff-2021-09,8
842c9ddffffffff-2021-10,5
842c9ddffffffff-2021-11,1
842c9ddffffffff-2021-12,3
842c9ddffffffff-2022-04,2
842c9ddffffffff-2022-05,5
842c9ddffffffff-2022-06,2
842c9ddffffffff-2022-07,1
842c9ddffffffff-2022-08,4
842c9ddffffffff-2022-09,1
842c9ddffffffff-2022-10,1
