index,n
8468c27ffffffff-2018-03,1
8468c37ffffffff-2014-08,1
8468c37ffffffff-2015-08,1
8468c37ffffffff-2017-03,1
8468c37ffffffff-2018-01,1
8468c37ffffffff-2019-09,1
8468c37ffffffff-2019-11,1
8468c37ffffffff-2021-01,2
8468c37ffffffff-2023-11,1
8468c81ffffffff-2012-11,4
8468c81ffffffff-2015-11,1
8468c81ffffffff-2017-12,2
8468c81ffffffff-2018-07,3
8468c81ffffffff-2018-08,2
8468c81ffffffff-2018-10,4
8468c81ffffffff-2019-05,1
8468c81ffffffff-2019-08,1
8468c81ffffffff-2019-10,1
8468c81ffffffff-2022-04,1
8468c81ffffffff-2022-05,2
8468c81ffffffff-2022-07,1
8468c81ffffffff-2022-08,2
8468c81ffffffff-2022-09,1
8468c81ffffffff-2022-10,1
8468c81ffffffff-2023-07,28
8468c81ffffffff-2023-08,7
8468c81ffffffff-2023-09,8
8468c81ffffffff-2023-11,2
8468c89ffffffff-2022-10,1
8468c8bffffffff-2018-02,2
8468c8dffffffff-2014-09,2
8468c8dffffffff-2017-09,2
8468c8dffffffff-2022-10,1
8468ca9ffffffff-2015-10,1
8468ca9ffffffff-2016-02,1
8468cadffffffff-2023-09,6
8468ce7ffffffff-2012-08,1
8468ce7ffffffff-2012-11,4
8468ce7ffffffff-2013-09,4
8468ce7ffffffff-2014-08,2
8468ce7ffffffff-2014-09,2
8468ce7ffffffff-2016-08,1
8468ce7ffffffff-2016-09,1
8468ce7ffffffff-2017-05,1
8468ce7ffffffff-2017-06,1
8468ce7ffffffff-2017-09,1
8468ce7ffffffff-2018-01,1
8468ce7ffffffff-2018-11,1
8468ce7ffffffff-2019-08,1
8468ce7ffffffff-2022-10,1
8468d05ffffffff-2017-11,2
8468d23ffffffff-2018-06,2
8468d23ffffffff-2019-06,1
8468d23ffffffff-2022-07,4
8468d23ffffffff-2022-09,3
8468d23ffffffff-2022-10,1
8468d23ffffffff-2023-04,1
8468d23ffffffff-2023-07,2
8468d23ffffffff-2023-08,3
8468d27ffffffff-2023-08,1
8468d29ffffffff-2023-07,5
8468d29ffffffff-2023-08,3
8468d29ffffffff-2023-11,1
8472895ffffffff-2022-06,1
8472a23ffffffff-2023-07,2
8472b49ffffffff-2012-10,2
8472b59ffffffff-2019-03,1
8472c9dffffffff-2023-10,3
8472f23ffffffff-2013-12,1
8472f35ffffffff-2016-07,1
8472f35ffffffff-2016-10,1
8472f35ffffffff-2022-09,2
8472f35ffffffff-2022-10,4
8473195ffffffff-2016-03,1
8473195ffffffff-2017-01,1
8473195ffffffff-2017-02,1
8473195ffffffff-2018-04,1
8473195ffffffff-2020-05,1
84731b1ffffffff-2020-03,2
84731b5ffffffff-2022-10,2
84731b9ffffffff-2012-04,1
84731b9ffffffff-2012-06,1
84731b9ffffffff-2014-10,1
84731b9ffffffff-2015-01,1
84731b9ffffffff-2015-08,1
84731b9ffffffff-2015-09,1
84731b9ffffffff-2015-10,1
84731b9ffffffff-2018-05,1
84731b9ffffffff-2018-10,1
84731b9ffffffff-2018-12,1
84731b9ffffffff-2019-05,1
84731b9ffffffff-2019-06,2
84731b9ffffffff-2019-09,1
84731b9ffffffff-2019-10,2
84731b9ffffffff-2020-05,3
84731b9ffffffff-2020-09,1
84731b9ffffffff-2021-05,3
84731b9ffffffff-2021-10,2
84731b9ffffffff-2021-11,2
84731b9ffffffff-2022-01,1
84731b9ffffffff-2022-02,4
84731b9ffffffff-2022-09,1
84731b9ffffffff-2022-10,2
84731b9ffffffff-2022-12,1
84731b9ffffffff-2023-05,3
84731b9ffffffff-2023-10,3
84731bbffffffff-2020-12,1
847390bffffffff-2023-07,3
847390dffffffff-2023-07,3
84739b5ffffffff-2019-03,1
84739b5ffffffff-2022-10,6
84739b5ffffffff-2022-12,3
84739b5ffffffff-2023-07,1
84739b5ffffffff-2023-08,2
84739b5ffffffff-2023-09,3
84739b5ffffffff-2023-10,1
84739b5ffffffff-2023-11,6
847683bffffffff-2014-10,2
847684dffffffff-2022-11,1
84768a9ffffffff-2016-10,2
84768a9ffffffff-2017-10,1
847699bffffffff-2017-10,1
847699dffffffff-2015-10,1
847699dffffffff-2018-09,2
847699dffffffff-2019-03,2
847699dffffffff-2019-06,26
847699dffffffff-2019-10,3
847699dffffffff-2022-11,2
847699dffffffff-2023-04,3
847699dffffffff-2023-08,2
847699dffffffff-2023-09,16
847699dffffffff-2023-11,2
84769d1ffffffff-2012-04,1
84769d1ffffffff-2015-05,1
84769d1ffffffff-2017-07,1
84769ddffffffff-2015-12,1
849413bffffffff-2019-03,1
8494191ffffffff-2021-10,2
8494191ffffffff-2021-11,1
8494193ffffffff-2015-06,1
8494197ffffffff-2021-07,3
8494197ffffffff-2021-08,19
8494197ffffffff-2021-09,24
8494197ffffffff-2021-10,27
8494197ffffffff-2021-11,28
8494197ffffffff-2021-12,15
8494197ffffffff-2022-01,5
8494197ffffffff-2022-02,3
8494197ffffffff-2022-03,2
8494197ffffffff-2022-04,1
84941bdffffffff-2014-09,1
849423bffffffff-2020-02,4
8494289ffffffff-2020-07,1
84942d3ffffffff-2015-02,1
84942d3ffffffff-2016-05,2
84942d3ffffffff-2019-07,1
84942d3ffffffff-2023-02,1
84942e9ffffffff-2018-10,1
8494311ffffffff-2018-08,3
849434dffffffff-2018-12,1
849434dffffffff-2019-12,1
849442bffffffff-2022-08,1
84944a7ffffffff-2022-08,1
84944a7ffffffff-2023-08,1
8494507ffffffff-2022-08,1
8494511ffffffff-2012-07,1
8494511ffffffff-2012-09,2
8494511ffffffff-2012-10,4
8494511ffffffff-2012-11,1
8494511ffffffff-2013-07,1
8494511ffffffff-2013-10,1
8494511ffffffff-2013-11,1
8494511ffffffff-2014-07,2
8494511ffffffff-2014-11,2
8494511ffffffff-2015-07,3
8494511ffffffff-2015-08,8
8494511ffffffff-2015-09,2
8494511ffffffff-2015-10,6
8494511ffffffff-2015-11,10
8494511ffffffff-2016-01,2
8494511ffffffff-2016-06,3
8494511ffffffff-2016-07,6
8494511ffffffff-2016-08,4
8494511ffffffff-2016-09,2
8494511ffffffff-2016-10,1
8494511ffffffff-2017-04,1
8494511ffffffff-2017-06,1
8494511ffffffff-2017-07,8
8494511ffffffff-2017-08,12
8494511ffffffff-2017-09,15
8494511ffffffff-2017-10,19
8494511ffffffff-2018-01,2
8494511ffffffff-2018-05,2
8494511ffffffff-2018-06,11
8494511ffffffff-2018-07,4
8494511ffffffff-2018-10,6
8494511ffffffff-2018-11,5
8494511ffffffff-2019-05,2
8494511ffffffff-2019-06,1
8494511ffffffff-2019-07,14
8494511ffffffff-2019-09,3
8494511ffffffff-2019-10,2
8494511ffffffff-2019-12,2
8494511ffffffff-2020-05,1
8494511ffffffff-2020-08,5
8494511ffffffff-2020-10,5
8494511ffffffff-2020-11,3
8494511ffffffff-2021-04,1
8494511ffffffff-2021-06,3
8494511ffffffff-2021-07,3
8494511ffffffff-2021-08,19
8494511ffffffff-2021-09,17
8494511ffffffff-2021-10,24
8494511ffffffff-2021-11,14
8494511ffffffff-2021-12,4
8494511ffffffff-2022-05,1
8494511ffffffff-2022-06,2
