index,n
848b603ffffffff-2016-11,2
848b603ffffffff-2020-08,1
848b603ffffffff-2023-11,1
848b611ffffffff-2021-10,1
848b611ffffffff-2022-04,2
848b615ffffffff-2016-07,1
848b617ffffffff-2012-04,1
848b617ffffffff-2012-08,18
848b617ffffffff-2012-10,1
848b617ffffffff-2012-11,3
848b617ffffffff-2013-07,1
848b617ffffffff-2013-08,20
848b617ffffffff-2013-09,7
848b617ffffffff-2013-10,15
848b617ffffffff-2013-11,4
848b617ffffffff-2013-12,2
848b617ffffffff-2014-05,3
848b617ffffffff-2014-07,4
848b617ffffffff-2014-09,2
848b617ffffffff-2014-10,30
848b617ffffffff-2014-11,10
848b617ffffffff-2015-03,4
848b617ffffffff-2015-05,9
848b617ffffffff-2015-06,1
848b617ffffffff-2015-07,7
848b617ffffffff-2015-08,6
848b617ffffffff-2015-09,3
848b617ffffffff-2015-10,9
848b617ffffffff-2015-11,8
848b617ffffffff-2016-03,9
848b617ffffffff-2016-05,1
848b617ffffffff-2016-06,22
848b617ffffffff-2016-07,12
848b617ffffffff-2016-08,13
848b617ffffffff-2016-09,11
848b617ffffffff-2016-10,9
848b617ffffffff-2017-01,6
848b617ffffffff-2017-05,8
848b617ffffffff-2017-06,9
848b617ffffffff-2017-07,49
848b617ffffffff-2017-08,16
848b617ffffffff-2017-09,7
848b617ffffffff-2017-10,19
848b617ffffffff-2017-11,5
848b617ffffffff-2018-01,8
848b617ffffffff-2018-02,2
848b617ffffffff-2018-03,2
848b617ffffffff-2018-04,5
848b617ffffffff-2018-05,10
848b617ffffffff-2018-06,9
848b617ffffffff-2018-07,3
848b617ffffffff-2018-08,25
848b617ffffffff-2018-09,25
848b617ffffffff-2018-10,20
848b617ffffffff-2018-11,13
848b617ffffffff-2018-12,1
848b617ffffffff-2019-01,10
848b617ffffffff-2019-02,6
848b617ffffffff-2019-03,2
848b617ffffffff-2019-04,7
848b617ffffffff-2019-05,26
848b617ffffffff-2019-06,6
848b617ffffffff-2019-07,15
848b617ffffffff-2019-08,24
848b617ffffffff-2019-09,43
848b617ffffffff-2019-10,12
848b617ffffffff-2019-11,12
848b617ffffffff-2019-12,2
848b617ffffffff-2020-01,25
848b617ffffffff-2020-02,6
848b617ffffffff-2020-05,1
848b617ffffffff-2020-10,5
848b617ffffffff-2020-12,2
848b617ffffffff-2021-02,3
848b617ffffffff-2021-03,4
848b617ffffffff-2021-04,5
848b617ffffffff-2021-05,19
848b617ffffffff-2021-06,10
848b617ffffffff-2021-07,3
848b617ffffffff-2021-08,2
848b617ffffffff-2021-09,20
848b617ffffffff-2021-10,14
848b617ffffffff-2021-11,32
848b617ffffffff-2021-12,2
848b617ffffffff-2022-02,10
848b617ffffffff-2022-03,5
848b617ffffffff-2022-04,16
848b617ffffffff-2022-05,3
848b617ffffffff-2022-06,17
848b617ffffffff-2022-07,12
848b617ffffffff-2022-08,53
848b617ffffffff-2022-09,39
848b617ffffffff-2022-10,57
848b617ffffffff-2022-11,50
848b617ffffffff-2022-12,1
848b617ffffffff-2023-01,9
848b617ffffffff-2023-02,2
848b617ffffffff-2023-03,4
848b617ffffffff-2023-04,24
848b617ffffffff-2023-05,12
848b617ffffffff-2023-06,1
848b617ffffffff-2023-07,26
848b617ffffffff-2023-08,42
848b617ffffffff-2023-09,17
848b617ffffffff-2023-10,35
848b617ffffffff-2023-11,1
848b619ffffffff-2022-04,2
848b6c1ffffffff-2023-01,6
848b6c1ffffffff-2023-02,2
848b6c1ffffffff-2023-04,5
848b6c1ffffffff-2023-05,2
848b6c1ffffffff-2023-06,3
848b6c1ffffffff-2023-07,1
848b6c1ffffffff-2023-08,1
848b6c1ffffffff-2023-09,1
848b6c1ffffffff-2023-10,2
848b6c1ffffffff-2023-11,5
848b6c5ffffffff-2021-04,1
848b6c5ffffffff-2022-03,2
848b6c5ffffffff-2022-05,10
848b6c5ffffffff-2022-10,1
848b6c5ffffffff-2022-11,16
848b6c5ffffffff-2023-03,1
848b6c5ffffffff-2023-04,1
848b6c5ffffffff-2023-05,3
848b6c5ffffffff-2023-08,2
848b6c9ffffffff-2016-09,5
848b6c9ffffffff-2017-01,1
848b6c9ffffffff-2017-05,1
848b6c9ffffffff-2021-08,6
848b6c9ffffffff-2021-09,4
848b6c9ffffffff-2022-08,2
848b6c9ffffffff-2022-10,6
848b6c9ffffffff-2023-07,1
848b6c9ffffffff-2023-08,11
848b6cdffffffff-2014-08,1
848b6cdffffffff-2014-09,3
848b6cdffffffff-2014-10,1
848b6cdffffffff-2015-04,1
848b6cdffffffff-2016-03,1
848b6cdffffffff-2016-05,2
848b6cdffffffff-2016-07,1
848b6cdffffffff-2016-09,1
848b6cdffffffff-2016-12,1
848b6cdffffffff-2017-05,2
848b6cdffffffff-2017-06,1
848b6cdffffffff-2017-09,10
848b6cdffffffff-2017-11,2
848b6cdffffffff-2017-12,7
848b6cdffffffff-2018-02,2
848b6cdffffffff-2018-03,1
848b6cdffffffff-2018-04,6
848b6cdffffffff-2018-05,3
848b6cdffffffff-2018-06,2
848b6cdffffffff-2018-07,1
848b6cdffffffff-2018-08,1
848b6cdffffffff-2018-10,1
848b6cdffffffff-2019-02,4
848b6cdffffffff-2019-03,1
848b6cdffffffff-2019-05,1
848b6cdffffffff-2019-06,1
848b6cdffffffff-2019-07,1
848b6cdffffffff-2019-08,3
848b6cdffffffff-2019-09,2
848b6cdffffffff-2019-10,10
848b6cdffffffff-2019-12,15
848b6cdffffffff-2020-01,4
848b6cdffffffff-2020-02,8
848b6cdffffffff-2020-11,1
848b6cdffffffff-2021-01,7
848b6cdffffffff-2021-03,2
848b6cdffffffff-2021-05,1
848b6cdffffffff-2021-06,1
848b6cdffffffff-2021-09,2
848b6cdffffffff-2021-10,3
848b6cdffffffff-2021-12,1
848b6cdffffffff-2022-01,2
848b6cdffffffff-2022-02,3
848b6cdffffffff-2022-03,1
848b6cdffffffff-2022-04,2
848b6cdffffffff-2022-05,3
848b6cdffffffff-2022-06,4
848b6cdffffffff-2022-08,2
848b6cdffffffff-2022-09,2
848b6cdffffffff-2022-10,13
848b6cdffffffff-2022-11,10
848b6cdffffffff-2023-03,3
848b6cdffffffff-2023-05,8
848b6cdffffffff-2023-07,2
848b6cdffffffff-2023-09,6
848b6cdffffffff-2023-10,1
848e6c1ffffffff-2019-12,1
848e6c9ffffffff-2018-01,4
