index,n
84ba241ffffffff-2018-01,2
84ba241ffffffff-2019-04,1
84ba241ffffffff-2019-10,2
84ba241ffffffff-2021-04,2
84ba24bffffffff-2022-01,3
84ba24dffffffff-2022-11,4
84ba24dffffffff-2023-02,11
84bb081ffffffff-2019-12,4
84bb081ffffffff-2020-08,1
84bb081ffffffff-2021-01,9
84bb081ffffffff-2022-08,1
84bb081ffffffff-2022-12,1
84bb085ffffffff-2015-03,1
84bb085ffffffff-2017-10,6
84bb085ffffffff-2017-12,1
84bb085ffffffff-2019-01,2
84bb085ffffffff-2019-04,1
84bb085ffffffff-2019-12,1
84bb085ffffffff-2020-01,1
84bb085ffffffff-2020-02,2
84bb085ffffffff-2020-08,1
84bb085ffffffff-2020-09,4
84bb085ffffffff-2021-01,10
84bb085ffffffff-2021-11,1
84bb085ffffffff-2022-01,1
84bb085ffffffff-2022-02,2
84bb085ffffffff-2023-04,1
84bb089ffffffff-2015-01,1
84bb089ffffffff-2015-06,1
84bb089ffffffff-2016-06,3
84bb089ffffffff-2016-08,3
84bb089ffffffff-2017-01,4
84bb089ffffffff-2017-03,1
84bb089ffffffff-2017-07,2
84bb089ffffffff-2017-08,1
84bb089ffffffff-2017-09,1
84bb089ffffffff-2017-10,4
84bb089ffffffff-2017-11,5
84bb089ffffffff-2017-12,1
84bb089ffffffff-2018-02,4
84bb089ffffffff-2018-03,1
84bb089ffffffff-2018-04,3
84bb089ffffffff-2018-05,5
84bb089ffffffff-2018-06,1
84bb089ffffffff-2018-10,2
84bb089ffffffff-2018-11,2
84bb089ffffffff-2019-01,2
84bb089ffffffff-2019-02,1
84bb089ffffffff-2019-03,6
84bb089ffffffff-2019-04,5
84bb089ffffffff-2019-05,6
84bb089ffffffff-2019-06,5
84bb089ffffffff-2019-07,5
84bb089ffffffff-2019-08,2
84bb089ffffffff-2019-09,5
84bb089ffffffff-2019-10,7
84bb089ffffffff-2019-11,6
84bb089ffffffff-2019-12,4
84bb089ffffffff-2020-01,9
84bb089ffffffff-2020-02,10
84bb089ffffffff-2020-03,8
84bb089ffffffff-2020-04,5
84bb089ffffffff-2020-05,6
84bb089ffffffff-2020-06,15
84bb089ffffffff-2020-07,4
84bb089ffffffff-2020-08,2
84bb089ffffffff-2020-09,5
84bb089ffffffff-2020-10,12
84bb089ffffffff-2020-11,6
84bb089ffffffff-2020-12,4
84bb089ffffffff-2021-01,11
84bb089ffffffff-2021-02,3
84bb089ffffffff-2021-03,4
84bb089ffffffff-2021-04,6
84bb089ffffffff-2021-05,1
84bb089ffffffff-2021-06,9
84bb089ffffffff-2021-07,8
84bb089ffffffff-2021-08,17
84bb089ffffffff-2021-09,6
84bb089ffffffff-2021-10,5
84bb089ffffffff-2021-11,3
84bb089ffffffff-2021-12,1
84bb089ffffffff-2022-01,3
84bb089ffffffff-2022-02,7
84bb089ffffffff-2022-03,6
84bb089ffffffff-2022-04,2
84bb089ffffffff-2022-05,5
84bb089ffffffff-2022-06,1
84bb089ffffffff-2022-07,3
84bb089ffffffff-2022-08,4
84bb089ffffffff-2022-09,7
84bb089ffffffff-2022-10,9
84bb089ffffffff-2022-11,6
84bb089ffffffff-2022-12,7
84bb089ffffffff-2023-01,9
84bb089ffffffff-2023-02,9
84bb089ffffffff-2023-04,2
84bb089ffffffff-2023-05,2
84bb089ffffffff-2023-06,3
84bb089ffffffff-2023-07,5
84bb089ffffffff-2023-08,5
84bb089ffffffff-2023-09,4
84bb089ffffffff-2023-10,2
84bb089ffffffff-2023-11,9
84bb08dffffffff-2021-01,4
84bb0a1ffffffff-2017-01,1
84bb0a1ffffffff-2017-03,3
84bb0a1ffffffff-2017-04,1
84bb0a1ffffffff-2017-10,3
84bb0a1ffffffff-2018-01,1
84bb0a1ffffffff-2019-04,3
84bb0a1ffffffff-2019-06,1
84bb0a1ffffffff-2019-08,3
84bb0a1ffffffff-2019-09,4
84bb0a1ffffffff-2019-11,4
84bb0a1ffffffff-2019-12,1
84bb0a1ffffffff-2020-01,2
84bb0a1ffffffff-2020-02,1
84bb0a1ffffffff-2020-03,3
84bb0a1ffffffff-2020-04,3
84bb0a1ffffffff-2020-05,3
84bb0a1ffffffff-2020-06,4
84bb0a1ffffffff-2020-07,7
84bb0a1ffffffff-2020-08,2
84bb0a1ffffffff-2020-11,1
84bb0a1ffffffff-2021-01,5
84bb0a1ffffffff-2021-04,5
84bb0a1ffffffff-2021-05,5
84bb0a1ffffffff-2021-06,3
84bb0a1ffffffff-2021-08,1
84bb0a1ffffffff-2021-09,1
84bb0a1ffffffff-2021-10,5
84bb0a1ffffffff-2021-11,5
84bb0a1ffffffff-2021-12,2
84bb0a1ffffffff-2022-01,2
84bb0a1ffffffff-2022-02,1
84bb0a1ffffffff-2022-03,4
