index,n
84a2143ffffffff-2023-11,1
84a231bffffffff-2023-10,1
84a2a3bffffffff-2015-08,1
84a2a45ffffffff-2021-12,1
84a2a49ffffffff-2017-10,1
84a2a49ffffffff-2022-10,1
84a2a49ffffffff-2023-11,1
84a2a69ffffffff-2018-07,1
84a2a69ffffffff-2018-11,2
84a2a69ffffffff-2019-08,1
84a2a69ffffffff-2019-10,1
84a2a69ffffffff-2021-12,1
84a2a69ffffffff-2022-08,3
84a2a69ffffffff-2022-11,1
84a2a69ffffffff-2023-06,1
84a2a69ffffffff-2023-11,7
84a2a6bffffffff-2021-12,1
84a2a6dffffffff-2022-08,1
84a2ae9ffffffff-2015-10,1
84a2aedffffffff-2012-07,1
84a2aedffffffff-2014-11,3
84a2aedffffffff-2016-11,1
84a2aedffffffff-2018-10,2
84a2aedffffffff-2019-08,1
84a2aedffffffff-2019-10,2
84a2aedffffffff-2022-11,1
84a2aedffffffff-2023-10,5
84a2aedffffffff-2023-11,2
84a30e7ffffffff-2019-11,1
84a30e7ffffffff-2022-10,2
84a30e7ffffffff-2023-09,5
84a318bffffffff-2014-11,1
84a3199ffffffff-2012-11,1
84a3199ffffffff-2014-11,3
84a3199ffffffff-2017-10,1
84a3199ffffffff-2017-11,2
84a3199ffffffff-2018-10,1
84a319dffffffff-2012-09,1
84a319dffffffff-2012-11,1
84a319dffffffff-2013-10,1
84a319dffffffff-2013-11,1
84a319dffffffff-2014-10,4
84a319dffffffff-2014-11,2
84a319dffffffff-2015-07,3
84a319dffffffff-2015-08,1
84a319dffffffff-2015-09,1
84a319dffffffff-2015-10,9
84a319dffffffff-2015-11,2
84a319dffffffff-2016-09,1
84a319dffffffff-2016-10,1
84a319dffffffff-2016-11,6
84a319dffffffff-2016-12,1
84a319dffffffff-2017-09,1
84a319dffffffff-2017-10,2
84a319dffffffff-2017-11,9
84a319dffffffff-2018-02,1
84a319dffffffff-2018-06,1
84a319dffffffff-2018-07,2
84a319dffffffff-2018-09,3
84a319dffffffff-2018-10,2
84a319dffffffff-2018-11,3
84a319dffffffff-2019-07,1
84a319dffffffff-2019-08,3
84a319dffffffff-2019-10,19
84a319dffffffff-2019-11,12
84a319dffffffff-2019-12,2
84a319dffffffff-2022-04,1
84a319dffffffff-2022-10,8
84a319dffffffff-2022-11,11
84a319dffffffff-2023-06,2
84a319dffffffff-2023-08,2
84a319dffffffff-2023-09,7
84a319dffffffff-2023-10,37
84a319dffffffff-2023-11,18
84a31d1ffffffff-2023-10,1
84a38c7ffffffff-2023-06,1
84a3993ffffffff-2013-10,1
84a3993ffffffff-2013-11,2
84a3993ffffffff-2014-11,5
84a3993ffffffff-2015-11,2
84a3993ffffffff-2016-10,3
84a3993ffffffff-2017-10,1
84a3993ffffffff-2017-11,3
84a3993ffffffff-2017-12,1
84a3993ffffffff-2018-07,1
84a3993ffffffff-2018-10,2
84a3993ffffffff-2018-11,7
84a3993ffffffff-2019-07,1
84a3993ffffffff-2019-10,4
84a3993ffffffff-2019-11,5
84a3993ffffffff-2022-02,1
84a3993ffffffff-2022-10,2
84a3993ffffffff-2022-11,12
84a3993ffffffff-2023-04,1
84a3993ffffffff-2023-05,1
84a3993ffffffff-2023-08,5
84a3993ffffffff-2023-10,7
84a3993ffffffff-2023-11,7
84a3999ffffffff-2013-11,1
84a3999ffffffff-2017-11,1
84a399bffffffff-2012-07,1
84a399bffffffff-2012-10,2
84a399bffffffff-2013-10,2
84a399bffffffff-2013-11,1
84a399bffffffff-2014-11,4
84a399bffffffff-2015-08,1
84a399bffffffff-2015-09,4
84a399bffffffff-2015-10,1
84a399bffffffff-2015-11,2
84a399bffffffff-2016-01,1
84a399bffffffff-2016-10,1
84a399bffffffff-2016-11,1
84a399bffffffff-2017-10,3
84a399bffffffff-2017-11,2
84a399bffffffff-2017-12,2
84a399bffffffff-2018-10,3
84a399bffffffff-2018-11,2
84a399bffffffff-2019-05,1
84a399bffffffff-2019-09,2
84a399bffffffff-2019-10,2
84a399bffffffff-2019-11,3
84a399bffffffff-2021-11,1
84a399bffffffff-2022-07,1
84a399bffffffff-2022-10,4
84a399bffffffff-2022-11,11
84a399bffffffff-2022-12,2
84a399bffffffff-2023-04,1
84a399bffffffff-2023-05,1
84a399bffffffff-2023-08,5
84a399bffffffff-2023-09,1
84a399bffffffff-2023-10,15
84a399bffffffff-2023-11,28
84a39dbffffffff-2021-12,8
84a39dbffffffff-2022-05,2
84a39dbffffffff-2022-06,1
