index,n
8452817ffffffff-2019-05,1
8452831ffffffff-2016-06,2
8452831ffffffff-2018-09,3
8452831ffffffff-2018-12,1
8452831ffffffff-2019-04,1
8452831ffffffff-2019-08,1
8452831ffffffff-2019-10,1
8452831ffffffff-2023-03,1
8452863ffffffff-2022-10,1
84528e5ffffffff-2018-11,1
845291bffffffff-2016-04,1
845291bffffffff-2016-11,1
8452933ffffffff-2017-10,3
8452997ffffffff-2017-09,2
8452997ffffffff-2018-10,4
8452997ffffffff-2019-10,1
845299bffffffff-2019-07,1
84529b5ffffffff-2012-04,1
84529b5ffffffff-2014-07,1
84529b5ffffffff-2019-06,2
84529b5ffffffff-2022-10,2
84529b7ffffffff-2023-09,1
84529b9ffffffff-2013-11,1
84529b9ffffffff-2014-03,1
84529b9ffffffff-2014-06,1
84529b9ffffffff-2016-02,1
84529b9ffffffff-2016-03,6
84529b9ffffffff-2016-05,1
84529b9ffffffff-2016-06,1
84529b9ffffffff-2017-03,2
84529b9ffffffff-2017-07,2
84529b9ffffffff-2018-02,3
84529b9ffffffff-2018-03,5
84529b9ffffffff-2018-04,1
84529b9ffffffff-2018-07,1
84529b9ffffffff-2018-08,2
84529b9ffffffff-2018-09,4
84529b9ffffffff-2018-10,5
84529b9ffffffff-2018-11,11
84529b9ffffffff-2019-01,1
84529b9ffffffff-2019-04,2
84529b9ffffffff-2019-06,4
84529b9ffffffff-2019-08,1
84529b9ffffffff-2019-10,4
84529b9ffffffff-2019-11,2
84529b9ffffffff-2020-03,3
84529b9ffffffff-2022-10,3
84529b9ffffffff-2023-03,1
84529b9ffffffff-2023-07,5
84529dbffffffff-2017-09,2
846a45bffffffff-2019-10,1
846a493ffffffff-2016-04,6
846a493ffffffff-2017-02,1
846a49dffffffff-2019-03,1
846a681ffffffff-2019-10,1
846a69bffffffff-2016-10,1
846ac9bffffffff-2018-04,1
847a40bffffffff-2017-09,1
847a40bffffffff-2021-07,1
847a40bffffffff-2022-02,6
847a40bffffffff-2023-01,4
847a40bffffffff-2023-05,3
847a419ffffffff-2014-09,1
847a419ffffffff-2023-10,1
847a41bffffffff-2015-08,2
847a41dffffffff-2023-11,1
847a451ffffffff-2012-12,1
847a451ffffffff-2013-01,1
847a451ffffffff-2015-05,1
847a451ffffffff-2020-11,1
847a451ffffffff-2021-04,3
847a451ffffffff-2021-05,1
847a451ffffffff-2022-01,1
847a451ffffffff-2022-02,1
847a451ffffffff-2023-02,2
847a451ffffffff-2023-03,1
847a451ffffffff-2023-04,4
847a451ffffffff-2023-05,5
847a451ffffffff-2023-09,2
847a453ffffffff-2019-01,8
847a453ffffffff-2020-01,3
847a453ffffffff-2021-07,1
847a453ffffffff-2021-11,1
847a453ffffffff-2023-11,1
847a455ffffffff-2014-05,1
847a457ffffffff-2013-05,1
847a457ffffffff-2016-02,2
847a457ffffffff-2016-04,1
847a457ffffffff-2017-04,1
847a457ffffffff-2017-05,1
847a457ffffffff-2017-10,2
847a457ffffffff-2018-04,1
847a457ffffffff-2018-05,1
847a457ffffffff-2018-10,2
847a457ffffffff-2019-04,1
847a457ffffffff-2019-05,2
847a457ffffffff-2019-07,2
847a457ffffffff-2019-08,1
847a457ffffffff-2019-10,4
847a457ffffffff-2019-11,1
847a457ffffffff-2019-12,1
847a457ffffffff-2021-04,1
847a457ffffffff-2021-05,2
847a457ffffffff-2022-05,7
847a457ffffffff-2022-11,4
847a457ffffffff-2022-12,1
847a457ffffffff-2023-04,6
847a457ffffffff-2023-05,3
847a457ffffffff-2023-07,2
847a457ffffffff-2023-10,3
847a457ffffffff-2023-11,5
847a459ffffffff-2014-09,1
847a459ffffffff-2014-11,1
847a459ffffffff-2014-12,1
847a459ffffffff-2016-03,1
847a459ffffffff-2016-04,1
847a459ffffffff-2016-11,2
847a459ffffffff-2017-03,1
847a459ffffffff-2017-04,2
847a459ffffffff-2017-05,3
847a459ffffffff-2018-04,2
847a459ffffffff-2018-12,5
847a459ffffffff-2020-01,4
847a459ffffffff-2020-05,3
847a459ffffffff-2020-06,1
847a459ffffffff-2020-10,1
847a459ffffffff-2020-11,3
847a459ffffffff-2021-04,1
847a459ffffffff-2021-05,1
847a459ffffffff-2022-01,1
847a459ffffffff-2022-05,1
847a459ffffffff-2022-11,2
847a459ffffffff-2023-03,1
847a459ffffffff-2023-04,9
847a459ffffffff-2023-05,1
847a459ffffffff-2023-11,2
847a45bffffffff-2013-05,1
847a45bffffffff-2020-02,1
847a45bffffffff-2021-04,1
847a489ffffffff-2019-02,1
847a489ffffffff-2021-04,2
847a489ffffffff-2021-10,1
847a489ffffffff-2022-04,1
847a489ffffffff-2023-03,2
847a4c1ffffffff-2018-08,5
847a4c1ffffffff-2021-09,1
847a4c1ffffffff-2022-09,6
847a4c1ffffffff-2022-10,2
847a4c1ffffffff-2023-10,1
847a4c9ffffffff-2021-11,2
847a4d9ffffffff-2022-08,1
847a611ffffffff-2018-05,1
847a611ffffffff-2023-11,3
847a619ffffffff-2015-05,1
847a619ffffffff-2023-01,1
847a61dffffffff-2014-05,1
847a61dffffffff-2017-04,2
847a61dffffffff-2018-05,2
847a61dffffffff-2023-08,1
847a651ffffffff-2020-01,3
847a681ffffffff-2012-02,1
847a681ffffffff-2020-01,1
847a681ffffffff-2020-02,3
847a681ffffffff-2020-03,1
847a681ffffffff-2022-08,2
847a681ffffffff-2023-02,1
847a681ffffffff-2023-06,4
847a683ffffffff-2013-05,1
847a683ffffffff-2015-05,2
847a683ffffffff-2015-06,1
847a683ffffffff-2016-01,2
847a683ffffffff-2017-01,1
847a683ffffffff-2017-03,2
847a683ffffffff-2018-01,1
847a683ffffffff-2018-05,3
847a683ffffffff-2018-06,2
847a683ffffffff-2018-09,1
847a683ffffffff-2019-03,1
847a683ffffffff-2019-05,1
847a683ffffffff-2019-07,2
847a683ffffffff-2019-08,1
847a683ffffffff-2019-11,5
847a683ffffffff-2020-03,1
847a683ffffffff-2020-04,1
847a683ffffffff-2020-05,2
847a683ffffffff-2021-01,1
847a683ffffffff-2021-05,4
847a683ffffffff-2022-02,3
847a683ffffffff-2022-03,4
847a683ffffffff-2022-04,2
847a683ffffffff-2022-05,2
847a683ffffffff-2022-06,3
847a683ffffffff-2022-07,2
847a683ffffffff-2022-08,1
847a683ffffffff-2022-12,1
847a683ffffffff-2023-01,6
847a683ffffffff-2023-02,8
847a683ffffffff-2023-03,1
847a683ffffffff-2023-05,4
847a683ffffffff-2023-11,8
847a687ffffffff-2021-01,1
847a687ffffffff-2023-10,2
847a68bffffffff-2017-03,1
847a68bffffffff-2018-07,1
847a68bffffffff-2022-04,2
847a68bffffffff-2022-06,1
847a68bffffffff-2023-05,1
847a6a1ffffffff-2012-05,1
847a6a1ffffffff-2013-01,1
847a6a1ffffffff-2015-01,1
847a6a1ffffffff-2015-06,2
847a6a1ffffffff-2017-11,1
847a6a1ffffffff-2019-11,5
847a6a1ffffffff-2021-04,2
847a6a1ffffffff-2021-10,2
847a6a3ffffffff-2022-07,2
847a6a5ffffffff-2012-05,1
847a6a5ffffffff-2018-01,1
847a6a5ffffffff-2018-07,1
847a6a5ffffffff-2019-07,1
847a6a5ffffffff-2021-06,2
847a6a5ffffffff-2022-08,2
847a6a5ffffffff-2023-04,1
847a6a5ffffffff-2023-10,1
847a6a7ffffffff-2023-04,1
847a6a9ffffffff-2021-07,1
847a6a9ffffffff-2022-07,3
847a6a9ffffffff-2023-06,1
847a6adffffffff-2017-01,1
847a6adffffffff-2017-10,1
847a6adffffffff-2018-05,5
847a6adffffffff-2019-10,1
847a6adffffffff-2019-11,1
847a6adffffffff-2019-12,1
847a6adffffffff-2020-02,1
847a6adffffffff-2020-06,1
847a6adffffffff-2020-07,1
847a6adffffffff-2020-11,1
847a6adffffffff-2020-12,5
847a6adffffffff-2021-01,1
847a6adffffffff-2021-02,2
847a6adffffffff-2021-04,2
847a6adffffffff-2021-05,2
847a6adffffffff-2021-08,3
847a6adffffffff-2021-11,2
847a6adffffffff-2022-01,1
847a6adffffffff-2022-04,1
847a6adffffffff-2022-06,2
847a6adffffffff-2022-07,7
847a6adffffffff-2023-02,7
847a6adffffffff-2023-04,1
847a6adffffffff-2023-06,4
847a6adffffffff-2023-07,1
847a6b5ffffffff-2022-05,1
847a6b7ffffffff-2012-10,1
847a6d1ffffffff-2018-05,1
847a6d9ffffffff-2015-10,1
847a6d9ffffffff-2022-02,1
847a6e1ffffffff-2015-04,1
847a6e1ffffffff-2015-07,1
847a6e1ffffffff-2018-05,1
847a6e1ffffffff-2020-01,1
847a6e1ffffffff-2022-01,1
847a6e5ffffffff-2012-04,2
847a6e5ffffffff-2012-05,1
847a6e5ffffffff-2012-06,1
847a6e5ffffffff-2013-02,1
847a6e5ffffffff-2013-05,1
847a6e5ffffffff-2013-12,1
847a6e5ffffffff-2014-02,1
847a6e5ffffffff-2014-03,1
847a6e5ffffffff-2014-04,3
847a6e5ffffffff-2014-05,1
847a6e5ffffffff-2014-10,1
847a6e5ffffffff-2014-11,1
847a6e5ffffffff-2014-12,1
847a6e5ffffffff-2015-03,1
847a6e5ffffffff-2015-04,1
847a6e5ffffffff-2015-05,2
847a6e5ffffffff-2015-10,4
847a6e5ffffffff-2015-11,3
847a6e5ffffffff-2015-12,3
847a6e5ffffffff-2016-01,2
847a6e5ffffffff-2016-03,2
847a6e5ffffffff-2016-04,2
847a6e5ffffffff-2016-05,7
847a6e5ffffffff-2016-08,2
847a6e5ffffffff-2016-09,1
847a6e5ffffffff-2016-11,4
847a6e5ffffffff-2016-12,1
847a6e5ffffffff-2017-02,2
847a6e5ffffffff-2017-03,3
847a6e5ffffffff-2017-04,3
847a6e5ffffffff-2017-05,10
847a6e5ffffffff-2017-06,2
847a6e5ffffffff-2017-08,1
847a6e5ffffffff-2017-10,2
847a6e5ffffffff-2017-11,2
847a6e5ffffffff-2017-12,9
847a6e5ffffffff-2018-01,5
847a6e5ffffffff-2018-03,1
847a6e5ffffffff-2018-04,1
847a6e5ffffffff-2018-05,6
847a6e5ffffffff-2018-08,2
847a6e5ffffffff-2018-11,5
847a6e5ffffffff-2019-01,4
847a6e5ffffffff-2019-03,1
847a6e5ffffffff-2019-04,2
847a6e5ffffffff-2019-05,2
847a6e5ffffffff-2019-06,11
847a6e5ffffffff-2019-07,4
847a6e5ffffffff-2019-08,1
847a6e5ffffffff-2019-10,3
847a6e5ffffffff-2019-11,3
847a6e5ffffffff-2019-12,7
847a6e5ffffffff-2020-01,19
847a6e5ffffffff-2020-03,1
847a6e5ffffffff-2020-04,1
847a6e5ffffffff-2020-05,10
847a6e5ffffffff-2020-06,3
847a6e5ffffffff-2020-08,1
847a6e5ffffffff-2020-10,3
847a6e5ffffffff-2020-11,2
847a6e5ffffffff-2020-12,1
847a6e5ffffffff-2021-01,2
847a6e5ffffffff-2021-03,3
847a6e5ffffffff-2021-04,16
847a6e5ffffffff-2021-05,17
847a6e5ffffffff-2021-06,1
847a6e5ffffffff-2021-08,1
847a6e5ffffffff-2021-09,2
847a6e5ffffffff-2021-10,9
847a6e5ffffffff-2021-11,1
847a6e5ffffffff-2021-12,12
847a6e5ffffffff-2022-01,6
847a6e5ffffffff-2022-02,3
847a6e5ffffffff-2022-03,2
847a6e5ffffffff-2022-04,10
847a6e5ffffffff-2022-05,18
847a6e5ffffffff-2022-06,4
847a6e5ffffffff-2022-07,8
847a6e5ffffffff-2022-09,3
847a6e5ffffffff-2022-10,3
847a6e5ffffffff-2022-11,2
847a6e5ffffffff-2022-12,5
847a6e5ffffffff-2023-01,2
847a6e5ffffffff-2023-02,2
847a6e5ffffffff-2023-03,7
847a6e5ffffffff-2023-04,13
847a6e5ffffffff-2023-05,25
847a6e5ffffffff-2023-06,17
847a6e5ffffffff-2023-07,3
847a6e5ffffffff-2023-08,5
847a6e5ffffffff-2023-09,3
847a6e5ffffffff-2023-10,11
847a6e5ffffffff-2023-11,17
847a6e7ffffffff-2017-04,1
847a6e7ffffffff-2018-04,1
847a6e7ffffffff-2021-10,1
847a6e7ffffffff-2022-05,1
847a6e7ffffffff-2022-08,2
847a6e7ffffffff-2023-04,2
847a6e9ffffffff-2019-11,1
847a6edffffffff-2020-01,3
847ac81ffffffff-2017-12,1
847ac81ffffffff-2019-08,3
847ac81ffffffff-2022-09,2
847ac81ffffffff-2022-12,4
847ac8bffffffff-2016-07,1
847ac8bffffffff-2018-06,1
847ac8bffffffff-2018-08,4
847ac91ffffffff-2014-07,1
847aca1ffffffff-2017-09,3
847aca3ffffffff-2018-07,1
847acadffffffff-2017-09,3
847acb5ffffffff-2015-07,1
847acb5ffffffff-2019-10,1
847acb7ffffffff-2019-08,1
847acc1ffffffff-2014-11,1
847acc3ffffffff-2015-10,2
847acc3ffffffff-2023-05,3
847acc5ffffffff-2014-11,1
847acc5ffffffff-2015-11,1
847acc7ffffffff-2017-09,1
847acc7ffffffff-2019-07,1
847acc7ffffffff-2023-05,3
847accdffffffff-2014-11,1
847accdffffffff-2018-12,4
847accdffffffff-2019-05,3
847acd5ffffffff-2017-08,1
