index,n
840120dffffffff-2015-05,1
8401227ffffffff-2018-06,1
8401229ffffffff-2021-06,1
840130bffffffff-2012-06,3
840130bffffffff-2015-07,1
840130bffffffff-2016-05,2
840130bffffffff-2016-06,1
840130bffffffff-2017-05,2
840130bffffffff-2017-06,5
840130bffffffff-2017-08,1
840130bffffffff-2018-05,2
840130bffffffff-2018-06,2
840130bffffffff-2019-05,3
840130bffffffff-2022-05,1
840130bffffffff-2023-06,5
840130bffffffff-2023-08,2
8401319ffffffff-2017-05,1
8401319ffffffff-2022-05,1
8401351ffffffff-2012-05,1
8401351ffffffff-2012-07,1
8401351ffffffff-2013-06,1
8401351ffffffff-2014-06,3
8401351ffffffff-2015-05,1
8401351ffffffff-2015-06,3
8401351ffffffff-2016-05,8
8401351ffffffff-2017-06,6
8401351ffffffff-2018-05,1
8401351ffffffff-2018-06,7
8401351ffffffff-2018-08,1
8401351ffffffff-2019-05,11
8401351ffffffff-2019-06,2
8401351ffffffff-2022-05,11
8401351ffffffff-2022-06,1
8401351ffffffff-2023-05,12
8401351ffffffff-2023-06,15
8401353ffffffff-2017-06,6
8401353ffffffff-2018-06,1
8401355ffffffff-2015-05,1
8401355ffffffff-2015-06,1
8401355ffffffff-2016-05,2
8401355ffffffff-2018-05,2
8401355ffffffff-2021-08,2
8401355ffffffff-2022-08,3
8401355ffffffff-2023-06,9
840135bffffffff-2016-05,1
840135bffffffff-2021-06,1
840135bffffffff-2022-05,1
840135bffffffff-2022-06,6
840135bffffffff-2023-05,5
840135bffffffff-2023-06,6
8401517ffffffff-2018-06,1
840153bffffffff-2023-06,3
84015abffffffff-2018-06,1
84015abffffffff-2023-06,1
84015adffffffff-2014-07,2
84015e9ffffffff-2018-06,1
84015e9ffffffff-2023-06,2
84020b7ffffffff-2018-06,1
8402283ffffffff-2013-06,1
8402283ffffffff-2023-07,10
8402283ffffffff-2023-08,1
8402417ffffffff-2013-08,1
8402417ffffffff-2014-06,1
8402417ffffffff-2014-07,2
84024c5ffffffff-2014-06,3
84024c5ffffffff-2017-06,1
84024c5ffffffff-2022-06,8
84024e9ffffffff-2013-06,8
84024e9ffffffff-2013-07,3
84024e9ffffffff-2014-06,5
84024e9ffffffff-2015-07,2
84024e9ffffffff-2016-07,5
84024e9ffffffff-2017-06,4
84024e9ffffffff-2017-07,2
84024e9ffffffff-2022-06,16
84024edffffffff-2013-06,1
84024edffffffff-2014-06,2
84025cbffffffff-2012-07,1
84025cbffffffff-2013-06,11
84025cbffffffff-2014-06,1
84025cbffffffff-2022-05,2
84025cbffffffff-2022-06,1
8402c01ffffffff-2023-06,4
8402c05ffffffff-2023-06,4
8402c0dffffffff-2023-06,4
8402c39ffffffff-2023-06,4
8402c41ffffffff-2023-06,4
8402c4bffffffff-2023-06,4
8402c99ffffffff-2023-07,4
8402c9dffffffff-2023-07,4
8402cd1ffffffff-2023-06,4
8402dddffffffff-2023-06,4
8402e17ffffffff-2012-07,1
8402e23ffffffff-2023-06,4
8403519ffffffff-2014-07,1
840351dffffffff-2014-07,4
8403557ffffffff-2014-07,1
8403717ffffffff-2023-06,11
8403717ffffffff-2023-07,1
8404eb1ffffffff-2014-06,2
8406121ffffffff-2023-05,1
8406dd1ffffffff-2023-08,2
8407043ffffffff-2023-06,1
8407411ffffffff-2014-06,1
8407411ffffffff-2017-05,1
8407411ffffffff-2018-08,1
8407411ffffffff-2021-07,2
8407411ffffffff-2023-08,2
8407417ffffffff-2012-05,3
8407417ffffffff-2012-08,3
8407417ffffffff-2012-09,1
8407417ffffffff-2013-09,1
8407417ffffffff-2014-05,2
8407417ffffffff-2014-09,1
8407417ffffffff-2015-05,3
8407417ffffffff-2015-08,1
8407417ffffffff-2016-08,1
8407417ffffffff-2016-09,1
8407417ffffffff-2017-05,1
8407417ffffffff-2017-08,1
8407417ffffffff-2018-05,2
8407417ffffffff-2019-08,1
8407417ffffffff-2021-08,1
8407417ffffffff-2021-09,1
8407417ffffffff-2021-10,2
8407417ffffffff-2022-09,1
8407419ffffffff-2022-08,1
8407421ffffffff-2023-05,2
8407425ffffffff-2013-05,2
8407425ffffffff-2014-05,1
8407425ffffffff-2015-05,1
8407425ffffffff-2016-07,1
8407425ffffffff-2017-05,2
8407425ffffffff-2018-05,5
8407425ffffffff-2018-06,1
8407425ffffffff-2019-05,1
8407425ffffffff-2020-04,2
8407425ffffffff-2021-05,1
8407425ffffffff-2021-06,1
8407425ffffffff-2021-09,1
8407425ffffffff-2022-05,21
8407425ffffffff-2023-05,9
8407425ffffffff-2023-06,1
840742dffffffff-2016-07,1
840742dffffffff-2018-08,2
8407431ffffffff-2018-05,1
8407431ffffffff-2022-05,1
8407433ffffffff-2012-05,1
8407433ffffffff-2013-04,1
8407433ffffffff-2015-06,1
8407433ffffffff-2016-05,1
8407433ffffffff-2017-09,2
8407433ffffffff-2018-05,1
8407433ffffffff-2018-06,3
8407433ffffffff-2018-07,2
8407433ffffffff-2018-09,2
8407433ffffffff-2019-05,16
8407433ffffffff-2019-06,1
8407433ffffffff-2019-07,2
8407433ffffffff-2019-08,3
8407433ffffffff-2019-09,2
8407433ffffffff-2020-04,5
8407433ffffffff-2020-05,5
8407433ffffffff-2020-09,3
8407433ffffffff-2021-04,7
8407433ffffffff-2021-05,56
8407433ffffffff-2021-10,2
8407433ffffffff-2022-04,2
8407433ffffffff-2022-05,2
8407433ffffffff-2022-06,1
8407433ffffffff-2022-08,2
8407433ffffffff-2023-04,1
8407433ffffffff-2023-05,16
8407433ffffffff-2023-06,4
8407433ffffffff-2023-07,6
8407433ffffffff-2023-09,1
8407437ffffffff-2014-05,2
8407437ffffffff-2014-06,1
8407437ffffffff-2014-09,1
8407437ffffffff-2015-05,1
8407437ffffffff-2018-06,1
8407437ffffffff-2018-07,1
8407437ffffffff-2021-08,2
8407437ffffffff-2022-07,1
8407437ffffffff-2023-05,3
8407437ffffffff-2023-08,1
840743bffffffff-2022-05,1
840744bffffffff-2023-08,1
8407451ffffffff-2016-05,1
840745dffffffff-2018-06,1
840745dffffffff-2022-04,1
8407461ffffffff-2014-05,1
8407461ffffffff-2017-06,1
8407461ffffffff-2022-06,1
8407465ffffffff-2012-05,5
8407465ffffffff-2013-05,10
8407465ffffffff-2014-05,12
8407465ffffffff-2014-06,1
8407465ffffffff-2015-05,9
8407465ffffffff-2015-06,5
8407465ffffffff-2015-07,1
8407465ffffffff-2016-05,9
8407465ffffffff-2016-06,1
8407465ffffffff-2017-05,5
8407465ffffffff-2018-05,19
8407465ffffffff-2019-06,1
8407465ffffffff-2020-05,4
8407465ffffffff-2021-05,3
8407465ffffffff-2021-06,1
8407465ffffffff-2022-05,3
8407465ffffffff-2023-05,1
8407467ffffffff-2013-05,1
8407467ffffffff-2018-05,1
8407467ffffffff-2019-05,1
8407467ffffffff-2021-07,3
8407467ffffffff-2023-05,10
840746dffffffff-2017-06,1
84074e9ffffffff-2012-07,1
84074e9ffffffff-2012-08,7
84074e9ffffffff-2012-09,4
84074e9ffffffff-2013-04,1
84074e9ffffffff-2013-07,1
84074e9ffffffff-2014-07,2
84074e9ffffffff-2014-08,1
84074e9ffffffff-2014-09,5
84074e9ffffffff-2015-06,1
84074e9ffffffff-2015-07,1
84074e9ffffffff-2015-08,6
84074e9ffffffff-2015-09,4
84074e9ffffffff-2016-08,2
84074e9ffffffff-2017-08,1
84074edffffffff-2012-05,2
84074edffffffff-2022-05,2
84074edffffffff-2022-07,1
84074edffffffff-2023-10,1
8407513ffffffff-2014-07,2
8407513ffffffff-2017-05,5
8407513ffffffff-2023-05,6
8407517ffffffff-2018-05,1
8407519ffffffff-2014-05,1
8407519ffffffff-2015-05,1
8407519ffffffff-2017-05,1
8407519ffffffff-2018-07,1
8407519ffffffff-2023-05,1
840751bffffffff-2018-06,2
840751bffffffff-2018-07,1
840751bffffffff-2023-09,1
840753bffffffff-2017-07,2
840753bffffffff-2022-05,1
8407551ffffffff-2015-08,1
8407551ffffffff-2016-05,2
8407551ffffffff-2023-05,1
8407553ffffffff-2015-08,2
8407553ffffffff-2019-05,2
8407553ffffffff-2020-08,1
8407553ffffffff-2023-05,1
8407559ffffffff-2016-06,2
8407559ffffffff-2017-05,1
8407559ffffffff-2017-06,1
8407559ffffffff-2018-06,1
8407559ffffffff-2020-05,1
8407559ffffffff-2022-07,1
840755bffffffff-2014-07,1
840755bffffffff-2017-05,1
840755bffffffff-2019-05,1
840755bffffffff-2021-05,1
840755dffffffff-2012-07,1
840755dffffffff-2014-07,1
840755dffffffff-2017-06,4
840755dffffffff-2018-06,8
840755dffffffff-2018-09,1
840755dffffffff-2020-06,2
840755dffffffff-2020-09,1
840755dffffffff-2021-05,1
840755dffffffff-2021-09,1
840755dffffffff-2022-06,2
840755dffffffff-2022-07,2
840755dffffffff-2023-05,1
840755dffffffff-2023-06,1
840755dffffffff-2023-09,3
8407581ffffffff-2015-05,1
8407581ffffffff-2018-05,1
8407581ffffffff-2021-07,1
8407581ffffffff-2022-06,1
8407589ffffffff-2013-07,1
8407589ffffffff-2015-05,1
8407589ffffffff-2015-06,1
8407589ffffffff-2015-07,1
8407589ffffffff-2016-05,4
8407589ffffffff-2016-07,1
8407589ffffffff-2017-05,3
8407589ffffffff-2018-05,4
8407589ffffffff-2018-06,2
8407589ffffffff-2018-07,5
8407589ffffffff-2018-08,5
8407589ffffffff-2019-06,1
8407589ffffffff-2019-07,1
8407589ffffffff-2019-08,2
8407589ffffffff-2020-05,1
8407589ffffffff-2020-07,1
8407589ffffffff-2021-05,1
8407589ffffffff-2021-06,2
8407589ffffffff-2021-07,1
8407589ffffffff-2021-08,1
8407589ffffffff-2023-05,3
8407589ffffffff-2023-06,1
8407589ffffffff-2023-09,1
840758dffffffff-2012-05,1
840758dffffffff-2013-07,3
840758dffffffff-2013-08,2
840758dffffffff-2015-05,5
840758dffffffff-2015-07,1
840758dffffffff-2016-05,1
840758dffffffff-2017-05,1
840758dffffffff-2017-07,3
840758dffffffff-2018-05,1
840758dffffffff-2018-07,4
840758dffffffff-2019-05,2
840758dffffffff-2019-08,1
840758dffffffff-2021-04,1
840758dffffffff-2021-05,1
840758dffffffff-2021-07,5
840758dffffffff-2022-05,13
840758dffffffff-2022-06,2
840758dffffffff-2022-07,1
840758dffffffff-2022-08,1
840758dffffffff-2023-05,11
840758dffffffff-2023-06,1
840758dffffffff-2023-07,1
840758dffffffff-2023-08,2
84075a9ffffffff-2016-05,1
84075a9ffffffff-2016-06,1
84075a9ffffffff-2019-05,2
84075a9ffffffff-2019-06,2
84075a9ffffffff-2019-07,1
84075a9ffffffff-2021-05,1
84075c1ffffffff-2017-05,2
84075c1ffffffff-2022-05,6
84075c1ffffffff-2023-07,1
84075c3ffffffff-2017-05,2
84075c3ffffffff-2019-05,1
84075c3ffffffff-2019-06,1
84075c3ffffffff-2020-05,3
84075c3ffffffff-2021-01,1
84075c3ffffffff-2022-05,1
84075c3ffffffff-2022-09,3
84075c5ffffffff-2014-10,1
84075c5ffffffff-2018-05,1
84075c5ffffffff-2018-08,2
84075c5ffffffff-2021-05,4
84075c5ffffffff-2021-07,2
84075c5ffffffff-2023-05,1
84075c7ffffffff-2012-05,1
84075c7ffffffff-2015-05,1
84075c7ffffffff-2016-05,1
84075c7ffffffff-2017-05,2
84075c7ffffffff-2017-07,1
84075c7ffffffff-2018-06,2
84075c7ffffffff-2019-05,7
84075c7ffffffff-2019-08,1
84075c7ffffffff-2020-03,1
84075c7ffffffff-2021-05,1
84075c7ffffffff-2022-06,1
84075c7ffffffff-2023-05,9
84075c7ffffffff-2023-07,2
84075c7ffffffff-2023-11,1
84075c9ffffffff-2018-05,1
84075cbffffffff-2013-05,1
84075cbffffffff-2014-07,2
84075cbffffffff-2018-05,4
84075cbffffffff-2018-06,11
84075cbffffffff-2021-08,1
84075cbffffffff-2022-05,8
84075cbffffffff-2023-05,8
84075cbffffffff-2023-06,1
84075cdffffffff-2014-05,1
84075cdffffffff-2017-05,3
84075cdffffffff-2018-08,4
84075cdffffffff-2019-05,1
84075cdffffffff-2019-06,1
84075cdffffffff-2021-05,2
84075cdffffffff-2022-05,9
84075d1ffffffff-2012-05,3
84075d1ffffffff-2012-06,1
84075d1ffffffff-2012-09,1
84075d1ffffffff-2013-05,4
84075d1ffffffff-2013-06,1
84075d1ffffffff-2014-05,3
84075d1ffffffff-2015-05,3
84075d1ffffffff-2015-06,1
84075d1ffffffff-2015-08,1
84075d1ffffffff-2015-10,1
84075d1ffffffff-2016-05,3
84075d1ffffffff-2016-07,3
84075d1ffffffff-2016-08,1
84075d1ffffffff-2016-09,2
84075d1ffffffff-2017-05,3
84075d1ffffffff-2017-07,1
84075d1ffffffff-2017-09,1
84075d1ffffffff-2018-05,11
84075d1ffffffff-2018-06,6
84075d1ffffffff-2018-07,8
84075d1ffffffff-2018-08,6
84075d1ffffffff-2018-09,4
84075d1ffffffff-2019-05,7
84075d1ffffffff-2019-06,1
84075d1ffffffff-2019-07,6
84075d1ffffffff-2019-08,9
84075d1ffffffff-2019-09,3
84075d1ffffffff-2020-05,1
84075d1ffffffff-2020-07,1
84075d1ffffffff-2020-08,4
84075d1ffffffff-2021-05,7
84075d1ffffffff-2021-07,5
84075d1ffffffff-2021-08,6
84075d1ffffffff-2021-09,1
84075d1ffffffff-2022-05,16
84075d1ffffffff-2022-07,2
84075d1ffffffff-2022-08,7
84075d1ffffffff-2022-09,1
84075d1ffffffff-2022-10,2
84075d1ffffffff-2023-03,1
84075d1ffffffff-2023-05,20
84075d1ffffffff-2023-06,4
84075d1ffffffff-2023-07,6
84075d1ffffffff-2023-08,11
84075d1ffffffff-2023-09,13
84075d9ffffffff-2012-04,1
84075d9ffffffff-2012-05,1
84075d9ffffffff-2012-09,1
84075d9ffffffff-2013-04,2
84075d9ffffffff-2013-05,1
84075d9ffffffff-2015-04,1
84075d9ffffffff-2015-05,3
84075d9ffffffff-2016-01,2
84075d9ffffffff-2016-05,3
84075d9ffffffff-2017-05,4
