index,n
843c005ffffffff-2012-03,1
843c005ffffffff-2022-01,1
843c00dffffffff-2019-07,1
843c00dffffffff-2020-09,1
843c00dffffffff-2021-08,1
843c00dffffffff-2023-11,4
843c029ffffffff-2016-01,1
843c029ffffffff-2017-02,4
843c029ffffffff-2017-12,1
843c029ffffffff-2018-05,2
843c029ffffffff-2019-04,2
843c029ffffffff-2021-04,1
843c029ffffffff-2021-10,1
843c029ffffffff-2021-12,1
843c029ffffffff-2022-11,1
843c029ffffffff-2023-01,6
843c029ffffffff-2023-02,7
843c029ffffffff-2023-03,1
843c029ffffffff-2023-04,3
843c029ffffffff-2023-05,2
843c031ffffffff-2012-03,1
843c031ffffffff-2014-11,1
843c031ffffffff-2015-11,2
843c031ffffffff-2015-12,1
843c031ffffffff-2016-12,2
843c031ffffffff-2019-10,1
843c031ffffffff-2019-11,4
843c031ffffffff-2021-05,1
843c031ffffffff-2023-02,2
843c031ffffffff-2023-06,1
843c031ffffffff-2023-11,1
843c035ffffffff-2022-04,1
843c03dffffffff-2022-09,1
843c063ffffffff-2012-09,2
843c063ffffffff-2012-12,3
843c063ffffffff-2013-03,1
843c063ffffffff-2013-11,2
843c063ffffffff-2013-12,1
843c063ffffffff-2014-10,1
843c063ffffffff-2015-04,3
843c063ffffffff-2015-11,1
843c063ffffffff-2016-04,1
843c063ffffffff-2017-02,2
843c063ffffffff-2017-03,2
843c063ffffffff-2017-04,2
843c063ffffffff-2017-10,1
843c063ffffffff-2017-11,4
843c063ffffffff-2017-12,1
843c063ffffffff-2018-01,5
843c063ffffffff-2018-03,2
843c063ffffffff-2019-03,4
843c063ffffffff-2019-10,1
843c063ffffffff-2019-11,4
843c063ffffffff-2019-12,1
843c063ffffffff-2020-02,2
843c063ffffffff-2021-04,2
843c063ffffffff-2021-12,3
843c063ffffffff-2022-02,7
843c063ffffffff-2022-03,3
843c063ffffffff-2022-04,2
843c063ffffffff-2022-10,1
843c063ffffffff-2023-01,3
843c063ffffffff-2023-03,5
843c063ffffffff-2023-04,8
843c063ffffffff-2023-05,1
843c063ffffffff-2023-07,2
843c063ffffffff-2023-10,8
843c063ffffffff-2023-11,2
843c067ffffffff-2020-12,1
