index,n
8438161ffffffff-2023-04,1
843816dffffffff-2014-01,1
843816dffffffff-2015-05,1
843816dffffffff-2018-11,4
843816dffffffff-2019-03,2
8438255ffffffff-2017-04,1
8438255ffffffff-2018-04,1
8438255ffffffff-2018-09,1
8438255ffffffff-2019-01,1
8438255ffffffff-2019-02,1
8438255ffffffff-2019-07,1
8438255ffffffff-2019-12,1
8438255ffffffff-2020-02,2
8438255ffffffff-2020-03,2
8438255ffffffff-2020-04,1
8438255ffffffff-2020-10,1
8438255ffffffff-2020-11,2
8438255ffffffff-2021-04,1
8438255ffffffff-2022-09,3
8438255ffffffff-2022-10,8
8438255ffffffff-2022-11,2
8438255ffffffff-2022-12,1
8438255ffffffff-2023-01,3
8438255ffffffff-2023-02,2
843826bffffffff-2013-04,2
843826bffffffff-2018-07,1
843826bffffffff-2021-09,3
8438361ffffffff-2012-03,1
8438361ffffffff-2016-04,1
8438361ffffffff-2017-09,2
8438365ffffffff-2018-05,3
8438365ffffffff-2019-03,2
8438365ffffffff-2022-06,11
8438365ffffffff-2023-02,2
8438367ffffffff-2013-03,1
8438367ffffffff-2014-01,1
8438367ffffffff-2014-03,1
8438367ffffffff-2014-04,2
8438367ffffffff-2014-09,2
8438367ffffffff-2015-04,2
8438367ffffffff-2015-05,2
8438367ffffffff-2015-09,1
8438367ffffffff-2015-12,1
8438367ffffffff-2016-03,11
8438367ffffffff-2016-04,4
8438367ffffffff-2016-05,3
8438367ffffffff-2016-06,1
8438367ffffffff-2016-12,1
8438367ffffffff-2017-04,5
8438367ffffffff-2017-05,5
8438367ffffffff-2018-05,3
8438367ffffffff-2018-10,4
8438367ffffffff-2018-11,4
8438367ffffffff-2019-01,3
8438367ffffffff-2019-03,1
8438367ffffffff-2019-04,14
8438367ffffffff-2019-11,1
8438367ffffffff-2021-12,2
8438367ffffffff-2022-01,1
8438367ffffffff-2022-03,5
8438367ffffffff-2022-04,2
8438367ffffffff-2022-05,7
8438367ffffffff-2022-10,1
8438367ffffffff-2023-04,4
8438367ffffffff-2023-05,4
8438367ffffffff-2023-06,10
8438367ffffffff-2023-08,1
843836bffffffff-2022-03,1
843836bffffffff-2023-05,1
843836bffffffff-2023-07,1
8439001ffffffff-2014-10,1
8439001ffffffff-2015-01,1
8439001ffffffff-2015-02,1
8439001ffffffff-2018-07,1
8439001ffffffff-2018-08,2
8439001ffffffff-2018-09,5
843901bffffffff-2022-06,2
843901bffffffff-2022-07,11
843901bffffffff-2022-08,3
843901bffffffff-2022-09,1
843901bffffffff-2023-05,8
843901bffffffff-2023-06,1
843901bffffffff-2023-08,3
843901bffffffff-2023-09,5
843901bffffffff-2023-10,1
8439025ffffffff-2022-06,2
843902dffffffff-2023-07,6
843902dffffffff-2023-08,2
8439039ffffffff-2016-02,1
8439039ffffffff-2016-04,3
8439039ffffffff-2021-11,5
8439039ffffffff-2022-01,1
843903bffffffff-2017-09,1
843903dffffffff-2015-03,1
8439067ffffffff-2019-05,1
843906dffffffff-2014-04,1
843906dffffffff-2016-03,1
843906dffffffff-2016-04,1
843906dffffffff-2016-06,1
843906dffffffff-2021-06,5
843906dffffffff-2021-07,4
8439089ffffffff-2017-02,1
84390a1ffffffff-2018-06,1
8439103ffffffff-2012-03,1
8439103ffffffff-2013-12,2
8439103ffffffff-2014-01,5
8439103ffffffff-2015-01,2
8439103ffffffff-2016-03,1
8439103ffffffff-2018-03,2
8439103ffffffff-2018-10,1
8439103ffffffff-2018-12,1
8439103ffffffff-2020-09,7
8439103ffffffff-2020-10,14
8439103ffffffff-2020-11,1
8439103ffffffff-2021-11,1
8439103ffffffff-2022-01,1
8439111ffffffff-2022-01,1
8439111ffffffff-2023-03,2
8439111ffffffff-2023-05,3
8439113ffffffff-2015-12,1
8439113ffffffff-2016-03,1
8439113ffffffff-2016-12,1
8439113ffffffff-2018-01,2
8439113ffffffff-2019-05,1
8439113ffffffff-2020-02,1
8439113ffffffff-2021-01,1
8439115ffffffff-2017-10,2
8439115ffffffff-2018-01,1
8439115ffffffff-2018-02,5
8439115ffffffff-2018-03,14
8439115ffffffff-2018-10,17
8439115ffffffff-2018-11,1
8439115ffffffff-2018-12,3
8439115ffffffff-2019-01,6
8439115ffffffff-2019-02,13
8439115ffffffff-2019-12,3
8439115ffffffff-2020-01,1
8439115ffffffff-2020-11,5
8439115ffffffff-2020-12,6
8439115ffffffff-2021-01,4
8439115ffffffff-2021-02,1
8439115ffffffff-2021-11,25
8439115ffffffff-2021-12,18
8439115ffffffff-2022-01,4
8439115ffffffff-2022-12,3
8439115ffffffff-2023-02,1
8439119ffffffff-2015-04,1
8439119ffffffff-2021-07,1
8439153ffffffff-2021-05,1
8439153ffffffff-2021-06,7
8439153ffffffff-2021-07,4
8439153ffffffff-2021-08,10
