index,n
84a726dffffffff-2012-03,2
84a726dffffffff-2012-07,2
84a726dffffffff-2012-08,1
84a726dffffffff-2012-12,3
84a726dffffffff-2013-01,1
84a726dffffffff-2013-02,1
84a726dffffffff-2013-03,3
84a726dffffffff-2013-06,1
84a726dffffffff-2013-10,1
84a726dffffffff-2013-11,1
84a726dffffffff-2014-02,3
84a726dffffffff-2014-03,1
84a726dffffffff-2014-04,3
84a726dffffffff-2014-05,3
84a726dffffffff-2014-07,1
84a726dffffffff-2014-09,1
84a726dffffffff-2014-10,3
84a726dffffffff-2015-01,2
84a726dffffffff-2015-05,1
84a726dffffffff-2015-06,5
84a726dffffffff-2015-08,4
84a726dffffffff-2015-09,4
84a726dffffffff-2015-10,14
84a726dffffffff-2015-11,4
84a726dffffffff-2015-12,1
84a726dffffffff-2016-01,3
84a726dffffffff-2016-02,4
84a726dffffffff-2016-03,3
84a726dffffffff-2016-04,4
84a726dffffffff-2016-05,4
84a726dffffffff-2016-06,12
84a726dffffffff-2016-07,1
84a726dffffffff-2016-08,4
84a726dffffffff-2016-10,2
84a726dffffffff-2016-11,3
84a726dffffffff-2016-12,4
84a726dffffffff-2017-02,3
84a726dffffffff-2017-03,2
84a726dffffffff-2017-04,4
84a726dffffffff-2017-05,7
84a726dffffffff-2017-06,2
84a726dffffffff-2017-07,3
84a726dffffffff-2017-08,3
84a726dffffffff-2017-09,4
84a726dffffffff-2017-10,4
84a726dffffffff-2017-12,4
84a726dffffffff-2018-01,2
84a726dffffffff-2018-02,5
84a726dffffffff-2018-03,4
84a726dffffffff-2018-04,5
84a726dffffffff-2018-05,3
84a726dffffffff-2018-06,3
84a726dffffffff-2018-08,3
84a726dffffffff-2018-09,1
84a726dffffffff-2018-10,5
84a726dffffffff-2018-11,2
84a726dffffffff-2018-12,2
84a726dffffffff-2019-01,5
84a726dffffffff-2019-02,8
84a726dffffffff-2019-04,5
84a726dffffffff-2019-05,8
84a726dffffffff-2019-06,1
84a726dffffffff-2019-07,4
84a726dffffffff-2019-09,8
84a726dffffffff-2019-10,13
84a726dffffffff-2019-11,6
84a726dffffffff-2019-12,4
84a726dffffffff-2020-01,13
84a726dffffffff-2020-02,11
84a726dffffffff-2020-03,9
84a726dffffffff-2020-04,6
84a726dffffffff-2020-05,4
84a726dffffffff-2020-07,6
84a726dffffffff-2020-08,9
84a726dffffffff-2020-09,1
84a726dffffffff-2020-10,2
84a726dffffffff-2020-11,5
84a726dffffffff-2021-01,5
84a726dffffffff-2021-02,6
84a726dffffffff-2021-03,3
84a726dffffffff-2021-04,4
84a726dffffffff-2021-05,11
84a726dffffffff-2021-06,9
84a726dffffffff-2021-07,4
84a726dffffffff-2021-08,14
84a726dffffffff-2021-09,13
84a726dffffffff-2021-10,9
84a726dffffffff-2021-11,8
84a726dffffffff-2021-12,8
84a726dffffffff-2022-01,9
84a726dffffffff-2022-02,9
84a726dffffffff-2022-03,7
84a726dffffffff-2022-04,10
84a726dffffffff-2022-05,4
84a726dffffffff-2022-06,10
84a726dffffffff-2022-07,10
84a726dffffffff-2022-08,6
84a726dffffffff-2022-09,11
84a726dffffffff-2022-10,3
84a726dffffffff-2022-11,11
84a726dffffffff-2022-12,8
84a726dffffffff-2023-01,24
84a726dffffffff-2023-02,7
84a726dffffffff-2023-03,7
84a726dffffffff-2023-04,14
84a726dffffffff-2023-05,6
84a726dffffffff-2023-06,6
84a726dffffffff-2023-07,5
84a726dffffffff-2023-08,4
84a726dffffffff-2023-09,7
84a726dffffffff-2023-10,21
84a726dffffffff-2023-11,9
84a735bffffffff-2016-03,5
84a735bffffffff-2016-04,1
84a735bffffffff-2019-05,2
84a735bffffffff-2020-09,1
84a735bffffffff-2021-05,1
84a735bffffffff-2021-10,1
84a735bffffffff-2022-09,1
84b9591ffffffff-2021-03,1
84c9805ffffffff-2012-11,1
84c9805ffffffff-2014-05,3
84c9805ffffffff-2014-10,1
84c9805ffffffff-2015-01,1
84c9805ffffffff-2015-07,1
84c9805ffffffff-2015-08,2
84c9805ffffffff-2015-09,2
84c9805ffffffff-2015-10,3
84c9805ffffffff-2015-12,3
84c9805ffffffff-2016-01,2
84c9805ffffffff-2016-03,1
84c9805ffffffff-2016-06,2
84c9805ffffffff-2016-07,2
84c9805ffffffff-2016-10,2
84c9805ffffffff-2016-11,2
84c9805ffffffff-2017-08,1
84c9805ffffffff-2017-09,4
84c9805ffffffff-2017-10,3
84c9805ffffffff-2017-11,2
84c9805ffffffff-2018-01,9
84c9805ffffffff-2018-02,1
84c9805ffffffff-2018-04,1
84c9805ffffffff-2018-09,6
84c9805ffffffff-2018-10,5
84c9805ffffffff-2018-11,6
84c9805ffffffff-2018-12,1
84c9805ffffffff-2019-01,1
84c9805ffffffff-2019-02,2
84c9805ffffffff-2019-03,6
84c9805ffffffff-2019-09,1
84c9805ffffffff-2019-10,4
84c9805ffffffff-2019-12,2
84c9805ffffffff-2020-01,2
84c9805ffffffff-2020-02,6
84c9805ffffffff-2020-03,11
84c9805ffffffff-2020-04,1
84c9805ffffffff-2020-05,1
