index,n
8440c41ffffffff-2020-05,1
8440c41ffffffff-2020-10,1
8440c41ffffffff-2021-05,4
8440c4bffffffff-2019-03,1
8440c4bffffffff-2022-04,1
8440c51ffffffff-2023-02,1
8440c55ffffffff-2017-11,1
8440c59ffffffff-2017-05,1
8440c59ffffffff-2018-05,2
8440c59ffffffff-2019-05,1
8440c59ffffffff-2020-05,1
8440c6bffffffff-2021-01,2
8440c6dffffffff-2018-06,3
8440c6dffffffff-2018-11,1
8440c6dffffffff-2019-05,1
8440c6dffffffff-2019-07,1
8440c6dffffffff-2019-10,5
8440e11ffffffff-2013-05,2
8440e11ffffffff-2013-11,1
8440e11ffffffff-2014-12,1
8440e11ffffffff-2015-10,2
8440e11ffffffff-2017-01,1
8440e11ffffffff-2018-04,1
8440e11ffffffff-2020-01,2
8440e11ffffffff-2021-02,2
8440e11ffffffff-2021-09,2
8440e11ffffffff-2022-07,1
8440e13ffffffff-2012-05,1
8440e13ffffffff-2014-05,2
8440e13ffffffff-2014-06,3
8440e13ffffffff-2015-03,4
8440e13ffffffff-2015-06,1
8440e13ffffffff-2016-03,1
8440e13ffffffff-2016-05,3
8440e13ffffffff-2016-06,11
8440e13ffffffff-2016-07,1
8440e13ffffffff-2017-04,2
8440e13ffffffff-2017-05,6
8440e13ffffffff-2017-06,6
8440e13ffffffff-2018-04,2
8440e13ffffffff-2018-05,3
8440e13ffffffff-2018-06,1
8440e13ffffffff-2018-07,1
8440e13ffffffff-2018-11,1
8440e13ffffffff-2019-05,7
8440e13ffffffff-2019-06,3
8440e13ffffffff-2019-08,1
8440e13ffffffff-2019-09,4
8440e13ffffffff-2019-10,4
8440e13ffffffff-2019-11,11
8440e13ffffffff-2019-12,3
8440e13ffffffff-2020-04,5
8440e13ffffffff-2020-05,3
8440e13ffffffff-2020-06,5
8440e13ffffffff-2020-07,2
8440e13ffffffff-2020-10,2
8440e13ffffffff-2021-01,2
8440e13ffffffff-2021-04,2
8440e13ffffffff-2021-05,9
8440e13ffffffff-2021-06,5
8440e13ffffffff-2021-07,1
8440e13ffffffff-2021-08,1
8440e13ffffffff-2021-09,4
8440e13ffffffff-2022-01,6
8440e13ffffffff-2022-02,1
8440e13ffffffff-2022-05,2
8440e13ffffffff-2022-06,2
8440e13ffffffff-2022-08,4
8440e13ffffffff-2023-03,1
8440e13ffffffff-2023-05,8
8440e13ffffffff-2023-06,1
8440e13ffffffff-2023-07,3
8440e13ffffffff-2023-08,3
8440e13ffffffff-2023-10,4
8440e37ffffffff-2020-06,2
8440e5bffffffff-2014-05,2
8440e5bffffffff-2020-04,1
8440e5bffffffff-2020-06,2
8440e5bffffffff-2020-09,1
8440e5bffffffff-2021-05,1
8440e5bffffffff-2021-06,2
8440e5bffffffff-2022-06,1
8440e5bffffffff-2023-05,1
8440ec1ffffffff-2018-12,1
8440ec5ffffffff-2018-05,2
8440ec5ffffffff-2019-04,1
8440ec5ffffffff-2020-04,1
8440ec5ffffffff-2020-05,1
8440ec5ffffffff-2020-08,1
8440ee5ffffffff-2016-05,1
8440ee5ffffffff-2020-06,1
8440ee9ffffffff-2019-05,1
8440ee9ffffffff-2020-05,2
8440eebffffffff-2017-06,2
8441439ffffffff-2023-01,1
8441593ffffffff-2020-05,1
8441593ffffffff-2020-07,2
8441593ffffffff-2020-09,2
8441593ffffffff-2022-03,1
8441593ffffffff-2022-04,1
